"num_priority_groups","run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,1,6665,1581.57909847858,45.9853081785678,0,0
2,1,582,1094.02812223073,46.0711516494218,0,0
3,1,55,942.978806072301,45.4851215463207,0,0
NA,1,20221,1726.09565309581,47.100226975537,0,0
1,2,6665,1581.57909847858,45.9853081785678,0,0
2,2,582,1094.02812223073,46.0711516494218,0,0
3,2,55,942.978806072301,45.4851215463207,0,0
NA,2,20221,1726.09565309581,47.100226975537,0,0
1,3,6665,1581.57909847858,45.9853081785678,0,0
2,3,582,1094.02812223073,46.0711516494218,0,0
3,3,55,942.978806072301,45.4851215463207,0,0
NA,3,20221,1726.09565309581,47.100226975537,0,0
1,4,6665,1581.57909847858,45.9853081785678,0,0
2,4,582,1094.02812223073,46.0711516494218,0,0
3,4,55,942.978806072301,45.4851215463207,0,0
NA,4,20221,1726.09565309581,47.100226975537,0,0
1,5,6665,1581.57909847858,45.9853081785678,0,0
2,5,582,1094.02812223073,46.0711516494218,0,0
3,5,55,942.978806072301,45.4851215463207,0,0
NA,5,20221,1726.09565309581,47.100226975537,0,0
1,6,6665,1581.57909847858,45.9853081785678,0,0
2,6,582,1094.02812223073,46.0711516494218,0,0
3,6,55,942.978806072301,45.4851215463207,0,0
NA,6,20221,1726.09565309581,47.100226975537,0,0
1,7,6665,1581.57909847858,45.9853081785678,0,0
2,7,582,1094.02812223073,46.0711516494218,0,0
3,7,55,942.978806072301,45.4851215463207,0,0
NA,7,20221,1726.09565309581,47.100226975537,0,0
1,8,6665,1581.57909847858,45.9853081785678,0,0
2,8,582,1094.02812223073,46.0711516494218,0,0
3,8,55,942.978806072301,45.4851215463207,0,0
NA,8,20221,1726.09565309581,47.100226975537,0,0
1,9,6665,1581.57909847858,45.9853081785678,0,0
2,9,582,1094.02812223073,46.0711516494218,0,0
3,9,55,942.978806072301,45.4851215463207,0,0
NA,9,20221,1726.09565309581,47.100226975537,0,0
1,10,6665,1581.57909847858,45.9853081785678,0,0
