DZ2011_Code,DZ2011_Name,IZ2011_Code,IZ2011_Name,MMWard_Code,MMWard_Name,LA_Code,LA_Name,SPC_Code,SPC_Name,UKPC_Code,UKPC_Name,HB_Code,HB_Name,HIA_Code,HIA_Name,SPD_Code,SPD_Name,SFRLSO_Code,SFRLSO_Name,SFRSDA_Code,SFRSDA_Name,RRP_Code,RRP_Name,LRP_Code,LRP_Name,TTWA2011_Code,TTWA2011_Name,UR2_Code,UR2_Name,UR3_Code,UR3_Name,UR6_Code,UR6_Name,UR8_Code,UR8_Name,Country_Code,Country_Name
S01006506,Culter - 01,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006507,Culter - 02,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006508,Culter - 03,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006509,Culter - 04,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006510,Culter - 05,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006511,Culter - 06,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006512,Culter - 07,S02001236,Culter,S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,2,Rural,2,Accessible Rural,5,Accessible Rural,6,Accessible Rural Areas,S92000003,Scotland
S01006513,"Cults, Bieldside and Milltimber West - 01",S02001237,"Cults, Bieldside and Milltimber West",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006514,"Cults, Bieldside and Milltimber West - 02",S02001237,"Cults, Bieldside and Milltimber West",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006515,"Cults, Bieldside and Milltimber West - 03",S02001237,"Cults, Bieldside and Milltimber West",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
