"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01004766",72.1763085399449,6.26843657817109,4.3227332457293,79.1044776119403,90.4235727440147,68.4836471754212,73.0426164519326,4.46134852801519,1,4,"YES"
"E01004767",71.8785151856018,5.75016523463318,4.20513221153846,80.4308797127469,89.1603053435115,75.5912162162162,74.6621621621622,4.4456479560949,2,4,"YES"
"E01004768",78.6885245901639,3.39384372533544,4.11929779730903,86.1423220973783,90.1743264659271,83.3665338645418,80.6772908366534,8.62965348383357,3,3,"YES"
"E01004769",80.1388888888889,4.80928689883914,3.89718663194445,85.1711026615969,89.8387096774194,82.5914935707221,81.1078140454995,6.39570833333333,2,3,"YES"
"E01004770",76.4026402640264,3.42105263157895,4.375,79.8488664987406,90.9465020576132,73.8095238095238,78.8961038961039,6.88186880726209,2,3,"YES"
"E01004771",78.5714285714286,3.05576776165011,3.96130353860294,84.3137254901961,91.5447154471545,81.5689981096408,82.0415879017013,8.40706978393154,2,3,"YES"
"E01004772",66.2404092071611,10.7865168539326,3.58796361324724,79.8767967145791,91.4389799635701,73.8461538461539,67.1794871794872,6.39079346596196,3,4,"YES"
"E01004773",72.9286300246103,6.08836206896552,4.10957970659798,83.4886817576565,90.3803131991051,82.8706838185511,72.5795531482735,4.89333333333333,2,3,"YES"
"E01004774",70.5250596658711,8.29787234042553,4.12307692307692,78.1609195402299,90.6976744186046,75.311004784689,73.3014354066986,4.87160347549911,2,4,"YES"
"E01004775",75.2992383025027,4.60606060606061,3.62513591969293,84.6815834767642,91.0987482614743,78.7739463601533,79.2337164750958,7.9305701754386,3,3,"YES"
"E01004776",76.8018018018018,7.23140495867769,4.09571205122196,79.9325463743676,93.6079545454545,73.0700179533214,71.9928186714542,5.7750462962963,1,4,"YES"
"E01004777",74.2698191933241,7.36196319018405,3.35566677517361,80.04158004158,92.6126126126126,67.4226804123711,73.8144329896907,4.87264629716467,0,4,"YES"
"E01004778",80.6122448979592,4.04448938321537,4.09253831231466,82.4657534246575,91.1214953271028,71.6981132075472,82.1383647798742,7.24483775811209,4,3,"YES"
"E01004779",76.1780104712042,6.94444444444444,3.65659612790586,76.8807339449541,89.6607431340872,77.8947368421053,72.3157894736842,7.80676980904548,2,4,"YES"
"E01004780",76.5523632993513,4.70453241537579,4.32690652029741,84.2178770949721,90.6032482598608,79.7887323943662,78.6619718309859,6.73238019769496,2,3,"YES"
"E01004781",75.8519961051607,5.60344827586207,3.90485532369387,83.1920903954802,91.6770186335404,80.46875,74.609375,6.0435,2,3,"YES"
"E01004782",77.1058315334773,7.6017130620985,3.70109613019309,79.6033994334278,92.2480620155039,65.4232424677188,70.4447632711621,7.21151741410791,4,4,"YES"
"E01004783",77.1048744460857,5.35117056856187,4.28932915693212,81.6367265469062,90.3945111492281,75.9315206445116,78.65055387714,7.06377900827221,5,3,"YES"
"E01004784",81.25,3.20962888665998,4.32380284548236,84.010152284264,90.8695652173913,80.875,80.875,8.79453365220362,4,3,"YES"
"E01004785",73.6842105263158,5.92532467532468,4.590984636036,79.8642533936652,89.5348837209302,71.5328467153285,75.9124087591241,7.07847533037513,3,3,"YES"
"E01004786",74.0432612312812,5.27182866556837,3.61561438830921,82.8850855745721,90.7786885245902,73.2912723449001,76.8664563617245,8.07138095238095,4,3,"YES"
"E01004787",61.0570236439499,13.3763094278807,3.60967498779298,69.3236714975845,94.8497854077253,64.2191142191142,61.3053613053613,5.01041666666667,2,1,"YES"
"E01004788",77.2357723577236,3.49149507609669,4.33136148021378,86.2433862433862,89.4967177242888,79.6008869179601,85.1441241685144,9.18439948675526,3,2,"YES"
"E01004789",77.4350649350649,3.24729392173189,4.63800125511368,81.8604651162791,92.3220973782772,79.4661190965092,80.2874743326489,8.34206805131258,4,3,"YES"
"E01004790",78.0984719864177,3.76007162041182,3.70536215049342,83.6363636363636,92.9549902152642,79.5194508009153,75.7437070938215,6.9456,2,3,"YES"
"E01004791",81.4285714285714,3.41130604288499,3.8987179365367,86.3760217983651,89.5927601809955,74.3811881188119,79.2079207920792,6.81594321352593,2,3,"YES"
"E01004792",75.5972696245734,3.12243221035333,5.09796715349514,82.7586206896552,88.9763779527559,77.9195289499509,81.8449460255152,9.16403624840772,3,2,"YES"
"E01004793",58.5185185185185,13.5155096011817,4.24827502344823,76.5498652291105,92.1375921375921,60.0215517241379,63.9008620689655,5.02593137254902,2,1,"YES"
"E01004794",58.5043988269795,14.6768060836502,3.85017951367984,73.6147757255937,91.1007025761124,65.0406504065041,61.3240418118467,6.48359634827226,3,1,"YES"
"E01004795",67.737003058104,10.2299762093577,3.79374755859375,78.974358974359,91.5742793791574,63.7554585152838,64.410480349345,5.20341630063446,3,1,"YES"
"E01004796",75.7697456492637,6.73000791765637,3.783330078125,78.3889980353635,91.9191919191919,75.8654797230465,71.6122650840752,4.96556466663571,2,4,"YES"
