,age_end,age_start,education_state,ethnicity,mean_value,sex,year_end,year_start
0,1,0,A-Level,BAN,0.0,Male,2012,2011
1,2,1,A-Level,BAN,0.0,Male,2012,2011
2,3,2,A-Level,BAN,0.0,Male,2012,2011
3,4,3,A-Level,BAN,0.0,Male,2012,2011
4,5,4,A-Level,BAN,0.0,Male,2012,2011
5,6,5,A-Level,BAN,0.0,Male,2012,2011
6,7,6,A-Level,BAN,0.0,Male,2012,2011
7,8,7,A-Level,BAN,0.0,Male,2012,2011
8,9,8,A-Level,BAN,0.0,Male,2012,2011
9,10,9,A-Level,BAN,0.0,Male,2012,2011
10,11,10,A-Level,BAN,0.0,Male,2012,2011
11,12,11,A-Level,BAN,0.0,Male,2012,2011
12,13,12,A-Level,BAN,0.0,Male,2012,2011
13,14,13,A-Level,BAN,0.0,Male,2012,2011
14,15,14,A-Level,BAN,0.0,Male,2012,2011
15,16,15,A-Level,BAN,5.0,Male,2012,2011
16,17,16,A-Level,BAN,3.894003915357025,Male,2012,2011
17,18,17,A-Level,BAN,3.032653298563167,Male,2012,2011
18,19,18,A-Level,BAN,2.3618327637050736,Male,2012,2011
19,20,19,A-Level,BAN,0.0,Male,2012,2011
20,21,20,A-Level,BAN,0.0,Male,2012,2011
21,22,21,A-Level,BAN,0.0,Male,2012,2011
22,23,22,A-Level,BAN,0.0,Male,2012,2011
23,24,23,A-Level,BAN,0.0,Male,2012,2011
24,25,24,A-Level,BAN,0.0,Male,2012,2011
25,26,25,A-Level,BAN,0.0,Male,2012,2011
26,27,26,A-Level,BAN,0.0,Male,2012,2011
27,28,27,A-Level,BAN,0.0,Male,2012,2011
28,29,28,A-Level,BAN,0.0,Male,2012,2011
29,30,29,A-Level,BAN,0.0,Male,2012,2011
30,31,30,A-Level,BAN,0.0,Male,2012,2011
31,32,31,A-Level,BAN,0.0,Male,2012,2011
32,33,32,A-Level,BAN,0.0,Male,2012,2011
33,34,33,A-Level,BAN,0.0,Male,2012,2011
34,35,34,A-Level,BAN,0.0,Male,2012,2011
35,36,35,A-Level,BAN,0.0,Male,2012,2011
36,37,36,A-Level,BAN,0.0,Male,2012,2011
37,38,37,A-Level,BAN,0.0,Male,2012,2011
38,39,38,A-Level,BAN,0.0,Male,2012,2011
39,40,39,A-Level,BAN,0.0,Male,2012,2011
40,41,40,A-Level,BAN,0.0,Male,2012,2011
41,42,41,A-Level,BAN,0.0,Male,2012,2011
42,43,42,A-Level,BAN,0.0,Male,2012,2011
43,44,43,A-Level,BAN,0.0,Male,2012,2011
44,45,44,A-Level,BAN,0.0,Male,2012,2011
45,46,45,A-Level,BAN,0.0,Male,2012,2011
46,47,46,A-Level,BAN,0.0,Male,2012,2011
47,48,47,A-Level,BAN,0.0,Male,2012,2011
48,49,48,A-Level,BAN,0.0,Male,2012,2011
49,50,49,A-Level,BAN,0.0,Male,2012,2011
50,51,50,A-Level,BAN,0.0,Male,2012,2011
51,52,51,A-Level,BAN,0.0,Male,2012,2011
52,53,52,A-Level,BAN,0.0,Male,2012,2011
53,54,53,A-Level,BAN,0.0,Male,2012,2011
54,55,54,A-Level,BAN,0.0,Male,2012,2011
55,56,55,A-Level,BAN,0.0,Male,2012,2011
56,57,56,A-Level,BAN,0.0,Male,2012,2011
57,58,57,A-Level,BAN,0.0,Male,2012,2011
58,59,58,A-Level,BAN,0.0,Male,2012,2011
59,60,59,A-Level,BAN,0.0,Male,2012,2011
60,61,60,A-Level,BAN,0.0,Male,2012,2011
61,62,61,A-Level,BAN,0.0,Male,2012,2011
62,63,62,A-Level,BAN,0.0,Male,2012,2011
63,64,63,A-Level,BAN,0.0,Male,2012,2011
64,65,64,A-Level,BAN,0.0,Male,2012,2011
65,66,65,A-Level,BAN,0.0,Male,2012,2011
66,67,66,A-Level,BAN,0.0,Male,2012,2011
67,68,67,A-Level,BAN,0.0,Male,2012,2011
68,69,68,A-Level,BAN,0.0,Male,2012,2011
69,70,69,A-Level,BAN,0.0,Male,2012,2011
70,71,70,A-Level,BAN,0.0,Male,2012,2011
71,72,71,A-Level,BAN,0.0,Male,2012,2011
72,73,72,A-Level,BAN,0.0,Male,2012,2011
73,74,73,A-Level,BAN,0.0,Male,2012,2011
74,75,74,A-Level,BAN,0.0,Male,2012,2011
75,76,75,A-Level,BAN,0.0,Male,2012,2011
76,77,76,A-Level,BAN,0.0,Male,2012,2011
77,78,77,A-Level,BAN,0.0,Male,2012,2011
78,79,78,A-Level,BAN,0.0,Male,2012,2011
79,80,79,A-Level,BAN,0.0,Male,2012,2011
80,81,80,A-Level,BAN,0.0,Male,2012,2011
81,82,81,A-Level,BAN,0.0,Male,2012,2011
82,83,82,A-Level,BAN,0.0,Male,2012,2011
83,84,83,A-Level,BAN,0.0,Male,2012,2011
84,85,84,A-Level,BAN,0.0,Male,2012,2011
85,86,85,A-Level,BAN,0.0,Male,2012,2011
86,87,86,A-Level,BAN,0.0,Male,2012,2011
87,88,87,A-Level,BAN,0.0,Male,2012,2011
88,89,88,A-Level,BAN,0.0,Male,2012,2011
89,90,89,A-Level,BAN,0.0,Male,2012,2011
