,age_end,age_start,ethnicity,mean_value,sex,year_end,year_start
0,1,0,BAN,0.0018243467686375329,Male,2009,2006
1,2,1,BAN,0.0002884594575835477,Male,2009,2006
2,3,2,BAN,0.00018533542159383028,Male,2009,2006
3,4,3,BAN,0.0001567610179948587,Male,2009,2006
4,5,4,BAN,0.0001458024987146531,Male,2009,2006
5,6,5,BAN,0.00016296887660668363,Male,2009,2006
6,7,6,BAN,0.00017686057583547564,Male,2009,2006
7,8,7,BAN,0.0001551666015424165,Male,2009,2006
8,9,8,BAN,0.00015297225192802046,Male,2009,2006
9,10,9,BAN,0.00014423353984575844,Male,2009,2006
10,11,10,BAN,0.00012950094087403605,Male,2009,2006
11,12,11,BAN,0.00015380436246786636,Male,2009,2006
12,13,12,BAN,0.00017501695629820057,Male,2009,2006
13,14,13,BAN,0.0001723361593830333,Male,2009,2006
14,15,14,BAN,0.00017514709511568102,Male,2009,2006
15,16,15,BAN,0.0002033842544987148,Male,2009,2006
16,17,16,BAN,0.0002691009048843188,Male,2009,2006
17,18,17,BAN,0.000438040796915167,Male,2009,2006
18,19,18,BAN,0.000503924442159383,Male,2009,2006
19,20,19,BAN,0.00043365994087403616,Male,2009,2006
20,21,20,BAN,0.000458162452442159,Male,2009,2006
21,22,21,BAN,0.00045502352442159375,Male,2009,2006
22,23,22,BAN,0.00046410309254498665,Male,2009,2006
23,24,23,BAN,0.0005216405501285347,Male,2009,2006
24,25,24,BAN,0.0004957764395886887,Male,2009,2006
25,26,25,BAN,0.0004936744575835478,Male,2009,2006
26,27,26,BAN,0.0005055381722365041,Male,2009,2006
27,28,27,BAN,0.00048549781748072004,Male,2009,2006
28,29,28,BAN,0.0005905027583547557,Male,2009,2006
29,30,29,BAN,0.0006307140694087404,Male,2009,2006
30,31,30,BAN,0.0006308635681233939,Male,2009,2006
31,32,31,BAN,0.0007061341542416453,Male,2009,2006
32,33,32,BAN,0.0007680300719794346,Male,2009,2006
33,34,33,BAN,0.0008548862776349619,Male,2009,2006
34,35,34,BAN,0.0009131648920308477,Male,2009,2006
35,36,35,BAN,0.0009876819460154249,Male,2009,2006
36,37,36,BAN,0.0010708339922879183,Male,2009,2006
37,38,37,BAN,0.0011593776503856035,Male,2009,2006
38,39,38,BAN,0.0012506650334190251,Male,2009,2006
39,40,39,BAN,0.001359237169665809,Male,2009,2006
40,41,40,BAN,0.0014932667609254494,Male,2009,2006
41,42,41,BAN,0.0016655540951156795,Male,2009,2006
42,43,42,BAN,0.0017922489845758355,Male,2009,2006
43,44,43,BAN,0.0018888414087403602,Male,2009,2006
44,45,44,BAN,0.002087951195372752,Male,2009,2006
45,46,45,BAN,0.002248052169665808,Male,2009,2006
46,47,46,BAN,0.002509465223650386,Male,2009,2006
47,48,47,BAN,0.0027401683393316204,Male,2009,2006
48,49,48,BAN,0.0030598472596401033,Male,2009,2006
49,50,49,BAN,0.0032604511079691533,Male,2009,2006
50,51,50,BAN,0.0033981364190231373,Male,2009,2006
51,52,51,BAN,0.0038370988791773773,Male,2009,2006
52,53,52,BAN,0.004075354002570689,Male,2009,2006
53,54,53,BAN,0.0048525437377892,Male,2009,2006
54,55,54,BAN,0.005699141650385604,Male,2009,2006
55,56,55,BAN,0.006124210447300769,Male,2009,2006
56,57,56,BAN,0.006675310974293064,Male,2009,2006
57,58,57,BAN,0.007491723416452443,Male,2009,2006
58,59,58,BAN,0.007827137825192808,Male,2009,2006
59,60,59,BAN,0.008481989768637536,Male,2009,2006
60,61,60,BAN,0.009961568259640091,Male,2009,2006
61,62,61,BAN,0.010871557493573271,Male,2009,2006
62,63,62,BAN,0.011334244940874044,Male,2009,2006
63,64,63,BAN,0.011050986506426731,Male,2009,2006
64,65,64,BAN,0.012016048030848324,Male,2009,2006
65,66,65,BAN,0.014268180737789187,Male,2009,2006
66,67,66,BAN,0.015601602742930591,Male,2009,2006
67,68,67,BAN,0.017140537856041145,Male,2009,2006
68,69,68,BAN,0.020591944344473,Male,2009,2006
69,70,69,BAN,0.02380172534447301,Male,2009,2006
70,71,70,BAN,0.025103174089974273,Male,2009,2006
71,72,71,BAN,0.026452854938303363,Male,2009,2006
72,73,72,BAN,0.028341943462724936,Male,2009,2006
73,74,73,BAN,0.03132664191259641,Male,2009,2006
74,75,74,BAN,0.03552733856041135,Male,2009,2006
75,76,75,BAN,0.03910419250128537,Male,2009,2006
76,77,76,BAN,0.04293305544730077,Male,2009,2006
77,78,77,BAN,0.04749739439588691,Male,2009,2006
78,79,78,BAN,0.05210724484318767,Male,2009,2006
79,80,79,BAN,0.05905352725192802,Male,2009,2006
80,81,80,BAN,0.06524570329048844,Male,2009,2006
81,82,81,BAN,0.07209058835218507,Male,2009,2006
82,83,82,BAN,0.07965732295629817,Male,2009,2006
83,84,83,BAN,0.08802240586375325,Male,2009,2006
84,85,84,BAN,0.09727048032390746,Male,2009,2006
85,86,85,BAN,0.10749520511568128,Male,2009,2006
86,87,86,BAN,0.11880021928791773,Male,2009,2006
87,88,87,BAN,0.13130020988688942,Male,2009,2006
88,89,88,BAN,0.1451220951156813,Male,2009,2006
89,90,89,BAN,0.16040633442416444,Male,2009,2006
90,91,90,BAN,0.17730837930591253,Male,2009,2006
91,92,91,BAN,0.19600028069408745,Male,2009,2006
92,93,92,BAN,0.2166724688688946,Male,2009,2006
93,94,93,BAN,0.23953572529048836,Male,2009,2006
94,95,94,BAN,0.26482336698457604,Male,2009,2006
95,96,95,BAN,0.29279366595629835,Male,2009,2006
96,97,96,BAN,0.32373252966580995,Male,2009,2006
97,98,97,BAN,0.35795647081490994,Male,2009,2006
98,99,98,BAN,0.3958158969562984,Male,2009,2006
99,100,99,BAN,0.4376987557429307,Male,2009,2006
100,1,0,BAN,0.0015510461748071988,Female,2009,2006
101,2,1,BAN,0.0002530733778920309,Female,2009,2006
102,3,2,BAN,0.00016975940616966578,Female,2009,2006
103,4,3,BAN,0.0001694252776349614,Female,2009,2006
104,5,4,BAN,0.00014336504627249363,Female,2009,2006
105,6,5,BAN,0.00011916599485861189,Female,2009,2006
106,7,6,BAN,0.00011917865295629827,Female,2009,2006
107,8,7,BAN,0.00011899677892030835,Female,2009,2006
108,9,8,BAN,0.00011217790231362466,Female,2009,2006
109,10,9,BAN,9.088108740359899e-05,Female,2009,2006
110,11,10,BAN,0.00011856635218508992,Female,2009,2006
111,12,11,BAN,0.00013871572750642663,Female,2009,2006
112,13,12,BAN,9.948820565552697e-05,Female,2009,2006
113,14,13,BAN,0.00010140461696658083,Female,2009,2006
114,15,14,BAN,0.00016112643958868898,Female,2009,2006
115,16,15,BAN,0.00020232907197943446,Female,2009,2006
116,17,16,BAN,0.0002060062750642672,Female,2009,2006
117,18,17,BAN,0.00019857142673521857,Female,2009,2006
118,19,18,BAN,0.00019323332390745507,Female,2009,2006
119,20,19,BAN,0.00021715547557840602,Female,2009,2006
120,21,20,BAN,0.00022308510539845747,Female,2009,2006
121,22,21,BAN,0.00019283978149100265,Female,2009,2006
122,23,22,BAN,0.00018502210539845759,Female,2009,2006
123,24,23,BAN,0.0001806861670951156,Female,2009,2006
124,25,24,BAN,0.000185604884318766,Female,2009,2006
125,26,25,BAN,0.0002243513907455014,Female,2009,2006
126,27,26,BAN,0.00026679199228791747,Female,2009,2006
127,28,27,BAN,0.00028049630848329065,Female,2009,2006
128,29,28,BAN,0.0003057058611825193,Female,2009,2006
129,30,29,BAN,0.00030444801799485866,Female,2009,2006
130,31,30,BAN,0.00032902084575835464,Female,2009,2006
131,32,31,BAN,0.00038575517737789226,Female,2009,2006
132,33,32,BAN,0.0004229993213367609,Female,2009,2006
133,34,33,BAN,0.0004633618406169664,Female,2009,2006
134,35,34,BAN,0.0005308519768637533,Female,2009,2006
135,36,35,BAN,0.0005646962673521857,Female,2009,2006
136,37,36,BAN,0.0005395540976863752,Female,2009,2006
137,38,37,BAN,0.0005773568200514143,Female,2009,2006
138,39,38,BAN,0.0005820954010282777,Female,2009,2006
139,40,39,BAN,0.0006612834550128537,Female,2009,2006
140,41,40,BAN,0.0008304044704370183,Female,2009,2006
141,42,41,BAN,0.0009253479897172241,Female,2009,2006
142,43,42,BAN,0.0009989143161953727,Female,2009,2006
143,44,43,BAN,0.001122744820051414,Female,2009,2006
144,45,44,BAN,0.0011880345424164526,Female,2009,2006
145,46,45,BAN,0.001345589526992288,Female,2009,2006
146,47,46,BAN,0.0015868566940874045,Female,2009,2006
147,48,47,BAN,0.0019463237403598973,Female,2009,2006
148,49,48,BAN,0.0021978311311053986,Female,2009,2006
149,50,49,BAN,0.002112652424164525,Female,2009,2006
150,51,50,BAN,0.002182305362467865,Female,2009,2006
151,52,51,BAN,0.0026005104164524397,Female,2009,2006
152,53,52,BAN,0.0028393033907455,Female,2009,2006
153,54,53,BAN,0.003050169285347043,Female,2009,2006
154,55,54,BAN,0.003441487488431877,Female,2009,2006
155,56,55,BAN,0.00367891831362468,Female,2009,2006
156,57,56,BAN,0.003945610326478148,Female,2009,2006
157,58,57,BAN,0.0042555475372750605,Female,2009,2006
158,59,58,BAN,0.004699883925449872,Female,2009,2006
159,60,59,BAN,0.005397040604113114,Female,2009,2006
160,61,60,BAN,0.006135200899742935,Female,2009,2006
161,62,61,BAN,0.006477485578406174,Female,2009,2006
162,63,62,BAN,0.006617271421593831,Female,2009,2006
163,64,63,BAN,0.007687543041131106,Female,2009,2006
164,65,64,BAN,0.00864611953727506,Female,2009,2006
165,66,65,BAN,0.008893590922879177,Female,2009,2006
166,67,66,BAN,0.009836468344473015,Female,2009,2006
167,68,67,BAN,0.011765662280205659,Female,2009,2006
168,69,68,BAN,0.014424382177377904,Female,2009,2006
169,70,69,BAN,0.015136810748071975,Female,2009,2006
170,71,70,BAN,0.015128277745501297,Female,2009,2006
171,72,71,BAN,0.016581077830334176,Female,2009,2006
172,73,72,BAN,0.018508358334190237,Female,2009,2006
173,74,73,BAN,0.020863218349614392,Female,2009,2006
174,75,74,BAN,0.02313497317737789,Female,2009,2006
175,76,75,BAN,0.026149765586118253,Female,2009,2006
176,77,76,BAN,0.029473147794344463,Female,2009,2006
177,78,77,BAN,0.03235470793830338,Female,2009,2006
178,79,78,BAN,0.03676645369151673,Female,2009,2006
179,80,79,BAN,0.045195557161953684,Female,2009,2006
180,81,80,BAN,0.05027803938560413,Female,2009,2006
181,82,81,BAN,0.05593557428020565,Female,2009,2006
182,83,82,BAN,0.062233579000000004,Female,2009,2006
183,84,83,BAN,0.06924494864010278,Female,2009,2006
184,85,84,BAN,0.07705091491516712,Female,2009,2006
185,86,85,BAN,0.08574200382005144,Female,2009,2006
186,87,86,BAN,0.09541910341645242,Female,2009,2006
187,88,87,BAN,0.10619465544987143,Female,2009,2006
188,89,88,BAN,0.11819398376863753,Female,2009,2006
189,90,89,BAN,0.13155677665295634,Female,2009,2006
190,91,90,BAN,0.14643874015681227,Female,2009,2006
191,92,91,BAN,0.1630134425655526,Female,2009,2006
192,93,92,BAN,0.181474371933162,Female,2009,2006
193,94,93,BAN,0.20203723170437007,Female,2009,2006
194,95,94,BAN,0.22494250175064284,Female,2009,2006
195,96,95,BAN,0.2504582960205654,Female,2009,2006
196,97,96,BAN,0.2788835506066837,Female,2009,2006
197,98,97,BAN,0.3105515814935733,Female,2009,2006
198,99,98,BAN,0.3458340541362465,Female,2009,2006
199,100,99,BAN,0.385145413133676,Female,2009,2006
200,1,0,BLA,0.0016239032005141375,Male,2009,2006
201,2,1,BLA,0.00028555665809768617,Male,2009,2006
202,3,2,BLA,0.0001957912056555272,Male,2009,2006
203,4,3,BLA,0.00014852379691516695,Male,2009,2006
204,5,4,BLA,0.0001418550488431876,Male,2009,2006
205,6,5,BLA,0.0001400953598971723,Male,2009,2006
206,7,6,BLA,0.00013939003856041122,Male,2009,2006
207,8,7,BLA,0.0001303886838046272,Male,2009,2006
208,9,8,BLA,0.00011143417223650389,Male,2009,2006
209,10,9,BLA,0.00011526249871465293,Male,2009,2006
210,11,10,BLA,0.00012676636503856036,Male,2009,2006
211,12,11,BLA,0.00014127273778920306,Male,2009,2006
212,13,12,BLA,0.0001659471028277635,Male,2009,2006
213,14,13,BLA,0.00017884373007712084,Male,2009,2006
214,15,14,BLA,0.00018091373007712063,Male,2009,2006
215,16,15,BLA,0.00019820349614395856,Male,2009,2006
216,17,16,BLA,0.00026465733676092563,Male,2009,2006
217,18,17,BLA,0.00039775464781490984,Male,2009,2006
218,19,18,BLA,0.0004291617403598973,Male,2009,2006
219,20,19,BLA,0.0004190462724935733,Male,2009,2006
220,21,20,BLA,0.000476627758354756,Male,2009,2006
221,22,21,BLA,0.00047818214395886887,Male,2009,2006
222,23,22,BLA,0.00044263458354755773,Male,2009,2006
223,24,23,BLA,0.0004849251645244217,Male,2009,2006
224,25,24,BLA,0.0005214984601542414,Male,2009,2006
225,26,25,BLA,0.0004835697712082262,Male,2009,2006
226,27,26,BLA,0.0005067792570694088,Male,2009,2006
227,28,27,BLA,0.0005307754138817478,Male,2009,2006
