,age_end,age_start,ethnicity,mean_value,sex,year_end,year_start
0,1,0,BAN,0.1,Male,2012,2011
1,2,1,BAN,0.1,Male,2012,2011
2,3,2,BAN,0.1,Male,2012,2011
3,4,3,BAN,0.1,Male,2012,2011
4,5,4,BAN,0.1,Male,2012,2011
5,6,5,BAN,0.1,Male,2012,2011
6,7,6,BAN,0.1,Male,2012,2011
7,8,7,BAN,0.1,Male,2012,2011
8,9,8,BAN,0.1,Male,2012,2011
9,10,9,BAN,0.1,Male,2012,2011
10,11,10,BAN,0.1,Male,2012,2011
11,12,11,BAN,0.1,Male,2012,2011
12,13,12,BAN,0.1,Male,2012,2011
13,14,13,BAN,0.1,Male,2012,2011
14,15,14,BAN,0.1,Male,2012,2011
15,16,15,BAN,0.1,Male,2012,2011
16,17,16,BAN,0.1,Male,2012,2011
17,18,17,BAN,0.1,Male,2012,2011
18,19,18,BAN,0.1,Male,2012,2011
19,20,19,BAN,0.1,Male,2012,2011
20,21,20,BAN,0.1,Male,2012,2011
21,22,21,BAN,0.1,Male,2012,2011
22,23,22,BAN,0.1,Male,2012,2011
23,24,23,BAN,0.1,Male,2012,2011
24,25,24,BAN,0.1,Male,2012,2011
25,26,25,BAN,0.1,Male,2012,2011
26,27,26,BAN,0.1,Male,2012,2011
27,28,27,BAN,0.1,Male,2012,2011
28,29,28,BAN,0.1,Male,2012,2011
29,30,29,BAN,0.1,Male,2012,2011
30,31,30,BAN,0.1,Male,2012,2011
31,32,31,BAN,0.1,Male,2012,2011
32,33,32,BAN,0.1,Male,2012,2011
33,34,33,BAN,0.1,Male,2012,2011
34,35,34,BAN,0.1,Male,2012,2011
35,36,35,BAN,0.1,Male,2012,2011
36,37,36,BAN,0.1,Male,2012,2011
37,38,37,BAN,0.1,Male,2012,2011
38,39,38,BAN,0.1,Male,2012,2011
39,40,39,BAN,0.1,Male,2012,2011
40,41,40,BAN,0.1,Male,2012,2011
41,42,41,BAN,0.1,Male,2012,2011
42,43,42,BAN,0.1,Male,2012,2011
43,44,43,BAN,0.1,Male,2012,2011
44,45,44,BAN,0.1,Male,2012,2011
45,46,45,BAN,0.1,Male,2012,2011
46,47,46,BAN,0.1,Male,2012,2011
47,48,47,BAN,0.1,Male,2012,2011
48,49,48,BAN,0.1,Male,2012,2011
49,50,49,BAN,0.1,Male,2012,2011
50,51,50,BAN,0.1,Male,2012,2011
51,52,51,BAN,0.1,Male,2012,2011
52,53,52,BAN,0.1,Male,2012,2011
53,54,53,BAN,0.1,Male,2012,2011
54,55,54,BAN,0.1,Male,2012,2011
55,56,55,BAN,0.1,Male,2012,2011
56,57,56,BAN,0.1,Male,2012,2011
57,58,57,BAN,0.1,Male,2012,2011
58,59,58,BAN,0.1,Male,2012,2011
59,60,59,BAN,0.1,Male,2012,2011
60,61,60,BAN,0.1,Male,2012,2011
61,62,61,BAN,0.1,Male,2012,2011
62,63,62,BAN,0.1,Male,2012,2011
63,64,63,BAN,0.1,Male,2012,2011
64,65,64,BAN,0.1,Male,2012,2011
65,66,65,BAN,0.1,Male,2012,2011
66,67,66,BAN,0.1,Male,2012,2011
67,68,67,BAN,0.1,Male,2012,2011
68,69,68,BAN,0.1,Male,2012,2011
69,70,69,BAN,0.1,Male,2012,2011
70,71,70,BAN,0.1,Male,2012,2011
71,72,71,BAN,0.1,Male,2012,2011
72,73,72,BAN,0.1,Male,2012,2011
73,74,73,BAN,0.1,Male,2012,2011
74,75,74,BAN,0.1,Male,2012,2011
75,76,75,BAN,0.1,Male,2012,2011
76,77,76,BAN,0.1,Male,2012,2011
77,78,77,BAN,0.1,Male,2012,2011
78,79,78,BAN,0.1,Male,2012,2011
79,80,79,BAN,0.1,Male,2012,2011
80,81,80,BAN,0.1,Male,2012,2011
81,82,81,BAN,0.1,Male,2012,2011
82,83,82,BAN,0.1,Male,2012,2011
83,84,83,BAN,0.1,Male,2012,2011
84,85,84,BAN,0.1,Male,2012,2011
85,86,85,BAN,0.1,Male,2012,2011
86,87,86,BAN,0.1,Male,2012,2011
87,88,87,BAN,0.1,Male,2012,2011
88,89,88,BAN,0.1,Male,2012,2011
89,90,89,BAN,0.1,Male,2012,2011
90,91,90,BAN,0.1,Male,2012,2011
91,92,91,BAN,0.1,Male,2012,2011
92,93,92,BAN,0.1,Male,2012,2011
93,94,93,BAN,0.1,Male,2012,2011
94,95,94,BAN,0.1,Male,2012,2011
95,96,95,BAN,0.1,Male,2012,2011
96,97,96,BAN,0.1,Male,2012,2011
97,98,97,BAN,0.1,Male,2012,2011
98,99,98,BAN,0.1,Male,2012,2011
99,100,99,BAN,0.1,Male,2012,2011
100,1,0,BAN,0.1,Female,2012,2011
101,2,1,BAN,0.1,Female,2012,2011
102,3,2,BAN,0.1,Female,2012,2011
103,4,3,BAN,0.1,Female,2012,2011
104,5,4,BAN,0.1,Female,2012,2011
105,6,5,BAN,0.1,Female,2012,2011
106,7,6,BAN,0.1,Female,2012,2011
107,8,7,BAN,0.1,Female,2012,2011
108,9,8,BAN,0.1,Female,2012,2011
109,10,9,BAN,0.1,Female,2012,2011
110,11,10,BAN,0.1,Female,2012,2011
111,12,11,BAN,0.1,Female,2012,2011
112,13,12,BAN,0.1,Female,2012,2011
113,14,13,BAN,0.1,Female,2012,2011
114,15,14,BAN,0.1,Female,2012,2011
115,16,15,BAN,0.1,Female,2012,2011
116,17,16,BAN,0.1,Female,2012,2011
117,18,17,BAN,0.1,Female,2012,2011
118,19,18,BAN,0.1,Female,2012,2011
119,20,19,BAN,0.1,Female,2012,2011
120,21,20,BAN,0.1,Female,2012,2011
121,22,21,BAN,0.1,Female,2012,2011
122,23,22,BAN,0.1,Female,2012,2011
123,24,23,BAN,0.1,Female,2012,2011
124,25,24,BAN,0.1,Female,2012,2011
125,26,25,BAN,0.1,Female,2012,2011
126,27,26,BAN,0.1,Female,2012,2011
127,28,27,BAN,0.1,Female,2012,2011
128,29,28,BAN,0.1,Female,2012,2011
129,30,29,BAN,0.1,Female,2012,2011
130,31,30,BAN,0.1,Female,2012,2011
131,32,31,BAN,0.1,Female,2012,2011
132,33,32,BAN,0.1,Female,2012,2011
133,34,33,BAN,0.1,Female,2012,2011
134,35,34,BAN,0.1,Female,2012,2011
135,36,35,BAN,0.1,Female,2012,2011
136,37,36,BAN,0.1,Female,2012,2011
137,38,37,BAN,0.1,Female,2012,2011
138,39,38,BAN,0.1,Female,2012,2011
139,40,39,BAN,0.1,Female,2012,2011
140,41,40,BAN,0.1,Female,2012,2011
141,42,41,BAN,0.1,Female,2012,2011
142,43,42,BAN,0.1,Female,2012,2011
143,44,43,BAN,0.1,Female,2012,2011
144,45,44,BAN,0.1,Female,2012,2011
145,46,45,BAN,0.1,Female,2012,2011
146,47,46,BAN,0.1,Female,2012,2011
147,48,47,BAN,0.1,Female,2012,2011
148,49,48,BAN,0.1,Female,2012,2011
149,50,49,BAN,0.1,Female,2012,2011
150,51,50,BAN,0.1,Female,2012,2011
151,52,51,BAN,0.1,Female,2012,2011
152,53,52,BAN,0.1,Female,2012,2011
153,54,53,BAN,0.1,Female,2012,2011
154,55,54,BAN,0.1,Female,2012,2011
155,56,55,BAN,0.1,Female,2012,2011
156,57,56,BAN,0.1,Female,2012,2011
157,58,57,BAN,0.1,Female,2012,2011
158,59,58,BAN,0.1,Female,2012,2011
159,60,59,BAN,0.1,Female,2012,2011
160,61,60,BAN,0.1,Female,2012,2011
161,62,61,BAN,0.1,Female,2012,2011
162,63,62,BAN,0.1,Female,2012,2011
163,64,63,BAN,0.1,Female,2012,2011
164,65,64,BAN,0.1,Female,2012,2011
165,66,65,BAN,0.1,Female,2012,2011
166,67,66,BAN,0.1,Female,2012,2011
167,68,67,BAN,0.1,Female,2012,2011
168,69,68,BAN,0.1,Female,2012,2011
169,70,69,BAN,0.1,Female,2012,2011
170,71,70,BAN,0.1,Female,2012,2011
171,72,71,BAN,0.1,Female,2012,2011
172,73,72,BAN,0.1,Female,2012,2011
173,74,73,BAN,0.1,Female,2012,2011
174,75,74,BAN,0.1,Female,2012,2011
175,76,75,BAN,0.1,Female,2012,2011
176,77,76,BAN,0.1,Female,2012,2011
177,78,77,BAN,0.1,Female,2012,2011
178,79,78,BAN,0.1,Female,2012,2011
179,80,79,BAN,0.1,Female,2012,2011
180,81,80,BAN,0.1,Female,2012,2011
181,82,81,BAN,0.1,Female,2012,2011
182,83,82,BAN,0.1,Female,2012,2011
183,84,83,BAN,0.1,Female,2012,2011
184,85,84,BAN,0.1,Female,2012,2011
185,86,85,BAN,0.1,Female,2012,2011
186,87,86,BAN,0.1,Female,2012,2011
187,88,87,BAN,0.1,Female,2012,2011
188,89,88,BAN,0.1,Female,2012,2011
189,90,89,BAN,0.1,Female,2012,2011
190,91,90,BAN,0.1,Female,2012,2011
191,92,91,BAN,0.1,Female,2012,2011
192,93,92,BAN,0.1,Female,2012,2011
193,94,93,BAN,0.1,Female,2012,2011
194,95,94,BAN,0.1,Female,2012,2011
195,96,95,BAN,0.1,Female,2012,2011
196,97,96,BAN,0.1,Female,2012,2011
197,98,97,BAN,0.1,Female,2012,2011
198,99,98,BAN,0.1,Female,2012,2011
199,100,99,BAN,0.1,Female,2012,2011
200,1,0,BLA,0.1,Male,2012,2011
201,2,1,BLA,0.1,Male,2012,2011
202,3,2,BLA,0.1,Male,2012,2011
203,4,3,BLA,0.1,Male,2012,2011
204,5,4,BLA,0.1,Male,2012,2011
205,6,5,BLA,0.1,Male,2012,2011
206,7,6,BLA,0.1,Male,2012,2011
207,8,7,BLA,0.1,Male,2012,2011
208,9,8,BLA,0.1,Male,2012,2011
