,age_end,age_start,ethnicity,mean_value,sex,year_end,year_start
0,11,10,BAN,0.00011856635218508992,Female,2012,2011
1,12,11,BAN,0.00013871572750642663,Female,2012,2011
2,13,12,BAN,9.948820565552697e-05,Female,2012,2011
3,14,13,BAN,0.00010140461696658083,Female,2012,2011
4,15,14,BAN,0.00016112643958868898,Female,2012,2011
5,16,15,BAN,0.00020232907197943446,Female,2012,2011
6,17,16,BAN,0.0002060062750642672,Female,2012,2011
7,18,17,BAN,0.00019857142673521857,Female,2012,2011
8,19,18,BAN,0.00019323332390745507,Female,2012,2011
9,20,19,BAN,0.00021715547557840602,Female,2012,2011
10,21,20,BAN,0.00022308510539845747,Female,2012,2011
11,22,21,BAN,0.00019283978149100265,Female,2012,2011
12,23,22,BAN,0.00018502210539845759,Female,2012,2011
13,24,23,BAN,0.0001806861670951156,Female,2012,2011
14,25,24,BAN,0.000185604884318766,Female,2012,2011
15,26,25,BAN,0.0002243513907455014,Female,2012,2011
16,27,26,BAN,0.00026679199228791747,Female,2012,2011
17,28,27,BAN,0.00028049630848329065,Female,2012,2011
18,29,28,BAN,0.0003057058611825193,Female,2012,2011
19,30,29,BAN,0.00030444801799485866,Female,2012,2011
20,31,30,BAN,0.00032902084575835464,Female,2012,2011
21,32,31,BAN,0.00038575517737789226,Female,2012,2011
22,33,32,BAN,0.0004229993213367609,Female,2012,2011
23,34,33,BAN,0.0004633618406169664,Female,2012,2011
24,35,34,BAN,0.0005308519768637533,Female,2012,2011
25,36,35,BAN,0.0005646962673521857,Female,2012,2011
26,37,36,BAN,0.0005395540976863752,Female,2012,2011
27,38,37,BAN,0.0005773568200514143,Female,2012,2011
28,39,38,BAN,0.0005820954010282777,Female,2012,2011
29,40,39,BAN,0.0006612834550128537,Female,2012,2011
30,41,40,BAN,0.0008304044704370183,Female,2012,2011
31,42,41,BAN,0.0009253479897172241,Female,2012,2011
32,43,42,BAN,0.0009989143161953727,Female,2012,2011
33,44,43,BAN,0.001122744820051414,Female,2012,2011
34,45,44,BAN,0.0011880345424164526,Female,2012,2011
35,46,45,BAN,0.001345589526992288,Female,2012,2011
36,47,46,BAN,0.0015868566940874045,Female,2012,2011
37,48,47,BAN,0.0019463237403598973,Female,2012,2011
38,49,48,BAN,0.0021978311311053986,Female,2012,2011
39,50,49,BAN,0.002112652424164525,Female,2012,2011
40,11,10,BLA,0.00011897412596401028,Female,2012,2011
41,12,11,BLA,0.00014892670951156809,Female,2012,2011
42,13,12,BLA,0.00013255583804627256,Female,2012,2011
43,14,13,BLA,0.0001304161568123393,Female,2012,2011
44,15,14,BLA,0.00015292427506426737,Female,2012,2011
45,16,15,BLA,0.00018755060411311048,Female,2012,2011
46,17,16,BLA,0.00021099719537275068,Female,2012,2011
47,18,17,BLA,0.0001924217532133676,Female,2012,2011
48,19,18,BLA,0.00017231445758354768,Female,2012,2011
49,20,19,BLA,0.00019766014395886905,Female,2012,2011
50,21,20,BLA,0.00022982942930591265,Female,2012,2011
