,age_end,age_start,ethnicity,mean_value,sex,year_end,year_start
0,1,0,BAN,0.0018243467686375329,1,2012,2011
1,2,1,BAN,0.0002884594575835477,1,2012,2011
2,3,2,BAN,0.00018533542159383028,1,2012,2011
3,4,3,BAN,0.0001567610179948587,1,2012,2011
4,5,4,BAN,0.0001458024987146531,1,2012,2011
5,6,5,BAN,0.00016296887660668363,1,2012,2011
6,7,6,BAN,0.00017686057583547564,1,2012,2011
7,8,7,BAN,0.0001551666015424165,1,2012,2011
8,9,8,BAN,0.00015297225192802046,1,2012,2011
9,10,9,BAN,0.00014423353984575844,1,2012,2011
10,11,10,BAN,0.00012950094087403605,1,2012,2011
11,12,11,BAN,0.00015380436246786636,1,2012,2011
12,13,12,BAN,0.00017501695629820057,1,2012,2011
13,14,13,BAN,0.0001723361593830333,1,2012,2011
14,15,14,BAN,0.00017514709511568102,1,2012,2011
15,16,15,BAN,0.0002033842544987148,1,2012,2011
16,17,16,BAN,0.0002691009048843188,1,2012,2011
17,18,17,BAN,0.000438040796915167,1,2012,2011
18,19,18,BAN,0.000503924442159383,1,2012,2011
19,20,19,BAN,0.00043365994087403616,1,2012,2011
20,21,20,BAN,0.000458162452442159,1,2012,2011
21,22,21,BAN,0.00045502352442159375,1,2012,2011
22,23,22,BAN,0.00046410309254498665,1,2012,2011
23,24,23,BAN,0.0005216405501285347,1,2012,2011
24,25,24,BAN,0.0004957764395886887,1,2012,2011
25,26,25,BAN,0.0004936744575835478,1,2012,2011
26,27,26,BAN,0.0005055381722365041,1,2012,2011
27,28,27,BAN,0.00048549781748072004,1,2012,2011
28,29,28,BAN,0.0005905027583547557,1,2012,2011
29,30,29,BAN,0.0006307140694087404,1,2012,2011
30,31,30,BAN,0.0006308635681233939,1,2012,2011
31,32,31,BAN,0.0007061341542416453,1,2012,2011
32,33,32,BAN,0.0007680300719794346,1,2012,2011
33,34,33,BAN,0.0008548862776349619,1,2012,2011
34,35,34,BAN,0.0009131648920308477,1,2012,2011
35,36,35,BAN,0.0009876819460154249,1,2012,2011
36,37,36,BAN,0.0010708339922879183,1,2012,2011
37,38,37,BAN,0.0011593776503856035,1,2012,2011
38,39,38,BAN,0.0012506650334190251,1,2012,2011
39,40,39,BAN,0.001359237169665809,1,2012,2011
40,41,40,BAN,0.0014932667609254494,1,2012,2011
41,42,41,BAN,0.0016655540951156795,1,2012,2011
42,43,42,BAN,0.0017922489845758355,1,2012,2011
43,44,43,BAN,0.0018888414087403602,1,2012,2011
44,45,44,BAN,0.002087951195372752,1,2012,2011
45,46,45,BAN,0.002248052169665808,1,2012,2011
46,47,46,BAN,0.002509465223650386,1,2012,2011
47,48,47,BAN,0.0027401683393316204,1,2012,2011
48,49,48,BAN,0.0030598472596401033,1,2012,2011
49,50,49,BAN,0.0032604511079691533,1,2012,2011
50,51,50,BAN,0.0033981364190231373,1,2012,2011
51,52,51,BAN,0.0038370988791773773,1,2012,2011
52,53,52,BAN,0.004075354002570689,1,2012,2011
53,54,53,BAN,0.0048525437377892,1,2012,2011
54,55,54,BAN,0.005699141650385604,1,2012,2011
55,56,55,BAN,0.006124210447300769,1,2012,2011
56,57,56,BAN,0.006675310974293064,1,2012,2011
57,58,57,BAN,0.007491723416452443,1,2012,2011
58,59,58,BAN,0.007827137825192808,1,2012,2011
59,60,59,BAN,0.008481989768637536,1,2012,2011
60,61,60,BAN,0.009961568259640091,1,2012,2011
61,62,61,BAN,0.010871557493573271,1,2012,2011
62,63,62,BAN,0.011334244940874044,1,2012,2011
63,64,63,BAN,0.011050986506426731,1,2012,2011
64,65,64,BAN,0.012016048030848324,1,2012,2011
65,66,65,BAN,0.014268180737789187,1,2012,2011
66,67,66,BAN,0.015601602742930591,1,2012,2011
67,68,67,BAN,0.017140537856041145,1,2012,2011
68,69,68,BAN,0.020591944344473,1,2012,2011
69,70,69,BAN,0.02380172534447301,1,2012,2011
70,71,70,BAN,0.025103174089974273,1,2012,2011
71,72,71,BAN,0.026452854938303363,1,2012,2011
72,73,72,BAN,0.028341943462724936,1,2012,2011
73,74,73,BAN,0.03132664191259641,1,2012,2011
74,75,74,BAN,0.03552733856041135,1,2012,2011
75,76,75,BAN,0.03910419250128537,1,2012,2011
76,77,76,BAN,0.04293305544730077,1,2012,2011
77,78,77,BAN,0.04749739439588691,1,2012,2011
78,79,78,BAN,0.05210724484318767,1,2012,2011
79,80,79,BAN,0.05905352725192802,1,2012,2011
80,81,80,BAN,0.06524570329048844,1,2012,2011
81,82,81,BAN,0.07209058835218507,1,2012,2011
