"","x"
"1",63.9097686690802
"2",63.8477018087262
"3",61.4171448604166
"4",57.430571083583
"5",59.8731310466139
"6",59.962983835848
"7",57.4504614355683
"8",56.8371526759829
"9",54.078882998773
"10",53.2693188820249
"11",51.3894139518207
"12",51.9746793754859
"13",54.0867114415927
"14",53.8370036325364
"15",56.1269980309003
"16",62.2319548235164
"17",79.2983410206315
"18",83.4800635867517
"19",96.55087014088
"20",107.43754925813
"21",100
"22",108.548902819433
"23",118.157683549064
"24",124.532459624808
"25",128.688494096235
"26",122.116959330361
"27",112.72557135446
"28",109.441142866537
"29",111.819718036551
"30",108.904881266491
"31",92.564424545484
"32",92.6909195001742
"33",167.095357665061
