"","x"
"1",56.6537589287092
"2",50.1711300371204
"3",42.0670034386586
"4",43.48329226916
"5",42.1321090197533
"6",40.6152870199814
"7",45.5213996367336
"8",41.8452644397268
"9",32.0355324557265
"10",35.7782346066999
"11",54.1173892152978
"12",50.0812321173635
"13",44.2419906340593
"14",47.9249568456437
"15",55.1221125982936
"16",72.7510279863716
"17",80.4637458097463
"18",78.3033524121014
"19",113.15485836264
"20",78.1284766374811
"21",100
"22",123.905525055484
"23",125.717295382054
"24",123.469589212999
"25",108.072249601179
"26",75.6668360920201
"27",66.2064755668354
"28",80.5525043329252
"29",99.0180545335947
"30",94.4189697465249
"31",62.7995142266097
"32",82.8569871120975
"33",146.894071361703
"34",109.454668860921
