"","x"
"1",61.4116710221823
"2",61.1159091282962
"3",61.3654223188843
"4",59.6585159391293
"5",62.4018161180477
"6",61.5309169853322
"7",59.6771618594158
"8",60.1869368422528
"9",59.8649641709994
"10",60.1364807275347
"11",60.3451831459148
"12",61.9829360025963
"13",63.8477388814364
"14",63.4713763319824
"15",65.1334745665351
"16",69.6448840603211
"17",72.8170047338065
"18",76.1854470851164
"19",87.7642871094684
"20",101.416765053129
"21",100
"22",102.611186811425
"23",104.615839311261
"24",104.038742188572
"25",105.539947949111
"26",105.067713022036
"27",102.862401700931
"28",103.375282737095
"29",103.378902468293
"30",104.913053348468
"31",103.303289784658
"32",106.517250979804
"33",123.777102808012
