"","ethnicity","sex","age","count"
"1","BAN","Male",16,4113.422509416
"2","BAN","Male",17,3959.132530848
"3","BAN","Male",18,3836.085945759
"4","BAN","Male",19,4054.613081689
"5","BAN","Male",20,4537.042836144
"6","BAN","Male",21,4589.529027155
"7","BAN","Male",22,4389.331011993
"8","BAN","Male",23,4566.942034569
"9","BAN","Male",24,4379.248079352
"10","BAN","Male",25,4479.637045414
"11","BAN","Male",26,4821.428504511
"12","BAN","Male",27,4605.83134987
"13","BAN","Male",28,4771.07006758
"14","BAN","Male",29,4694.409451809
"15","BAN","Male",30,4818.956527053
"16","BAN","Male",31,4828.643775471
"17","BAN","Male",32,4550.684236603
"18","BAN","Male",33,4622.257586785
"19","BAN","Male",34,4666.405889284
"20","BAN","Male",35,4568.209965482
"21","BAN","Male",36,4382.373458232
"22","BAN","Male",37,4650.916456513
"23","BAN","Male",38,3675.803431527
"24","BAN","Male",39,3798.201323458
"25","BAN","Male",40,3767.927389527
"26","BAN","Male",41,3524.061872294
"27","BAN","Male",42,3071.413751472
"28","BAN","Male",43,2847.281116843
"29","BAN","Male",44,2401.586673686
"30","BAN","Male",45,2015.514039718
"31","BAN","Male",46,1758.992506577
"32","BAN","Male",47,2008.118767008
"33","BAN","Male",48,1921.565400147
"34","BAN","Male",49,1870.082210989
"35","BAN","Male",50,1653.195236519
"36","BAN","Male",51,1709.515139429
"37","BAN","Male",52,1673.803932594
"38","BAN","Male",53,1547.347350829
"39","BAN","Male",54,1377.004662876
"40","BAN","Male",55,1251.720067622
"41","BAN","Male",56,1081.841768467
"42","BAN","Male",57,919.768542716
"43","BAN","Male",58,775.606262517
"44","BAN","Male",59,531.069535876
"45","BAN","Male",60,361.443773107
"46","BAN","Male",61,324.567535586
"47","BAN","Male",62,271.79315658
"48","BAN","Male",63,247.021040286
"49","BAN","Male",64,256.866075169
"50","BAN","Male",65,288.51811661
"51","BAN","Male",66,313.442860531
"52","BAN","Male",67,398.303033764
"53","BAN","Male",68,509.287431943
"54","BAN","Male",69,517.197994183
"55","BAN","Male",70,686.757592192
"56","BAN","Male",71,714.551823737
"57","BAN","Male",72,641.201012956
"58","BAN","Male",73,716.275629962
"59","BAN","Male",74,711.293896266
"60","BAN","Male",75,587.265387619
"61","BAN","Male",76,466.715975479
"62","BAN","Male",77,367.053673171
"63","BAN","Male",78,375.961041148
"64","BAN","Male",79,372.546730248
"65","BAN","Male",80,309.991508659
"66","BAN","Male",81,277.780372906
"67","BAN","Male",82,154.496514241
"68","BAN","Male",83,161.8384806
"69","BAN","Male",84,122.441030701
"70","BAN","Male",85,52.235072077
"71","BAN","Male",86,44.768198174
"72","BAN","Male",87,38.375028621
"73","BAN","Male",88,32.724171575
"74","BAN","Male",89,29.946226419
"75","BAN","Male",90,22.05995608
"76","BAN","Male",91,16.132999263
"77","BAN","Male",92,8.260434999
"78","BAN","Male",93,6.388389491
"79","BAN","Male",94,5.514256505
"80","BAN","Male",95,3.236965959
"81","BAN","Male",96,2.755907457
"82","BAN","Male",97,2.311734709
"83","BAN","Male",98,1.366945815
"84","BAN","Male",99,0.774292538
"85","BAN","Male",100,1.070200866
"86","BAN","Female",16,3970.452095828
"87","BAN","Female",17,3712.391263774
"88","BAN","Female",18,3428.290830367
"89","BAN","Female",19,3566.124757218
"90","BAN","Female",20,3758.836153456
"91","BAN","Female",21,3862.864747092
"92","BAN","Female",22,4166.204865432
"93","BAN","Female",23,4637.582772567
"94","BAN","Female",24,4611.894597511
"95","BAN","Female",25,4595.542152259
"96","BAN","Female",26,4748.500065551
"97","BAN","Female",27,4930.644098569
"98","BAN","Female",28,4913.192005974
"99","BAN","Female",29,5092.319084961
"100","BAN","Female",30,4898.575971578
"101","BAN","Female",31,4824.696767152
"102","BAN","Female",32,4423.920640036
"103","BAN","Female",33,4325.218884572
"104","BAN","Female",34,4458.248486978
"105","BAN","Female",35,3873.514627118
"106","BAN","Female",36,3966.72954245
"107","BAN","Female",37,3889.976940348
"108","BAN","Female",38,3081.285124817
"109","BAN","Female",39,3030.835635385
"110","BAN","Female",40,2646.610870219
"111","BAN","Female",41,2381.949611323
"112","BAN","Female",42,2074.500746296
"113","BAN","Female",43,1941.375794297
"114","BAN","Female",44,1720.165388498
"115","BAN","Female",45,1527.947170081
"116","BAN","Female",46,1364.485178828
"117","BAN","Female",47,1402.613034136
"118","BAN","Female",48,1257.304079322
"119","BAN","Female",49,1144.920719199
"120","BAN","Female",50,973.561436939
"121","BAN","Female",51,1024.193172612
"122","BAN","Female",52,977.121198295
"123","BAN","Female",53,1075.737866726
"124","BAN","Female",54,1229.929936293
"125","BAN","Female",55,1019.711213146
"126","BAN","Female",56,1132.747673209
"127","BAN","Female",57,1100.629055788
"128","BAN","Female",58,1277.798119396
"129","BAN","Female",59,1178.579565306
"130","BAN","Female",60,1080.643535654
"131","BAN","Female",61,936.009599687
"132","BAN","Female",62,719.889254418
"133","BAN","Female",63,667.833920188
"134","BAN","Female",64,613.050513093
"135","BAN","Female",65,567.701796351
"136","BAN","Female",66,492.36999716
"137","BAN","Female",67,554.150804671
"138","BAN","Female",68,563.204419667
"139","BAN","Female",69,562.248216313
"140","BAN","Female",70,651.195869443
"141","BAN","Female",71,650.118008557
"142","BAN","Female",72,556.717866772
"143","BAN","Female",73,452.975231205
"144","BAN","Female",74,420.930529884
"145","BAN","Female",75,428.32060532
"146","BAN","Female",76,355.939651592
"147","BAN","Female",77,317.425278826
"148","BAN","Female",78,246.801009803
"149","BAN","Female",79,175.093179497
"150","BAN","Female",80,193.870377794
"151","BAN","Female",81,154.219070451
"152","BAN","Female",82,105.846941867
"153","BAN","Female",83,75.358719041
"154","BAN","Female",84,46.29992539
"155","BAN","Female",85,46.226825195
"156","BAN","Female",86,42.989471616
"157","BAN","Female",87,38.799836717
"158","BAN","Female",88,33.665100056
"159","BAN","Female",89,30.437748323
"160","BAN","Female",90,21.911361537
"161","BAN","Female",91,16.29968228
"162","BAN","Female",92,8.975573606
"163","BAN","Female",93,8.239122099
"164","BAN","Female",94,6.686385785
"165","BAN","Female",95,5.242009457
"166","BAN","Female",96,3.796794898
"167","BAN","Female",97,3.125713786
"168","BAN","Female",98,1.500333038
"169","BAN","Female",99,1.116516458
"170","BAN","Female",100,5.160695219
"171","BLA","Male",16,8014.860612611
"172","BLA","Male",17,8281.772775252
"173","BLA","Male",18,8159.589191477
"174","BLA","Male",19,7987.938406727
"175","BLA","Male",20,8392.37485615
"176","BLA","Male",21,8460.15062826
"177","BLA","Male",22,7841.102090128
"178","BLA","Male",23,7353.754570646
"179","BLA","Male",24,7581.785720683
"180","BLA","Male",25,8311.777361827
"181","BLA","Male",26,8285.368130613
"182","BLA","Male",27,8565.84956276
"183","BLA","Male",28,9061.128944941
"184","BLA","Male",29,8878.776405438
"185","BLA","Male",30,9999.187318268
"186","BLA","Male",31,10308.138901254
"187","BLA","Male",32,10718.652936294
"188","BLA","Male",33,10149.875505838
"189","BLA","Male",34,10231.50507275
"190","BLA","Male",35,10255.340571868
"191","BLA","Male",36,10229.020121731
"192","BLA","Male",37,9343.872366827
"193","BLA","Male",38,9757.096651012
"194","BLA","Male",39,8480.631604691
"195","BLA","Male",40,9584.451755961
"196","BLA","Male",41,9138.838241335
"197","BLA","Male",42,9146.262286389
"198","BLA","Male",43,8463.025099599
"199","BLA","Male",44,8268.592260598
"200","BLA","Male",45,7998.223235499
"201","BLA","Male",46,7395.844905991
"202","BLA","Male",47,6523.571200718
"203","BLA","Male",48,6219.758453988
"204","BLA","Male",49,4957.402204037
"205","BLA","Male",50,5580.982713395
"206","BLA","Male",51,4999.93732779
"207","BLA","Male",52,4319.997518763
"208","BLA","Male",53,3781.809171063
"209","BLA","Male",54,3404.890751103
"210","BLA","Male",55,3060.841901265
"211","BLA","Male",56,2829.321394767
"212","BLA","Male",57,2223.961333563
"213","BLA","Male",58,2111.748971986
"214","BLA","Male",59,1602.070272609
"215","BLA","Male",60,1685.86266146
"216","BLA","Male",61,1511.99786092
"217","BLA","Male",62,1344.796330447
"218","BLA","Male",63,1096.331107441
"219","BLA","Male",64,1007.140588683
"220","BLA","Male",65,928.123500108
"221","BLA","Male",66,819.5483134
"222","BLA","Male",67,724.546041491
"223","BLA","Male",68,824.917555098
"224","BLA","Male",69,630.910175742
"225","BLA","Male",70,753.584138224
"226","BLA","Male",71,834.641001146
"227","BLA","Male",72,755.286139588
"228","BLA","Male",73,663.815529054
"229","BLA","Male",74,631.784572652
"230","BLA","Male",75,594.970087719
"231","BLA","Male",76,518.932858771
"232","BLA","Male",77,367.635599257
"233","BLA","Male",78,335.058531086
"234","BLA","Male",79,252.849704456
"235","BLA","Male",80,219.889988715
"236","BLA","Male",81,184.659855648
"237","BLA","Male",82,169.514266999
"238","BLA","Male",83,109.236839069
"239","BLA","Male",84,113.863546561
"240","BLA","Male",85,84.481863111
"241","BLA","Male",86,73.771610938
"242","BLA","Male",87,63.033080416
"243","BLA","Male",88,53.546029216
"244","BLA","Male",89,45.932187994
"245","BLA","Male",90,37.149642977
"246","BLA","Male",91,27.76608613
"247","BLA","Male",92,14.136752261
"248","BLA","Male",93,10.595376736
"249","BLA","Male",94,9.144264408
"250","BLA","Male",95,10.31118513
"251","BLA","Male",96,6.641355507
"252","BLA","Male",97,5.011177389
"253","BLA","Male",98,3.301692885
"254","BLA","Male",99,1.926105396
"255","BLA","Male",100,13.463768548
"256","BLA","Female",16,8255.678248341
"257","BLA","Female",17,8304.910165297
"258","BLA","Female",18,8442.013541541
"259","BLA","Female",19,8424.357587475
"260","BLA","Female",20,8457.862839246
"261","BLA","Female",21,8525.740489488
"262","BLA","Female",22,8271.104889906
"263","BLA","Female",23,8563.949385064
"264","BLA","Female",24,8909.845320574
"265","BLA","Female",25,9196.793913934
"266","BLA","Female",26,9349.709243255
"267","BLA","Female",27,9622.876103525
"268","BLA","Female",28,10508.353645352
"269","BLA","Female",29,10191.151725069
"270","BLA","Female",30,11058.00335493
"271","BLA","Female",31,11703.467351283
"272","BLA","Female",32,11812.515087694
"273","BLA","Female",33,11286.127347486
"274","BLA","Female",34,11450.943211356
"275","BLA","Female",35,11283.723814541
"276","BLA","Female",36,11053.593296991
"277","BLA","Female",37,10387.488053178
"278","BLA","Female",38,10447.536653563
"279","BLA","Female",39,8968.144404111
"280","BLA","Female",40,10123.297171146
"281","BLA","Female",41,9859.501580357
"282","BLA","Female",42,9809.741689824
"283","BLA","Female",43,9115.159986524
"284","BLA","Female",44,8701.408348274
"285","BLA","Female",45,8410.126856501
"286","BLA","Female",46,7949.767966307
"287","BLA","Female",47,6925.627479924
"288","BLA","Female",48,6566.597914854
"289","BLA","Female",49,5170.552919483
