,region,ethnicity,age_start,age_end,sex,year_start,year_end,mean_value
0,East Midlands,BAN,10,11,Female,2020,2021,0.0010876715549006
1,East Midlands,BAN,10,11,Female,2021,2022,0.0010923246952424
2,East Midlands,BAN,10,11,Female,2022,2023,0.0010961053717701
3,East Midlands,BAN,10,11,Female,2023,2024,0.001098431941941
4,East Midlands,BAN,10,11,Female,2024,2025,0.0010995952270265
5,East Midlands,BAN,11,12,Female,2020,2021,0.0041949324864057
6,East Midlands,BAN,11,12,Female,2021,2022,0.0042128787216416
7,East Midlands,BAN,11,12,Female,2022,2023,0.0042274600377708
8,East Midlands,BAN,11,12,Female,2023,2024,0.0042364331553888
9,East Midlands,BAN,11,12,Female,2024,2025,0.0042409197141978
10,East Midlands,BAN,12,13,Female,2020,2021,0.0143510916760656
11,East Midlands,BAN,12,13,Female,2021,2022,0.0144124867206691
12,East Midlands,BAN,12,13,Female,2022,2023,0.0144623701944095
13,East Midlands,BAN,12,13,Female,2023,2024,0.0144930677167112
14,East Midlands,BAN,12,13,Female,2024,2025,0.0145084164778621
15,East Midlands,BAN,13,14,Female,2020,2021,0.0251086478054444
16,East Midlands,BAN,13,14,Female,2021,2022,0.0252160644805479
17,East Midlands,BAN,13,14,Female,2022,2023,0.0253033405290695
18,East Midlands,BAN,13,14,Female,2023,2024,0.0253570488666213
19,East Midlands,BAN,13,14,Female,2024,2025,0.0253839030353971
20,East Midlands,BAN,14,15,Female,2020,2021,0.0398234687263422
21,East Midlands,BAN,14,15,Female,2021,2022,0.0399938365069896
22,East Midlands,BAN,14,15,Female,2022,2023,0.0401322603287657
23,East Midlands,BAN,14,15,Female,2023,2024,0.0402174442190894
24,East Midlands,BAN,14,15,Female,2024,2025,0.0402600361642513
25,East Midlands,BAN,15,16,Female,2020,2021,0.0581556570778526
26,East Midlands,BAN,15,16,Female,2021,2022,0.0584044513327311
27,East Midlands,BAN,15,16,Female,2022,2023,0.0586065966648199
28,East Midlands,BAN,15,16,Female,2023,2024,0.0587309937922591
29,East Midlands,BAN,15,16,Female,2024,2025,0.0587931923559787
30,East Midlands,BAN,16,17,Female,2020,2021,0.0791882713587716
31,East Midlands,BAN,16,17,Female,2021,2022,0.0795270447121781
32,East Midlands,BAN,16,17,Female,2022,2023,0.0798022980618209
33,East Midlands,BAN,16,17,Female,2023,2024,0.0799716847385241
34,East Midlands,BAN,16,17,Female,2024,2025,0.0800563780768757
35,East Midlands,BAN,17,18,Female,2020,2021,0.1015914143087249
36,East Midlands,BAN,17,18,Female,2021,2022,0.1020260299849119
37,East Midlands,BAN,17,18,Female,2022,2023,0.1023791552218139
38,East Midlands,BAN,17,18,Female,2023,2024,0.1025964630599074
39,East Midlands,BAN,17,18,Female,2024,2025,0.1027051169789542
40,East Midlands,BAN,18,19,Female,2020,2021,0.1274492245357167
41,East Midlands,BAN,18,19,Female,2021,2022,0.1279944618599338
42,East Midlands,BAN,18,19,Female,2022,2023,0.1284374671858602
