,region,ethnicity,age_start,age_end,sex,year_start,year_end,mean_value
0,East Midlands,BAN,10,11,Female,2011,2012,0.0011224537789558
1,East Midlands,BAN,11,12,Female,2011,2012,0.0043290805947945
2,East Midlands,BAN,12,13,Female,2011,2012,0.0148100196344767
3,East Midlands,BAN,13,14,Female,2011,2012,0.0259115874518431
4,East Midlands,BAN,14,15,Female,2011,2012,0.0410969678866819
5,East Midlands,BAN,15,16,Female,2011,2012,0.0600153941330695
6,East Midlands,BAN,16,17,Female,2011,2012,0.0817206021754852
7,East Midlands,BAN,17,18,Female,2011,2012,0.1048401664882232
8,East Midlands,BAN,18,19,Female,2011,2012,0.1315248735342387
9,East Midlands,BAN,19,20,Female,2011,2012,0.1569534541516151
10,East Midlands,BAN,20,21,Female,2011,2012,0.1797655980000088
11,East Midlands,BAN,21,22,Female,2011,2012,0.198950539600617
12,East Midlands,BAN,22,23,Female,2011,2012,0.2101845657895274
13,East Midlands,BAN,23,24,Female,2011,2012,0.2157170141812193
14,East Midlands,BAN,24,25,Female,2011,2012,0.2165925550279289
15,East Midlands,BAN,25,26,Female,2011,2012,0.2132684549179954
16,East Midlands,BAN,26,27,Female,2011,2012,0.2063647039874744
17,East Midlands,BAN,27,28,Female,2011,2012,0.1974146865974908
18,East Midlands,BAN,28,29,Female,2011,2012,0.1821147988935801
19,East Midlands,BAN,29,30,Female,2011,2012,0.1656471104176889
20,East Midlands,BAN,30,31,Female,2011,2012,0.1486151133682671
21,East Midlands,BAN,31,32,Female,2011,2012,0.1315297143766486
22,East Midlands,BAN,32,33,Female,2011,2012,0.1189674489901077
23,East Midlands,BAN,33,34,Female,2011,2012,0.103206998144707
24,East Midlands,BAN,34,35,Female,2011,2012,0.0884175350921742
25,East Midlands,BAN,35,36,Female,2011,2012,0.0747235945373645
26,East Midlands,BAN,36,37,Female,2011,2012,0.0621904794428338
27,East Midlands,BAN,37,38,Female,2011,2012,0.0543590370501567
28,East Midlands,BAN,38,39,Female,2011,2012,0.0464077154292063
29,East Midlands,BAN,39,40,Female,2011,2012,0.0393071629962823
30,East Midlands,BAN,40,41,Female,2011,2012,0.0330141631720117
31,East Midlands,BAN,41,42,Female,2011,2012,0.0274748125255987
32,East Midlands,BAN,42,43,Female,2011,2012,0.0234885555808356
33,East Midlands,BAN,43,44,Female,2011,2012,0.0200109919509738
34,East Midlands,BAN,44,45,Female,2011,2012,0.0169934614186841
35,East Midlands,BAN,45,46,Female,2011,2012,0.0143879008245187
36,East Midlands,BAN,46,47,Female,2011,2012,0.0131253224247794
37,East Midlands,BAN,47,48,Female,2011,2012,0.011063880579808
38,East Midlands,BAN,48,49,Female,2011,2012,0.0093033559070317
39,East Midlands,BAN,49,50,Female,2011,2012,0.0077295113318208
40,East Midlands,BLA,10,11,Female,2011,2012,0.000443133418996
41,East Midlands,BLA,11,12,Female,2011,2012,0.0019957917344097
42,East Midlands,BLA,12,13,Female,2011,2012,0.0077417268782434
43,East Midlands,BLA,13,14,Female,2011,2012,0.0142834416924497
44,East Midlands,BLA,14,15,Female,2011,2012,0.0237431562437667
45,East Midlands,BLA,15,16,Female,2011,2012,0.0361508919756567
46,East Midlands,BLA,16,17,Female,2011,2012,0.0510922684008908
47,East Midlands,BLA,17,18,Female,2011,2012,0.0677638947789224
48,East Midlands,BLA,18,19,Female,2011,2012,0.0876583987037996
49,East Midlands,BLA,19,20,Female,2011,2012,0.1074297011696506
50,East Midlands,BLA,20,21,Female,2011,2012,0.1259570329340579
51,East Midlands,BLA,21,22,Female,2011,2012,0.1423105152783372
52,East Midlands,BLA,22,23,Female,2011,2012,0.1532758347153738
53,East Midlands,BLA,23,24,Female,2011,2012,0.1600476587032618
54,East Midlands,BLA,24,25,Female,2011,2012,0.1632219902631091
55,East Midlands,BLA,25,26,Female,2011,2012,0.1629980921551133
56,East Midlands,BLA,26,27,Female,2011,2012,0.1597449064116755
57,East Midlands,BLA,27,28,Female,2011,2012,0.1545720055390481
58,East Midlands,BLA,28,29,Female,2011,2012,0.1440163853812788
59,East Midlands,BLA,29,30,Female,2011,2012,0.1321967529549897
60,East Midlands,BLA,30,31,Female,2011,2012,0.1196080876909953
61,East Midlands,BLA,31,32,Female,2011,2012,0.1066881296933334
62,East Midlands,BLA,32,33,Female,2011,2012,0.0971479763360796
63,East Midlands,BLA,33,34,Female,2011,2012,0.0847604901370664
64,East Midlands,BLA,34,35,Female,2011,2012,0.0729972181548355
65,East Midlands,BLA,35,36,Female,2011,2012,0.0619924694475305
66,East Midlands,BLA,36,37,Female,2011,2012,0.0518308515849358
67,East Midlands,BLA,37,38,Female,2011,2012,0.0454723072831722
68,East Midlands,BLA,38,39,Female,2011,2012,0.0389453417254077
69,East Midlands,BLA,39,40,Female,2011,2012,0.0330801940934333
70,East Midlands,BLA,40,41,Female,2011,2012,0.0278540701690928
71,East Midlands,BLA,41,42,Female,2011,2012,0.0232319664450526
72,East Midlands,BLA,42,43,Female,2011,2012,0.0198952275296085
73,East Midlands,BLA,43,44,Female,2011,2012,0.0169732333667877
74,East Midlands,BLA,44,45,Female,2011,2012,0.014429361212396
75,East Midlands,BLA,45,46,Female,2011,2012,0.0122266753073323
76,East Midlands,BLA,46,47,Female,2011,2012,0.0111583554275563
77,East Midlands,BLA,47,48,Female,2011,2012,0.0094096454768734
78,East Midlands,BLA,48,49,Female,2011,2012,0.0079134342183534
79,East Midlands,BLA,49,50,Female,2011,2012,0.0065745651200738
80,East Midlands,BLC,10,11,Female,2011,2012,0.0002932794080309
81,East Midlands,BLC,11,12,Female,2011,2012,0.0013224304557437
82,East Midlands,BLC,12,13,Female,2011,2012,0.0051283799611348
83,East Midlands,BLC,13,14,Female,2011,2012,0.009461124965717
84,East Midlands,BLC,14,15,Female,2011,2012,0.0157268218499876
85,East Midlands,BLC,15,16,Female,2011,2012,0.0239452326053077
86,East Midlands,BLC,16,17,Female,2011,2012,0.0338419805979927
87,East Midlands,BLC,17,18,Female,2011,2012,0.0448846376839703
88,East Midlands,BLC,18,19,Female,2011,2012,0.05806210638172
89,East Midlands,BLC,19,20,Female,2011,2012,0.0711579344335725
90,East Midlands,BLC,20,21,Female,2011,2012,0.0834297266054002
91,East Midlands,BLC,21,22,Female,2011,2012,0.0942616531026126
92,East Midlands,BLC,22,23,Female,2011,2012,0.1015244782386807
93,East Midlands,BLC,23,24,Female,2011,2012,0.1060098525562433
94,East Midlands,BLC,24,25,Female,2011,2012,0.1081124945111311
95,East Midlands,BLC,25,26,Female,2011,2012,0.1079643977580455
96,East Midlands,BLC,26,27,Female,2011,2012,0.1058097016486496
97,East Midlands,BLC,27,28,Female,2011,2012,0.1023834645577534
98,East Midlands,BLC,28,29,Female,2011,2012,0.0953918369249384
99,East Midlands,BLC,29,30,Female,2011,2012,0.0875626832151183
100,East Midlands,BLC,30,31,Female,2011,2012,0.0792245936875667
101,East Midlands,BLC,31,32,Female,2011,2012,0.0706667402564392
102,East Midlands,BLC,32,33,Female,2011,2012,0.0643475612848097
103,East Midlands,BLC,33,34,Female,2011,2012,0.0561426491909895
104,East Midlands,BLC,34,35,Female,2011,2012,0.0483507832652485
105,East Midlands,BLC,35,36,Female,2011,2012,0.0410616245281564
106,East Midlands,BLC,36,37,Female,2011,2012,0.0343309357284949
107,East Midlands,BLC,37,38,Female,2011,2012,0.0301194571212429
108,East Midlands,BLC,38,39,Female,2011,2012,0.0257963287681771
109,East Midlands,BLC,39,40,Female,2011,2012,0.0219115642681201
110,East Midlands,BLC,40,41,Female,2011,2012,0.018449915982593
111,East Midlands,BLC,41,42,Female,2011,2012,0.0153882904381026
112,East Midlands,BLC,42,43,Female,2011,2012,0.0131779993411444
113,East Midlands,BLC,43,44,Female,2011,2012,0.0112424840007003
114,East Midlands,BLC,44,45,Female,2011,2012,0.0095573623087459
115,East Midlands,BLC,45,46,Female,2011,2012,0.0080984641755883
116,East Midlands,BLC,46,47,Female,2011,2012,0.0073909590062311
117,East Midlands,BLC,47,48,Female,2011,2012,0.0062324908475953
118,East Midlands,BLC,48,49,Female,2011,2012,0.0052416585157214
119,East Midlands,BLC,49,50,Female,2011,2012,0.0043548565114168
120,East Midlands,CHI,10,11,Female,2011,2012,1.0377969196510151e-06
121,East Midlands,CHI,11,12,Female,2011,2012,1.5566953794765214e-05
122,East Midlands,CHI,12,13,Female,2011,2012,0.0002028892977917
123,East Midlands,CHI,13,14,Female,2011,2012,0.0006024411118574
124,East Midlands,CHI,14,15,Female,2011,2012,0.0015081783734828
125,East Midlands,CHI,15,16,Female,2011,2012,0.0032742492814989
126,East Midlands,CHI,16,17,Female,2011,2012,0.0063025406930406
127,East Midlands,CHI,17,18,Female,2011,2012,0.01094304961926
128,East Midlands,CHI,18,19,Female,2011,2012,0.0180415429006964
129,East Midlands,CHI,19,20,Female,2011,2012,0.0271003346513945
130,East Midlands,CHI,20,21,Female,2011,2012,0.0377713313630318
131,East Midlands,CHI,21,22,Female,2011,2012,0.0494397327364048
132,East Midlands,CHI,22,23,Female,2011,2012,0.0606585532240673
133,East Midlands,CHI,23,24,Female,2011,2012,0.0706709392568379
134,East Midlands,CHI,24,25,Female,2011,2012,0.0790501616751812
135,East Midlands,CHI,25,26,Female,2011,2012,0.085241998635791
136,East Midlands,CHI,26,27,Female,2011,2012,0.0889340244048636
137,East Midlands,CHI,27,28,Female,2011,2012,0.0904150438906409
138,East Midlands,CHI,28,29,Female,2011,2012,0.0873507750975217
139,East Midlands,CHI,29,30,Female,2011,2012,0.0823332131239399
140,East Midlands,CHI,30,31,Female,2011,2012,0.0757874832067657
141,East Midlands,CHI,31,32,Female,2011,2012,0.0681712287347016
142,East Midlands,CHI,32,33,Female,2011,2012,0.062079373190618
143,East Midlands,CHI,33,34,Female,2011,2012,0.0538052819681104
144,East Midlands,CHI,34,35,Female,2011,2012,0.0457155647019469
145,East Midlands,CHI,35,36,Female,2011,2012,0.0380352498856478
146,East Midlands,CHI,36,37,Female,2011,2012,0.0309219133505443
147,East Midlands,CHI,37,38,Female,2011,2012,0.0262834264947942
148,East Midlands,CHI,38,39,Female,2011,2012,0.0217302953061242
149,East Midlands,CHI,39,40,Female,2011,2012,0.0177280961272632
150,East Midlands,CHI,40,41,Female,2011,2012,0.0142628984340528
151,East Midlands,CHI,41,42,Female,2011,2012,0.0113027586676312
152,East Midlands,CHI,42,43,Female,2011,2012,0.0091793328985888
153,East Midlands,CHI,43,44,Female,2011,2012,0.0074012075922593
154,East Midlands,CHI,44,45,Female,2011,2012,0.0059276579432399
155,East Midlands,CHI,45,46,Female,2011,2012,0.0047177679498578
156,East Midlands,CHI,46,47,Female,2011,2012,0.0041397816271661
157,East Midlands,CHI,47,48,Female,2011,2012,0.0032638477845069
158,East Midlands,CHI,48,49,Female,2011,2012,0.0025597356560363
159,East Midlands,CHI,49,50,Female,2011,2012,0.0019593793698133
160,East Midlands,IND,10,11,Female,2011,2012,1.0024356792904934e-05
161,East Midlands,IND,11,12,Female,2011,2012,0.0001253044599113
162,East Midlands,IND,12,13,Female,2011,2012,0.001052557463255
163,East Midlands,IND,13,14,Female,2011,2012,0.0026379721422828
164,East Midlands,IND,14,15,Female,2011,2012,0.0057091844547091
165,East Midlands,IND,15,16,Female,2011,2012,0.010928428471165
166,East Midlands,IND,16,17,Female,2011,2012,0.0188454775095115
167,East Midlands,IND,17,18,Female,2011,2012,0.0297143863622187
168,East Midlands,IND,18,19,Female,2011,2012,0.0448806441632462
169,East Midlands,IND,19,20,Female,2011,2012,0.0626046854838368
170,East Midlands,IND,20,21,Female,2011,2012,0.0818711063476476
171,East Midlands,IND,21,22,Female,2011,2012,0.1014249215613491
172,East Midlands,IND,22,23,Female,2011,2012,0.1184536324356649
173,East Midlands,IND,23,24,Female,2011,2012,0.1323017544247216
174,East Midlands,IND,24,25,Female,2011,2012,0.1427010466724839
175,East Midlands,IND,25,26,Female,2011,2012,0.1491773244996136
176,East Midlands,IND,26,27,Female,2011,2012,0.1516233674057281
177,East Midlands,IND,27,28,Female,2011,2012,0.1508657175900936
178,East Midlands,IND,28,29,Female,2011,2012,0.1433223561258434
179,East Midlands,IND,29,30,Female,2011,2012,0.1332750100005701
180,East Midlands,IND,30,31,Female,2011,2012,0.1214080825769058
181,East Midlands,IND,31,32,Female,2011,2012,0.1083935222510014
182,East Midlands,IND,32,33,Female,2011,2012,0.0982822448522528
183,East Midlands,IND,33,34,Female,2011,2012,0.0850355362198557
184,East Midlands,IND,34,35,Female,2011,2012,0.0722907815133828
185,East Midlands,IND,35,36,Female,2011,2012,0.0603167884526532
186,East Midlands,IND,36,37,Female,2011,2012,0.0492932696706951
187,East Midlands,IND,37,38,Female,2011,2012,0.0421856610259077
188,East Midlands,IND,38,39,Female,2011,2012,0.0351667294459223
189,East Midlands,IND,39,40,Female,2011,2012,0.0289771992990349
190,East Midlands,IND,40,41,Female,2011,2012,0.0235871597925547
191,East Midlands,IND,41,42,Female,2011,2012,0.0189468933631759
192,East Midlands,IND,42,43,Female,2011,2012,0.0156099033138484
193,East Midlands,IND,43,44,Female,2011,2012,0.0127836298856439
194,East Midlands,IND,44,45,Female,2011,2012,0.0104107618921192
195,East Midlands,IND,45,46,Female,2011,2012,0.0084342192403257
196,East Midlands,IND,46,47,Female,2011,2012,0.0074858885732603
197,East Midlands,IND,47,48,Female,2011,2012,0.0060173664518297
198,East Midlands,IND,48,49,Female,2011,2012,0.0048162965337985
199,East Midlands,IND,49,50,Female,2011,2012,0.0037779164353466
200,East Midlands,MIX,10,11,Female,2011,2012,1.0476841202790325e-06
201,East Midlands,MIX,11,12,Female,2011,2012,1.8509086124929567e-05
202,East Midlands,MIX,12,13,Female,2011,2012,0.000240443505604
203,East Midlands,MIX,13,14,Female,2011,2012,0.0007142586490002
204,East Midlands,MIX,14,15,Female,2011,2012,0.0017881348722861
205,East Midlands,MIX,15,16,Female,2011,2012,0.0038821935076939
206,East Midlands,MIX,16,17,Female,2011,2012,0.0074728689089203
207,East Midlands,MIX,17,18,Female,2011,2012,0.0129753059086257
208,East Midlands,MIX,18,19,Female,2011,2012,0.0213921566988578
209,East Midlands,MIX,19,20,Female,2011,2012,0.0321336147448811
210,East Midlands,MIX,20,21,Female,2011,2012,0.0447866771700704
211,East Midlands,MIX,21,22,Female,2011,2012,0.0586218631697595
212,East Midlands,MIX,22,23,Female,2011,2012,0.0719240687230518
213,East Midlands,MIX,23,24,Female,2011,2012,0.0837955974716033
214,East Midlands,MIX,24,25,Female,2011,2012,0.093730868947516
215,East Midlands,MIX,25,26,Female,2011,2012,0.1010724719593611
216,East Midlands,MIX,26,27,Female,2011,2012,0.105450138379113
217,East Midlands,MIX,27,28,Female,2011,2012,0.1072063400032824
218,East Midlands,MIX,28,29,Female,2011,2012,0.1035728528374085
219,East Midlands,MIX,29,30,Female,2011,2012,0.0976235795036608
220,East Midlands,MIX,30,31,Female,2011,2012,0.0898620993062944
221,East Midlands,MIX,31,32,Female,2011,2012,0.0808312583657467
222,East Midlands,MIX,32,33,Female,2011,2012,0.0736079213899953
223,East Midlands,MIX,33,34,Female,2011,2012,0.0637971440007103
224,East Midlands,MIX,34,35,Female,2011,2012,0.0542050017485644
225,East Midlands,MIX,35,36,Female,2011,2012,0.0450983327949106
226,East Midlands,MIX,36,37,Female,2011,2012,0.0366641742421936
227,East Midlands,MIX,37,38,Female,2011,2012,0.0311642720170168
228,East Midlands,MIX,38,39,Female,2011,2012,0.0257658479933788
229,East Midlands,MIX,39,40,Female,2011,2012,0.0210204605746831
230,East Midlands,MIX,40,41,Female,2011,2012,0.0169116090787031
231,East Midlands,MIX,41,42,Female,2011,2012,0.0134018091314148
232,East Midlands,MIX,42,43,Female,2011,2012,0.0108840841546721
233,East Midlands,MIX,43,44,Female,2011,2012,0.0087757500607622
234,East Midlands,MIX,44,45,Female,2011,2012,0.0070285523844762
235,East Midlands,MIX,45,46,Female,2011,2012,0.0055940436427442
236,East Midlands,MIX,46,47,Female,2011,2012,0.0049085728796292
237,East Midlands,MIX,47,48,Female,2011,2012,0.0038698794311847
238,East Midlands,MIX,48,49,Female,2011,2012,0.0030350128437827
239,East Midlands,MIX,49,50,Female,2011,2012,0.0023231629730201
240,East Midlands,OAS,10,11,Female,2011,2012,1.466530522567749e-06
241,East Midlands,OAS,11,12,Female,2011,2012,2.590870589869688e-05
242,East Midlands,OAS,12,13,Female,2011,2012,0.0003365687549293
243,East Midlands,OAS,13,14,Female,2011,2012,0.0009998071837605
244,East Midlands,OAS,14,15,Female,2011,2012,0.0025030009693925
245,East Midlands,OAS,15,16,Female,2011,2012,0.0054342288513747
246,East Midlands,OAS,16,17,Female,2011,2012,0.0104603955848451
247,East Midlands,OAS,17,18,Female,2011,2012,0.018162613889371
248,East Midlands,OAS,18,19,Female,2011,2012,0.0299443793555558
249,East Midlands,OAS,19,20,Female,2011,2012,0.0449800907655737
250,East Midlands,OAS,20,21,Female,2011,2012,0.0626916336737102
251,East Midlands,OAS,21,22,Female,2011,2012,0.0820578931800032
252,East Midlands,OAS,22,23,Female,2011,2012,0.1006780956663953
253,East Midlands,OAS,23,24,Female,2011,2012,0.1172956609442336
254,East Midlands,OAS,24,25,Female,2011,2012,0.1312028860203777
255,East Midlands,OAS,25,26,Female,2011,2012,0.1414795378212839
256,East Midlands,OAS,26,27,Female,2011,2012,0.1476073212799817
257,East Midlands,OAS,27,28,Female,2011,2012,0.1500656226284276
258,East Midlands,OAS,28,29,Female,2011,2012,0.1449795287104505
259,East Midlands,OAS,29,30,Female,2011,2012,0.1366518364584044
260,East Midlands,OAS,30,31,Female,2011,2012,0.1257874476703873
261,East Midlands,OAS,31,32,Female,2011,2012,0.1131462291700629
262,East Midlands,OAS,32,33,Female,2011,2012,0.1030351241674305
263,East Midlands,OAS,33,34,Female,2011,2012,0.0893021638094252
264,East Midlands,OAS,34,35,Female,2011,2012,0.0758752452207981
265,East Midlands,OAS,35,36,Female,2011,2012,0.0631278839494482
266,East Midlands,OAS,36,37,Female,2011,2012,0.05132189136989
267,East Midlands,OAS,37,38,Female,2011,2012,0.043623221199904
268,East Midlands,OAS,38,39,Female,2011,2012,0.0360665985011467
269,East Midlands,OAS,39,40,Female,2011,2012,0.0294240854037137
270,East Midlands,OAS,40,41,Female,2011,2012,0.0236725845315349
271,East Midlands,OAS,41,42,Female,2011,2012,0.0187596258914493
272,East Midlands,OAS,42,43,Female,2011,2012,0.0152353570260962
273,East Midlands,OAS,43,44,Female,2011,2012,0.0122841465986006
274,East Midlands,OAS,44,45,Female,2011,2012,0.0098384488242081
275,East Midlands,OAS,45,46,Female,2011,2012,0.0078304477350249
276,East Midlands,OAS,46,47,Female,2011,2012,0.0068709373473249
277,East Midlands,OAS,47,48,Female,2011,2012,0.0054169918152218
278,East Midlands,OAS,48,49,Female,2011,2012,0.0042483596779218
279,East Midlands,OAS,49,50,Female,2011,2012,0.0032519242612228
280,East Midlands,OBL,10,11,Female,2011,2012,8.653517569954727e-07
281,East Midlands,OBL,11,12,Female,2011,2012,1.528788104025337e-05
282,East Midlands,OBL,12,13,Female,2011,2012,0.0001985982282304
283,East Midlands,OBL,13,14,Female,2011,2012,0.0005899535603316
284,East Midlands,OBL,14,15,Female,2011,2012,0.001476939111252
285,East Midlands,OBL,15,16,Female,2011,2012,0.0032065609355467
