region,ethnicity,age_start,age_end,sex,year_start,year_end,mean_value
East Midlands,BAN,10,11,Female,2020,2021,0.0010978676768661
East Midlands,BAN,10,11,Female,2021,2022,0.001102564436981
East Midlands,BAN,10,11,Female,2022,2023,0.0011063805545744
East Midlands,BAN,10,11,Female,2023,2024,0.0011087289346319
East Midlands,BAN,10,11,Female,2024,2025,0.0011099031246606
East Midlands,BAN,10,11,Female,2025,2026,0.0011099031246606
East Midlands,BAN,10,11,Female,2026,2027,0.0011101966721678
East Midlands,BAN,10,11,Female,2027,2028,0.0011113708621965
East Midlands,BAN,10,11,Female,2028,2029,0.0011122515047181
East Midlands,BAN,10,11,Female,2029,2030,0.0011131321472396
East Midlands,BAN,10,11,Female,2030,2031,0.0011140127897612
East Midlands,BAN,10,11,Female,2031,2032,0.0011145998847756
East Midlands,BAN,10,11,Female,2032,2033,0.0011151869797899
East Midlands,BAN,10,11,Female,2033,2034,0.0011154805272971
East Midlands,BAN,10,11,Female,2034,2035,0.0011154805272971
East Midlands,BLA,10,11,Female,2020,2021,0.0004334735452825
East Midlands,BLA,10,11,Female,2021,2022,0.0004353279775618
East Midlands,BLA,10,11,Female,2022,2023,0.0004368347037887
East Midlands,BLA,10,11,Female,2023,2024,0.0004377619199283
East Midlands,BLA,10,11,Female,2024,2025,0.0004382255279981
East Midlands,BLA,10,11,Female,2025,2026,0.0004382255279981
East Midlands,BLA,10,11,Female,2026,2027,0.0004383414300156
East Midlands,BLA,10,11,Female,2027,2028,0.0004388050380854
East Midlands,BLA,10,11,Female,2028,2029,0.0004391527441378
East Midlands,BLA,10,11,Female,2029,2030,0.0004395004501902
East Midlands,BLA,10,11,Female,2030,2031,0.0004398481562425
East Midlands,BLA,10,11,Female,2031,2032,0.0004400799602774
East Midlands,BLA,10,11,Female,2032,2033,0.0004403117643123
East Midlands,BLA,10,11,Female,2033,2034,0.0004404276663298
East Midlands,BLA,10,11,Female,2034,2035,0.0004404276663298
East Midlands,BLC,10,11,Female,2020,2021,0.0002868862039781
East Midlands,BLC,10,11,Female,2021,2022,0.0002881135246369
East Midlands,BLC,10,11,Female,2022,2023,0.0002891107226721
East Midlands,BLC,10,11,Female,2023,2024,0.0002897243830015
East Midlands,BLC,10,11,Female,2024,2025,0.0002900312131661
East Midlands,BLC,10,11,Female,2025,2026,0.0002900312131661
East Midlands,BLC,10,11,Female,2026,2027,0.0002901079207073
East Midlands,BLC,10,11,Female,2027,2028,0.000290414750872
East Midlands,BLC,10,11,Female,2028,2029,0.0002906448734955
East Midlands,BLC,10,11,Female,2029,2030,0.000290874996119
East Midlands,BLC,10,11,Female,2030,2031,0.0002911051187425
East Midlands,BLC,10,11,Female,2031,2032,0.0002912585338249
East Midlands,BLC,10,11,Female,2032,2033,0.0002914119489072
East Midlands,BLC,10,11,Female,2033,2034,0.0002914886564484
East Midlands,BLC,10,11,Female,2034,2035,0.0002914886564484
East Midlands,CHI,10,11,Female,2020,2021,1.0156562442587188e-06
East Midlands,CHI,10,11,Female,2021,2022,1.0200012977100924e-06
East Midlands,CHI,10,11,Female,2022,2023,1.023531653639334e-06
East Midlands,CHI,10,11,Female,2023,2024,1.025704180365021e-06
East Midlands,CHI,10,11,Female,2024,2025,1.0267904437278643e-06
East Midlands,CHI,10,11,Female,2025,2026,1.026790443727865e-06
East Midlands,CHI,10,11,Female,2026,2027,1.0270620095685755e-06
East Midlands,CHI,10,11,Female,2027,2028,1.028148272931419e-06
East Midlands,CHI,10,11,Female,2028,2029,1.028962970453553e-06
East Midlands,CHI,10,11,Female,2029,2030,1.0297776679756838e-06
East Midlands,CHI,10,11,Female,2030,2031,1.0305923654978164e-06
East Midlands,CHI,10,11,Female,2031,2032,1.031135497179239e-06
East Midlands,CHI,10,11,Female,2032,2033,1.0316786288606606e-06
East Midlands,CHI,10,11,Female,2033,2034,1.031950194701372e-06
East Midlands,CHI,10,11,Female,2034,2035,1.031950194701372e-06
East Midlands,IND,10,11,Female,2020,2021,9.809137549241154e-06
East Midlands,IND,10,11,Female,2021,2022,9.851101774050744e-06
East Midlands,IND,10,11,Female,2022,2023,9.88519770670853e-06
East Midlands,IND,10,11,Female,2023,2024,9.906179819113326e-06
East Midlands,IND,10,11,Female,2024,2025,9.916670875315724e-06
East Midlands,IND,10,11,Female,2025,2026,9.916670875315724e-06
East Midlands,IND,10,11,Female,2026,2027,9.91929363936632e-06
East Midlands,IND,10,11,Female,2027,2028,9.929784695568717e-06
East Midlands,IND,10,11,Female,2028,2029,9.93765298772052e-06
East Midlands,IND,10,11,Female,2029,2030,9.945521279872307e-06
East Midlands,IND,10,11,Female,2030,2031,9.953389572024113e-06
East Midlands,IND,10,11,Female,2031,2032,9.95863510012531e-06
East Midlands,IND,10,11,Female,2032,2033,9.963880628226509e-06
East Midlands,IND,10,11,Female,2033,2034,9.966503392277113e-06
East Midlands,IND,10,11,Female,2034,2035,9.966503392277113e-06
East Midlands,MIX,10,11,Female,2020,2021,1.025332497097631e-06
East Midlands,MIX,10,11,Female,2021,2022,1.0297189462830752e-06
East Midlands,MIX,10,11,Female,2022,2023,1.0332829362462493e-06
East Midlands,MIX,10,11,Female,2023,2024,1.0354761608389709e-06
East Midlands,MIX,10,11,Female,2024,2025,1.036572773135332e-06
East Midlands,MIX,10,11,Female,2025,2026,1.0365727731353323e-06
East Midlands,MIX,10,11,Female,2026,2027,1.036846926209423e-06
East Midlands,MIX,10,11,Female,2027,2028,1.037943538505784e-06
East Midlands,MIX,10,11,Female,2028,2029,1.038765997728055e-06
East Midlands,MIX,10,11,Female,2029,2030,1.0395884569503263e-06
East Midlands,MIX,10,11,Female,2030,2031,1.040410916172596e-06
East Midlands,MIX,10,11,Female,2031,2032,1.0409592223207764e-06
East Midlands,MIX,10,11,Female,2032,2033,1.041507528468958e-06
East Midlands,MIX,10,11,Female,2033,2034,1.0417816815430475e-06
East Midlands,MIX,10,11,Female,2034,2035,1.0417816815430475e-06
East Midlands,OAS,10,11,Female,2020,2021,1.4352430982477843e-06
East Midlands,OAS,10,11,Female,2021,2022,1.4413831756734436e-06
East Midlands,OAS,10,11,Female,2022,2023,1.4463719885817916e-06
East Midlands,OAS,10,11,Female,2023,2024,1.4494420272946206e-06
East Midlands,OAS,10,11,Female,2024,2025,1.4509770466510354e-06
East Midlands,OAS,10,11,Female,2025,2026,1.450977046651036e-06
East Midlands,OAS,10,11,Female,2026,2027,1.451360801490139e-06
East Midlands,OAS,10,11,Female,2027,2028,1.4528958208465535e-06
East Midlands,OAS,10,11,Female,2028,2029,1.454047085363865e-06
East Midlands,OAS,10,11,Female,2029,2030,1.455198349881177e-06
East Midlands,OAS,10,11,Female,2030,2031,1.4563496143984874e-06
East Midlands,OAS,10,11,Female,2031,2032,1.457117124076695e-06
East Midlands,OAS,10,11,Female,2032,2033,1.457884633754902e-06
East Midlands,OAS,10,11,Female,2033,2034,1.4582683885940055e-06
East Midlands,OAS,10,11,Female,2034,2035,1.4582683885940055e-06
East Midlands,OBL,10,11,Female,2020,2021,8.468900699112257e-07
East Midlands,OBL,10,11,Female,2021,2022,8.505131290338407e-07
East Midlands,OBL,10,11,Female,2022,2023,8.534568645709656e-07
East Midlands,OBL,10,11,Female,2023,2024,8.552683941322726e-07
East Midlands,OBL,10,11,Female,2024,2025,8.56174158912926e-07
East Midlands,OBL,10,11,Female,2025,2026,8.561741589129263e-07
East Midlands,OBL,10,11,Female,2026,2027,8.564006001080902e-07
