"Figure 3: The 2022-based principal assumption projects a lower total fertility rate than in previous rounds of projections ",""
"Past and projected total fertility rate (TFR), UK, 2016-based to 2022-based principal projections, 1982 to 2047 ",""
"",""
"Notes","1. Historical TFRs are lower in the 2022-based assumptions because of census rebasing. "
"Unit","Total fertility rate"
"",""
"Year","2016-based principal projection","2018-based principal projection","2020-based interim projection","2022-based principal projection"
"1982","1.78","1.78","1.78","1.78"
"1983","1.77","1.77","1.77","1.77"
"1984","1.77","1.77","1.77","1.77"
"1985","1.79","1.79","1.79","1.79"
"1986","1.78","1.78","1.78","1.78"
"1987","1.81","1.81","1.81","1.81"
"1988","1.82","1.82","1.82","1.82"
"1989","1.79","1.79","1.79","1.79"
"1990","1.83","1.83","1.83","1.83"
"1991","1.82","1.82","1.82","1.82"
"1992","1.79","1.79","1.79","1.79"
"1993","1.76","1.76","1.76","1.76"
"1994","1.74","1.74","1.74","1.74"
"1995","1.71","1.71","1.71","1.71"
"1996","1.73","1.73","1.73","1.73"
"1997","1.72","1.73","1.72","1.72"
"1998","1.71","1.71","1.71","1.71"
"1999","1.68","1.69","1.68","1.68"
"2000","1.64","1.64","1.64","1.64"
"2001","1.63","1.63","1.63","1.63"
"2002","1.63","1.63","1.63","1.63"
"2003","1.70","1.70","1.70","1.70"
"2004","1.76","1.76","1.76","1.76"
"2005","1.76","1.76","1.76","1.76"
"2006","1.82","1.82","1.82","1.82"
"2007","1.87","1.87","1.87","1.87"
"2008","1.91","1.91","1.91","1.91"
"2009","1.89","1.89","1.89","1.89"
"2010","1.92","1.92","1.92","1.92"
"2011","1.91","1.91","1.91","1.91"
"2012","1.92","1.92","1.92","1.91"
"2013","1.83","1.83","1.83","1.82"
"2014","1.82","1.82","1.82","1.80"
"2015","1.80","1.80","1.80","1.78"
"2016","1.79","1.79","1.79","1.76"
"2017","1.77","1.74","1.74","1.70"
"2018","1.78","1.68","1.68","1.64"
"2019","1.78","1.66","1.63","1.59"
"2020","1.78","1.66","1.56","1.51"
"2021","1.78","1.65","1.53","1.54"
"2022","1.78","1.65","1.52","1.48"
"2023","1.79","1.65","1.52","1.43"
"2024","1.79","1.66","1.53","1.43"
"2025","1.80","1.67","1.53","1.42"
"2026","1.80","1.67","1.53","1.42"
"2027","1.81","1.68","1.53","1.41"
"2028","1.81","1.69","1.53","1.41"
"2029","1.81","1.70","1.53","1.41"
"2030","1.82","1.71","1.53","1.41"
"2031","1.82","1.71","1.53","1.41"
"2032","1.82","1.72","1.54","1.41"
"2033","1.82","1.73","1.54","1.41"
"2034","1.82","1.74","1.54","1.41"
"2035","1.82","1.75","1.54","1.41"
"2036","1.83","1.75","1.54","1.42"
"2037","1.83","1.76","1.55","1.42"
"2038","1.83","1.77","1.56","1.42"
"2039","1.83","1.77","1.56","1.42"
"2040","1.84","1.78","1.57","1.43"
"2041","1.84","1.78","1.57","1.43"
"2042","","1.78","1.58","1.43"
"2043","","1.78","1.58","1.44"
"2044","","","1.59","1.44"
"2045","","","1.59","1.44"
"2046","","","","1.44"
"2047","","","","1.45"
