"Figure 4: Fertility rates for women in all age groups under 30 years are projected to decrease, while age groups over 30 years are projected to increase ",""
"Past and projected age-specific fertility rates (ASFR), UK, 1972 to 2047",""
"",""
"Notes","1. Figures up to 2023 are based on published data. "
"Unit","Births per 1,000 women"
"",""
"Year","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 46"
"1972","48.04","141.22","142.35","70.81","29.74","5.78"
"1973","44.41","131.57","134.54","64.14","25.39","4.93"
"1974","41.58","124.54","128.55","60.09","22.27","4.43"
"1975","37.50","116.02","123.93","58.26","20.82","3.96"
"1976","33.36","111.12","121.92","57.90","19.70","3.57"
"1977","30.44","105.53","119.94","58.31","19.06","3.32"
"1978","30.35","108.64","124.74","62.87","20.01","3.32"
"1979","31.10","112.99","133.09","69.44","21.62","3.46"
"1980","30.96","114.03","134.58","71.91","22.47","3.50"
"1981","28.39","107.54","130.49","71.39","22.18","3.63"
"1982","27.52","103.52","127.04","70.83","22.56","3.44"
"1983","26.53","100.39","126.74","72.59","22.89","3.50"
"1984","27.11","97.27","126.40","74.18","23.62","3.46"
"1985","28.85","95.89","127.74","76.68","24.63","3.47"
"1986","29.58","93.47","124.35","78.08","25.59","3.45"
"1987","30.23","93.55","125.33","80.84","27.12","3.49"
"1988","31.34","94.22","124.46","81.66","28.20","3.50"
"1989","30.48","90.78","120.46","81.94","29.31","3.64"
"1990","31.37","90.40","122.79","85.76","30.98","3.83"
"1991","31.40","88.57","119.84","85.84","31.86","4.00"
"1992","30.46","85.04","117.84","86.58","32.93","4.22"
"1993","29.92","81.03","114.52","86.58","33.43","4.38"
"1994","28.61","77.23","112.15","88.55","34.92","4.49"
"1995","28.89","74.63","108.24","87.67","35.63","4.75"
"1996","30.56","75.18","106.45","89.43","36.71","5.04"
"1997","30.70","74.40","104.03","89.84","38.58","5.26"
"1998","30.77","73.29","101.13","90.62","39.51","5.40"
"1999","30.54","71.75","97.63","89.58","39.66","5.56"
"2000","29.35","68.82","93.45","87.95","40.64","5.73"
"2001","28.28","68.11","91.09","88.25","41.12","6.04"
"2002","27.27","67.54","90.48","89.86","42.57","6.24"
"2003","26.96","69.18","94.46","94.71","46.05","6.68"
"2004","26.75","70.29","96.05","99.28","48.75","7.11"
"2005","26.10","69.19","95.75","100.23","50.29","7.48"
"2006","26.29","70.89","97.81","103.67","53.48","7.91"
"2007","25.67","71.50","99.89","107.77","56.53","8.41"
"2008","25.46","73.12","102.82","109.94","58.09","8.88"
"2009","24.23","72.65","101.94","108.57","58.55","9.08"
"2010","22.65","72.46","103.42","111.81","60.93","9.42"
"2011","20.51","70.19","103.38","111.20","62.59","9.98"
"2012","19.42","68.20","103.93","112.69","63.58","10.26"
"2013","16.95","61.61","100.06","108.06","62.31","10.23"
"2014","15.29","57.86","99.29","108.82","63.19","10.48"
"2015","14.06","55.46","98.71","108.81","63.96","10.77"
"2016","13.20","52.86","96.17","108.89","64.25","11.17"
"2017","12.17","50.74","92.33","106.05","62.86","11.21"
"2018","11.41","47.74","88.14","102.66","61.50","11.15"
"2019","10.76","45.93","84.76","99.88","60.08","11.16"
"2020","9.62","43.13","80.94","96.71","57.55","10.72"
"2021","8.19","41.25","81.69","100.97","60.23","10.82"
"2022","8.61","39.89","78.93","95.91","57.78","10.99"
"2023","8.04","37.66","75.72","94.20","55.70","10.56"
"2024","7.72","36.91","74.95","94.43","55.98","10.83"
"2025","7.41","36.18","74.18","94.66","56.26","11.10"
"2026","7.12","35.46","73.41","94.89","56.54","11.38"
"2027","6.83","34.85","72.67","95.18","56.81","11.66"
"2028","6.56","34.44","71.93","95.59","57.09","11.96"
"2029","6.30","34.11","71.22","96.05","57.38","12.25"
"2030","6.05","33.77","70.53","96.51","57.66","12.56"
"2031","5.80","33.45","69.84","96.97","57.95","12.87"
"2032","5.57","33.13","69.20","97.43","58.24","13.21"
"2033","5.35","32.81","68.66","97.90","58.52","13.59"
"2034","5.14","32.49","68.16","98.39","58.81","14.00"
"2035","4.93","32.18","67.66","98.89","59.09","14.42"
"2036","4.73","31.86","67.16","99.40","59.38","14.86"
"2037","4.59","31.55","66.67","99.85","59.70","15.30"
"2038","4.54","31.25","66.18","100.18","60.10","15.76"
"2039","4.54","30.95","65.70","100.44","60.56","16.23"
"2040","4.54","30.65","65.21","100.70","61.03","16.71"
"2041","4.54","30.35","64.73","100.95","61.49","17.21"
"2042","4.54","30.05","64.26","101.15","61.96","17.73"
"2043","4.54","29.76","63.79","101.21","62.43","18.26"
"2044","4.54","29.46","63.31","101.21","62.90","18.81"
"2045","4.54","29.17","62.85","101.21","63.38","19.38"
"2046","4.54","28.88","62.38","101.22","63.85","19.96"
"2047","4.54","28.67","62.03","101.22","64.21","20.41"
