United Kingdom, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
2013     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2013     13     0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
2013     14     0.00036     0.00029     0.00006     0.00001     0.00000     0.00000
2013     15     0.00201     0.00173     0.00027     0.00000     0.00000     0.00000
2013     16     0.00630     0.00549     0.00077     0.00004     0.00000     0.00000
2013     17     0.01527     0.01288     0.00221     0.00017     0.00001     0.00001
2013     18     0.02465     0.01900     0.00512     0.00050     0.00002     0.00001
2013     19     0.03674     0.02606     0.00924     0.00132     0.00010     0.00001
2013     20     0.04603     0.02957     0.01354     0.00257     0.00031     0.00004
2013     21     0.05392     0.03068     0.01817     0.00432     0.00069     0.00007
2013     22     0.06167     0.03147     0.02223     0.00652     0.00124     0.00021
2013     23     0.07066     0.03340     0.02585     0.00882     0.00212     0.00047
2013     24     0.07945     0.03509     0.02929     0.01125     0.00300     0.00082
2013     25     0.08730     0.03713     0.03183     0.01297     0.00416     0.00122
2013     26     0.09478     0.03903     0.03355     0.01503     0.00511     0.00206
2013     27     0.10115     0.04139     0.03586     0.01582     0.00566     0.00242
2013     28     0.10680     0.04322     0.03733     0.01691     0.00630     0.00304
2013     29     0.11156     0.04377     0.03971     0.01764     0.00678     0.00366
2013     30     0.11349     0.04395     0.04049     0.01786     0.00722     0.00398
2013     31     0.11553     0.04238     0.04236     0.01884     0.00739     0.00456
2013     32     0.11243     0.03870     0.04274     0.01898     0.00740     0.00460
2013     33     0.10641     0.03344     0.04150     0.01904     0.00749     0.00495
2013     34     0.09798     0.02930     0.03818     0.01870     0.00722     0.00459
2013     35     0.08784     0.02490     0.03453     0.01723     0.00656     0.00463
2013     36     0.07571     0.02037     0.02876     0.01549     0.00647     0.00463
2013     37     0.06216     0.01570     0.02349     0.01285     0.00574     0.00439
2013     38     0.04941     0.01230     0.01783     0.01070     0.00471     0.00386
2013     39     0.03828     0.00923     0.01384     0.00799     0.00385     0.00337
2013     40     0.02719     0.00688     0.00930     0.00563     0.00273     0.00265
2013     41     0.01822     0.00448     0.00606     0.00368     0.00202     0.00199
2013     42     0.01120     0.00274     0.00357     0.00225     0.00128     0.00136
2013     43     0.00705     0.00181     0.00208     0.00138     0.00079     0.00098
2013     44     0.00381     0.00109     0.00108     0.00062     0.00045     0.00056
2013     45     0.00205     0.00060     0.00052     0.00037     0.00022     0.00033
2013     46     0.00100     0.00038     0.00023     0.00018     0.00008     0.00013
2013     47     0.00061     0.00026     0.00014     0.00008     0.00006     0.00006
2013     48     0.00034     0.00012     0.00010     0.00005     0.00002     0.00005
2013     49     0.00025     0.00012     0.00006     0.00003     0.00002     0.00002
2013     50     0.00021     0.00009     0.00005     0.00003     0.00002     0.00002
2013     51     0.00012     0.00005     0.00003     0.00002     0.00001     0.00001
2013     52     0.00004     0.00002     0.00001     0.00001     0.00000     0.00000
2013     53     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
2013     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2013     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2014     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
2014     13     0.00004     0.00004     0.00001     0.00000     0.00000     0.00000
2014     14     0.00033     0.00029     0.00004     0.00000     0.00000     0.00000
