United Kingdom, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        Total
1974     12-        0.29
1974     13        17.37
1974     14       296.37
1974     15      1444.26
1974     16      6326.21
1974     17     16142.46
1974     18     24137.24
1974     19     31407.60
1974     20     38502.66
1974     21     44191.70
1974     22     48018.91
1974     23     52207.80
1974     24     56868.31
1974     25     59765.47
1974     26     62900.82
1974     27     62327.45
1974     28     45238.52
1974     29     37957.01
1974     30     32178.37
1974     31     25022.38
1974     32     19075.37
1974     33     14540.60
1974     34     12865.42
1974     35     10561.87
1974     36      8469.51
1974     37      7031.32
1974     38      5608.01
1974     39      4300.84
1974     40      3346.66
1974     41      2319.43
1974     42      1694.27
1974     43      1089.22
1974     44       632.11
1974     45       314.08
1974     46       168.03
1974     47        92.01
1974     48        31.01
1974     49        22.00
1974     50        10.29
1974     51         7.04
1974     52         3.41
1974     53         2.75
1974     54         0.51
1974     55+        0.00
1975     12-        2.28
1975     13        17.92
1975     14       272.88
1975     15      1382.32
1975     16      5474.51
1975     17     14331.17
1975     18     22762.64
1975     19     29843.41
1975     20     35093.83
1975     21     40909.80
1975     22     45433.79
1975     23     47966.34
1975     24     51122.18
1975     25     55112.63
1975     26     55634.35
1975     27     56188.05
1975     28     53372.96
1975     29     37919.20
1975     30     31163.72
1975     31     25248.80
1975     32     19861.55
1975     33     14649.52
1975     34     11453.82
1975     35      9846.43
1975     36      8099.87
1975     37      6453.67
1975     38      5238.32
1975     39      3944.98
1975     40      2985.69
1975     41      2056.49
1975     42      1492.43
1975     43       958.20
1975     44       556.14
1975     45       347.09
1975     46       141.04
1975     47        83.00
1975     48        38.00
1975     49        26.01
1975     50        16.22
1975     51         9.07
1975     52         4.75
1975     53         2.26
1975     54         0.70
1975     55+        0.00
1976     12-        0.25
1976     13        16.05
1976     14       258.76
1976     15      1287.25
1976     16      5074.18
1976     17     12483.08
1976     18     20596.03
1976     19     27883.54
1976     20     33737.72
1976     21     38394.59
1976     22     43468.48
1976     23     46781.89
1976     24     48937.13
1976     25     51477.90
1976     26     52760.58
1976     27     51643.32
1976     28     50376.58
1976     29     46459.63
1976     30     32261.88
1976     31     24849.56
1976     32     20329.72
1976     33     15856.94
1976     34     11619.26
1976     35      8924.75
1976     36      7723.55
1976     37      6034.23
1976     38      4763.92
1976     39      3651.76
1976     40      2789.57
1976     41      1871.36
1976     42      1331.22
1976     43       802.18
1976     44       497.08
1976     45       272.04
1976     46       149.02
1976     47        71.00
1976     48        45.00
1976     49        18.00
1976     50        12.04
1976     51         7.45
1976     52         4.00
1976     53         1.91
1976     54         1.59
1976     55+        0.00
1977     12-        0.24
1977     13        14.16
1977     14       230.64
1977     15      1160.23
1977     16      5045.43
1977     17     11859.69
1977     18     19167.87
1977     19     26058.59
1977     20     32753.29
1977     21     37229.25
1977     22     40725.26
1977     23     44379.07
1977     24     47459.68
1977     25     49324.71
1977     26     49116.44
1977     27     48910.97
1977     28     46440.00
1977     29     44060.15
1977     30     39620.31
1977     31     26096.93
1977     32     20773.39
1977     33     16437.75
1977     34     12643.84
1977     35      9353.37
1977     36      6853.63
1977     37      5848.41
1977     38      4638.15
1977     39      3557.77
1977     40      2500.68
1977     41      1772.45
1977     42      1229.29
1977     43       794.20
1977     44       456.08
1977     45       236.06
1977     46       134.03
1977     47        85.00
1977     48        40.01
1977     49        22.00
1977     50         4.32
1977     51         2.42
1977     52         1.35
1977     53         0.69
1977     54         0.22
1977     55+        0.00
1978     12-        0.22
1978     13        11.69
1978     14       223.15
1978     15      1252.28
1978     16      5129.69
1978     17     12147.15
1978     18     19517.74
1978     19     26935.19
1978     20     33494.71
1978     21     39545.56
1978     22     43198.51
1978     23     45345.85
1978     24     49707.91
1978     25     51279.18
1978     26     50326.52
1978     27     49006.97
1978     28     46926.05
1978     29     43481.91
1978     30     40229.74
1978     31     34643.83
1978     32     22649.78
1978     33     17559.47
1978     34     14095.57
1978     35     11032.86
1978     36      7803.00
1978     37      5783.56
1978     38      4755.21
1978     39      3512.98
1978     40      2584.66
1978     41      1727.40
1978     42      1210.29
1978     43       791.18
1978     44       453.13
1978     45       246.05
1978     46       166.02
1978     47        79.00
1978     48        46.00
1978     49        20.01
1978     50        14.29
1978     51         9.13
1978     52         4.79
1978     53         2.16
1978     54         0.64
1978     55+        0.00
1979     12-        0.24
1979     13        15.25
1979     14       247.54
1979     15      1280.22
1979     16      4981.03
1979     17     12726.57
1979     18     20876.17
1979     19     28381.48
1979     20     35225.65
1979     21     41305.68
1979     22     46431.80
1979     23     49534.25
1979     24     50899.16
