United Kingdom, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        Exposure
1974     12       447909.85
1974     13       437410.25
1974     14       420224.90
1974     15       414891.54
1974     16       402952.58
1974     17       392257.69
1974     18       384475.46
1974     19       377134.10
1974     20       381457.69
1974     21       380614.64
1974     22       378849.52
1974     23       387828.44
1974     24       399294.53
1974     25       414315.35
1974     26       436666.19
1974     27       460855.10
1974     28       389268.66
1974     29       373398.12
1974     30       366400.25
1974     31       356834.47
1974     32       329818.37
1974     33       312387.63
1974     34       321998.16
1974     35       326179.11
1974     36       326522.86
1974     37       321157.42
1974     38       317367.40
1974     39       311877.22
1974     40       307662.93
1974     41       310374.86
1974     42       319060.71
1974     43       327094.97
1974     44       330770.93
1974     45       329778.01
1974     46       330011.19
1974     47       334951.69
1974     48       340695.78
1974     49       344641.94
1974     50       348925.44
1974     51       357309.75
1974     52       373040.76
1974     53       392205.03
1974     54       374308.83
1974     55       312688.83
1975     12       454721.29
1975     13       448185.80
1975     14       437529.85
1975     15       421042.48
1975     16       415596.99
1975     17       403803.51
1975     18       393289.42
1975     19       385711.59
1975     20       378071.65
1975     21       381984.21
1975     22       381461.24
1975     23       379294.13
1975     24       387784.32
1975     25       397354.23
1975     26       412212.62
1975     27       434613.32
1975     28       458662.66
1975     29       387749.45
1975     30       371735.65
1975     31       365173.19
1975     32       355613.02
1975     33       328788.88
1975     34       311074.06
1975     35       320433.69
1975     36       325142.02
1975     37       325546.40
1975     38       320289.08
1975     39       316344.46
1975     40       310779.60
1975     41       306574.06
1975     42       309576.28
1975     43       317959.65
1975     44       326165.69
1975     45       329592.27
1975     46       328394.76
1975     47       328605.71
1975     48       333472.48
1975     49       338978.56
1975     50       342604.77
1975     51       346853.21
1975     52       355151.52
1975     53       370620.19
1975     54       389558.02
1975     55       371693.11
1976     12       460083.06
1976     13       454987.46
1976     14       448425.96
1976     15       438319.80
1976     16       421849.73
1976     17       416518.08
1976     18       405062.48
1976     19       394736.42
1976     20       386995.55
1976     21       378888.59
1976     22       382778.25
1976     23       382112.65
1976     24       379492.37
1976     25       386595.01
1976     26       396173.07
1976     27       411109.52
1976     28       433588.44
1976     29       457837.99
1976     30       386963.71
1976     31       371165.55
1976     32       364635.00
1976     33       355124.48
1976     34       328061.86
1976     35       310240.17
1976     36       319721.76
1976     37       324420.34
1976     38       324813.31
1976     39       319536.96
1976     40       315527.66
1976     41       310052.80
1976     42       305996.42
1976     43       308761.19
1976     44       317159.97
1976     45       325242.73
1976     46       328362.00
1976     47       327200.24
1976     48       327312.26
1976     49       331966.82
1976     50       337147.51
1976     51       340748.46
1976     52       344821.91
1976     53       352934.99
1976     54       368226.32
1976     55       387058.44
1977     12       462170.39
1977     13       460610.77
1977     14       455523.43
1977     15       449337.61
1977     16       439337.09
1977     17       422991.11
1977     18       417816.05
1977     19       406637.33
1977     20       396238.65
1977     21       388100.52
1977     22       379446.57
1977     23       383465.47
1977     24       382610.04
1977     25       379064.03
1977     26       386015.28
1977     27       395551.86
1977     28       410619.08
1977     29       433069.46
1977     30       457215.94
1977     31       386592.78
1977     32       370734.49
1977     33       364295.53
1977     34       354601.31
1977     35       327675.21
1977     36       309706.93
1977     37       319069.59
1977     38       323660.97
1977     39       324165.40
1977     40       319013.86
1977     41       315007.25
1977     42       309551.00
1977     43       305366.39
1977     44       308090.04
1977     45       316465.61
1977     46       324362.97
1977     47       327406.19
1977     48       326163.86
1977     49       326100.68
1977     50       330504.96
1977     51       335456.04
1977     52       338841.40
1977     53       342752.37
1977     54       350722.40
1977     55       365850.85
1978     12       455865.16
1978     13       463045.71
1978     14       461442.33
1978     15       456604.29
1978     16       450568.84
1978     17       440699.37
1978     18       424334.06
1978     19       419612.17
1978     20       408249.55
1978     21       397508.95
1978     22       388534.84
1978     23       379761.20
1978     24       383783.06
1978     25       382212.96
1978     26       378342.39
1978     27       385164.44
1978     28       394854.32
1978     29       409933.98
1978     30       432163.19
1978     31       456434.73
1978     32       385812.23
1978     33       370267.69
1978     34       363775.05
1978     35       354100.81
1978     36       327160.08
1978     37       309151.93
1978     38       318500.87
1978     39       323098.78
1978     40       323821.94
1978     41       318651.66
1978     42       314574.34
1978     43       309024.19
1978     44       304955.04
1978     45       307536.02
1978     46       315820.39
1978     47       323572.21
1978     48       326503.77
1978     49       325140.71
1978     50       324898.37
1978     51       328932.35
1978     52       333605.28
1978     53       336774.51
1978     54       340541.86
1978     55       348243.58
1979     12       451486.20
1979     13       456588.08
1979     14       464054.42
1979     15       462747.48
1979     16       457990.44
1979     17       451983.92
1979     18       442193.58
1979     19       426232.26
1979     20       421210.40
1979     21       409609.53
1979     22       398161.91
1979     23       388692.51
1979     24       379679.42
1979     25       383047.44
1979     26       381307.19
1979     27       377321.04
1979     28       384202.32
1979     29       393962.04
1979     30       408855.41
1979     31       431341.54
1979     32       455636.07
1979     33       385327.33
1979     34       369849.57
1979     35       363276.29
1979     36       353664.48
1979     37       326661.23
1979     38       308798.94
1979     39       318116.20
1979     40       322822.65
1979     41       323651.67
1979     42       318299.98
1979     43       314136.13
1979     44       308762.81
1979     45       304523.63
1979     46       306961.86
1979     47       315126.88
1979     48       322752.32
1979     49       325532.81
1979     50       324063.34
1979     51       323514.95
1979     52       327185.36
1979     53       331623.84
1979     54       334624.90
1979     55       338125.07
1980     12       440691.76
1980     13       451614.75
1980     14       457247.40
1980     15       465339.84
1980     16       464032.01
1980     17       459342.91
1980     18       453788.30
1980     19       444416.87
1980     20       428044.73
1980     21       422875.27
1980     22       410670.97
1980     23       398655.19
1980     24       388665.36
1980     25       379146.02
1980     26       382497.76
1980     27       379887.67
1980     28       376245.78
1980     29       383050.09
1980     30       392373.11
1980     31       408151.97
1980     32       430678.69
1980     33       455143.82
1980     34       384942.18
1980     35       369346.23
1980     36       362799.15
1980     37       353015.02
1980     38       326197.61
1980     39       308491.11
1980     40       317721.34
1980     41       322604.21
1980     42       323321.07
1980     43       317837.68
1980     44       313711.94
1980     45       308349.49
1980     46       304045.39
1980     47       306345.08
1980     48       314496.79
1980     49       321791.39
1980     50       324348.78
1980     51       322723.97
1980     52       321841.41
1980     53       325283.49
1980     54       329582.10
1980     55       332360.17
1981     12       435747.43
1981     13       440328.16
1981     14       451605.08
1981     15       458112.10
1981     16       466290.62
1981     17       465561.52
1981     18       461218.75
1981     19       457031.80
1981     20       446527.64
1981     21       429441.86
1981     22       423333.59
1981     23       410469.33
1981     24       397990.59
1981     25       387759.48
1981     26       378184.03
1981     27       379968.62
1981     28       378147.58
1981     29       374188.14
1981     30       380544.20
1981     31       391193.81
1981     32       407056.34
1981     33       429967.83
1981     34       454636.19
1981     35       384408.67
1981     36       368747.65
1981     37       362059.86
1981     38       352294.69
1981     39       325614.46
1981     40       307809.59
1981     41       317161.02
1981     42       322031.45
1981     43       322676.15
1981     44       317111.53
1981     45       313097.72
1981     46       307750.46
1981     47       303354.05
1981     48       305655.53
1981     49       313427.01
1981     50       320371.33
1981     51       322960.47
1981     52       321077.37
1981     53       319988.57
1981     54       323263.47
1981     55       327355.98
1982     12       420579.92
1982     13       435208.48
1982     14       440097.88
1982     15       451962.40
1982     16       458731.45
1982     17       468751.68
1982     18       467345.63
1982     19       465914.81
1982     20       459507.30
1982     21       447187.56
1982     22       428702.78
1982     23       421671.78
1982     24       408462.73
1982     25       395979.54
1982     26       385635.03
1982     27       375224.17
1982     28       377408.51
1982     29       375313.53
1982     30       371655.46
1982     31       378927.40
1982     32       389883.74
1982     33       406219.90
1982     34       429571.05
1982     35       454447.99
1982     36       383968.31
1982     37       368108.38
1982     38       361170.42
1982     39       351392.49
1982     40       324646.35
1982     41       306899.08
1982     42       316228.55
1982     43       321140.51
1982     44       321794.82
1982     45       316242.33
1982     46       312226.57
1982     47       306897.67
1982     48       302431.49
1982     49       304544.92
1982     50       312032.43
1982     51       319007.38
1982     52       321430.31
1982     53       319381.81
1982     54       318025.16
1982     55       321213.41
1983     12       421020.77
1983     13       420078.98
1983     14       435002.02
1983     15       440306.46
1983     16       452564.99
1983     17       461547.39
1983     18       470267.28
1983     19       471529.98
1983     20       468270.54
1983     21       460107.42
1983     22       446596.42
1983     23       427264.94
1983     24       420063.95
1983     25       406981.05
1983     26       394432.84
1983     27       383825.00
1983     28       373265.74
1983     29       375367.35
1983     30       373853.73
1983     31       370645.37
1983     32       378214.91
1983     33       389462.41
1983     34       406278.62
1983     35       429933.89
1983     36       454364.91
1983     37       383557.09
1983     38       367272.07
1983     39       360419.49
1983     40       350531.79
1983     41       323738.18
1983     42       306013.86
1983     43       315328.76
1983     44       320322.60
1983     45       320977.09
1983     46       315368.91
1983     47       311394.31
1983     48       305934.29
1983     49       301442.23
1983     50       303360.04
1983     51       310727.08
1983     52       317607.87
1983     53       319945.09
1983     54       317580.54
1983     55       316195.77
1984     12       397382.46
1984     13       420890.99
1984     14       419931.98
1984     15       435351.34
1984     16       441064.40
1984     17       454717.51
1984     18       462580.45
1984     19       472283.78
1984     20       473094.01
1984     21       469058.67
1984     22       460484.86
1984     23       446443.53
1984     24       427100.61
1984     25       420051.23
1984     26       407090.89
1984     27       394300.26
1984     28       383365.58
1984     29       372683.26
1984     30       375118.67
1984     31       373837.74
1984     32       370824.66
1984     33       378528.83
1984     34       390111.60
1984     35       407071.21
1984     36       430252.71
1984     37       454359.70
1984     38       383037.53
1984     39       366855.84
1984     40       359998.19
1984     41       349981.36
1984     42       323146.46
1984     43       305377.37
1984     44       314653.65
1984     45       319694.48
1984     46       320315.16
1984     47       314700.33
1984     48       310523.65
1984     49       305033.74
1984     50       300390.74
1984     51       302219.89
1984     52       309420.19
1984     53       316258.45
1984     54       318350.93
1984     55       315847.35
1985     12       375272.49
1985     13       397845.76
1985     14       421128.41
1985     15       420440.64
1985     16       436185.92
1985     17       442871.50
1985     18       455777.37
1985     19       463999.60
1985     20       473932.06
1985     21       474085.72
1985     22       469944.90
1985     23       460990.54
1985     24       446950.53
1985     25       427604.15
1985     26       420851.92
1985     27       407880.76
1985     28       394895.27
1985     29       383613.52
1985     30       373240.73
1985     31       375777.38
1985     32       374703.75
1985     33       371734.51
1985     34       379696.12
1985     35       391095.52
1985     36       407749.01
1985     37       430566.66
1985     38       454091.93
1985     39       382802.28
1985     40       366746.96
1985     41       359775.38
1985     42       349625.31
1985     43       322725.80
1985     44       304876.69
1985     45       314023.97
1985     46       319147.10
1985     47       319775.84
1985     48       313910.73
1985     49       309637.46
1985     50       304001.90
1985     51       299385.88
1985     52       301034.23
1985     53       308070.20
1985     54       314775.94
1985     55       316763.50
1986     12       353551.28
1986     13       375965.72
1986     14       398423.30
1986     15       421651.89
1986     16       421099.51
1986     17       437872.41
1986     18       444055.51
1986     19       457476.49
1986     20       466056.70
1986     21       475110.52
1986     22       475002.55
1986     23       470373.31
1986     24       461421.30
1986     25       447306.14
1986     26       428147.20
1986     27       421578.76
1986     28       408641.13
1986     29       395353.46
1986     30       384541.29
1986     31       374023.56
1986     32       376785.43
1986     33       375718.99
1986     34       372967.81
1986     35       380463.45
1986     36       391918.90
1986     37       408038.67
1986     38       430261.64
1986     39       453827.98
1986     40       382624.23
1986     41       366495.61
1986     42       359474.16
1986     43       349234.55
1986     44       322251.19
1986     45       304201.74
1986     46       313400.80
1986     47       318554.32
1986     48       318969.55
1986     49       312977.35
1986     50       308499.21
1986     51       302904.66
1986     52       298198.78
1986     53       299625.76
1986     54       306534.44
1986     55       313248.19
1987     12       340459.82
1987     13       354166.63
1987     14       376484.78
1987     15       398814.59
1987     16       422054.87
1987     17       422423.05
1987     18       438671.31
1987     19       445388.88
1987     20       459127.60
1987     21       466857.65
1987     22       475631.74
1987     23       474875.79
1987     24       470139.49
1987     25       461197.58
1987     26       447106.62
1987     27       428105.28
1987     28       421588.22
1987     29       408695.62
1987     30       396163.47
1987     31       384956.00
1987     32       374631.24
1987     33       377416.40
1987     34       376594.94
1987     35       373452.42
1987     36       381202.95
1987     37       392045.41
1987     38       407579.80
1987     39       429936.75
1987     40       453276.79
1987     41       382214.57
1987     42       366085.16
1987     43       359085.33
1987     44       348730.11
1987     45       321506.25
1987     46       303550.19
1987     47       312660.01
1987     48       317689.96
1987     49       318046.17
1987     50       311740.76
1987     51       307307.93
1987     52       301616.60
1987     53       296766.75
1987     54       298112.65
1987     55       304927.42
1988     12       327117.57
1988     13       341005.45
1988     14       354554.35
1988     15       376923.30
1988     16       399250.79
1988     17       423346.03
1988     18       422704.44
1988     19       439608.13
1988     20       446547.07
1988     21       459569.93
1988     22       467136.06
1988     23       475264.54
1988     24       474293.47
1988     25       469584.42
1988     26       460551.57
1988     27       446628.69
1988     28       427505.77
1988     29       421144.36
1988     30       409220.00
1988     31       396345.16
1988     32       385337.35
1988     33       374985.14
1988     34       377984.99
1988     35       377017.59
1988     36       373970.56
1988     37       381193.34
1988     38       391496.54
1988     39       407137.50
1988     40       429137.72
1988     41       452845.04
1988     42       381856.20
1988     43       365744.08
1988     44       358740.78
1988     45       347994.78
1988     46       320952.90
1988     47       302879.12
1988     48       311784.74
1988     49       316853.92
1988     50       316851.93
1988     51       310625.61
1988     52       306070.83
1988     53       300242.08
1988     54       295356.94
1988     55       296588.18
1989     12       315604.51
1989     13       327708.18
1989     14       341542.48
1989     15       355246.29
1989     16       377643.97
1989     17       400811.55
1989     18       423469.90
1989     19       423463.17
1989     20       440677.26
1989     21       447138.13
1989     22       460016.32
1989     23       467173.97
1989     24       475040.16
1989     25       474102.15
1989     26       469272.23
1989     27       460341.50
1989     28       446091.07
1989     29       426936.66
1989     30       421499.92
1989     31       409616.90
1989     32       397083.06
1989     33       385942.26
1989     34       375675.36
1989     35       378693.52
1989     36       377553.01
1989     37       374072.91
1989     38       380732.53
1989     39       391166.17
1989     40       406492.38
1989     41       428932.70
1989     42       452774.73
1989     43       381520.58
1989     44       365540.79
1989     45       358140.10
1989     46       347604.01
1989     47       320423.67
1989     48       302106.46
1989     49       310983.13
1989     50       315771.89
1989     51       315864.46
1989     52       309500.87
1989     53       304792.97
1989     54       298850.53
1989     55       293945.62
1990     12       322225.41
1990     13       316345.05
1990     14       328499.69
1990     15       342445.91
1990     16       356207.17
1990     17       379516.83
1990     18       401188.13
1990     19       424534.02
1990     20       424731.27
1990     21       441480.09
1990     22       447915.94
1990     23       460530.80
1990     24       467546.26
1990     25       475526.55
1990     26       474362.49
1990     27       469374.17
1990     28       460078.68
1990     29       445618.51
1990     30       427354.39
1990     31       422184.05
1990     32       410842.49
1990     33       398272.69
1990     34       387188.63
1990     35       376758.04
1990     36       379521.78
1990     37       377975.02
1990     38       373965.32
1990     39       380836.62
1990     40       390919.72
1990     41       406590.70
1990     42       429051.80
1990     43       452474.01
1990     44       381274.81
1990     45       365001.73
1990     46       357872.81
1990     47       347188.00
1990     48       319768.24
1990     49       301389.15
1990     50       309971.56
1990     51       314838.34
1990     52       314807.85
1990     53       308309.21
1990     54       303399.57
1990     55       297386.61
1991     12       345962.04
1991     13       322964.44
1991     14       317074.90
1991     15       329354.52
1991     16       343381.75
1991     17       357814.91
1991     18       380092.19
1991     19       403178.07
1991     20       426294.63
1991     21       425700.29
1991     22       442733.37
1991     23       448896.56
1991     24       461356.73
1991     25       468563.41
1991     26       476098.05
1991     27       474420.41
1991     28       469120.08
1991     29       459725.97
1991     30       445782.75
1991     31       427791.54
1991     32       423183.91
1991     33       411950.94
1991     34       399511.79
1991     35       387939.95
1991     36       377580.56
1991     37       380111.02
1991     38       378040.23
1991     39       374175.99
1991     40       380757.33
1991     41       391083.61
1991     42       406617.76
1991     43       428864.91
1991     44       452275.21
1991     45       380291.59
1991     46       364878.23
1991     47       357628.47
1991     48       346466.12
1991     49       319155.36
1991     50       300484.26
1991     51       309234.76
1991     52       313949.67
1991     53       313731.78
1991     54       307071.20
1991     55       302059.14
1992     12       357034.05
1992     13       346499.63
1992     14       323424.11
1992     15       317780.59
1992     16       329947.12
1992     17       344108.35
1992     18       358090.86
1992     19       383295.21
1992     20       404721.55
1992     21       427682.85
1992     22       427097.60
1992     23       443978.03
1992     24       449679.19
1992     25       462299.56
1992     26       469105.40
1992     27       475903.71
1992     28       473681.92
1992     29       468472.27
1992     30       458970.94
1992     31       445508.04
1992     32       427850.71
1992     33       423420.99
1992     34       412307.67
1992     35       399456.05
1992     36       388379.25
1992     37       378048.75
1992     38       380210.86
1992     39       378144.19
1992     40       374013.14
1992     41       380779.77
1992     42       390897.07
1992     43       406351.30
1992     44       428692.89
1992     45       450648.28
1992     46       379896.44
1992     47       364818.75
1992     48       356884.04
1992     49       345784.70
1992     50       318306.91
1992     51       300036.86
1992     52       308645.75
1992     53       312970.37
1992     54       312728.16
1992     55       305967.14
1993     12       357883.43
1993     13       357442.21
1993     14       346821.01
1993     15       324074.71
1993     16       318224.04
1993     17       330243.20
1993     18       344156.20
1993     19       362425.18
1993     20       383881.32
1993     21       406610.98
1993     22       429342.32
1993     23       428543.83
1993     24       444882.79
1993     25       450610.39
1993     26       463236.01
1993     27       469547.79
1993     28       475432.81
1993     29       473117.37
1993     30       467634.01
1993     31       458629.06
1993     32       445271.54
1993     33       427814.61
1993     34       423387.49
1993     35       412039.79
1993     36       399807.80
1993     37       388732.89
1993     38       378405.72
1993     39       380560.89
1993     40       377976.21
1993     41       374012.46
1993     42       380598.59
1993     43       390573.50
1993     44       406054.73
1993     45       427586.69
1993     46       449713.88
1993     47       379432.10
1993     48       364502.51
1993     49       356217.12
1993     50       344872.83
1993     51       317785.34
1993     52       299547.50
1993     53       307782.95
1993     54       312102.34
1993     55       311634.98
1994     12       353303.04
1994     13       358334.80
1994     14       357753.00
1994     15       347541.66
1994     16       324624.20
1994     17       318661.27
1994     18       330178.07
1994     19       349763.27
1994     20       362293.42
1994     21       386242.98
1994     22       409034.88
1994     23       431529.70
1994     24       429967.25
1994     25       446332.36
1994     26       452199.61
1994     27       464801.15
1994     28       470152.39
1994     29       475619.12
1994     30       472897.54
1994     31       467683.02
1994     32       458720.64
1994     33       445390.06
1994     34       427899.94
1994     35       423105.22
1994     36       412429.44
1994     37       400031.19
1994     38       389092.10
1994     39       378904.46
1994     40       380598.96
1994     41       377928.47
1994     42       373900.18
1994     43       380356.99
1994     44       390264.49
1994     45       405352.22
1994     46       426841.91
1994     47       448379.08
1994     48       378998.36
1994     49       364136.76
1994     50       355284.43
1994     51       344085.50
1994     52       316977.14
1994     53       298776.60
1994     54       307169.77
1994     55       310964.12
1995     12       352849.31
1995     13       353832.25
1995     14       358635.14
1995     15       358525.13
1995     16       348094.91
1995     17       325073.30
1995     18       318074.24
1995     19       336787.88
1995     20       349369.41
1995     21       364776.75
1995     22       389179.37
1995     23       411853.72
1995     24       433367.78
1995     25       431696.76
1995     26       448103.46
1995     27       453983.93
1995     28       466020.24
1995     29       470914.98
1995     30       475726.53
1995     31       472901.89
1995     32       467775.47
