United Kingdom, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 01/12/2022
Year       MAB     MAB40
1974     26.42     26.16
1975     26.48     26.24
1976     26.56     26.34
1977     26.67     26.45
1978     26.75     26.54
1979     26.86     26.66
1980     26.91     26.71
1981     27.04     26.83
1982     27.11     26.91
1983     27.21     27.00
1984     27.29     27.08
1985     27.32     27.12
1986     27.38     27.18
1987     27.45     27.25
1988     27.45     27.25
1989     27.56     27.35
1990     27.65     27.44
1991     27.71     27.49
1992     27.85     27.61
1993     27.95     27.70
1994     28.13     27.87
1995     28.19     27.92
1996     28.20     27.91
1997     28.29     27.99
1998     28.35     28.05
1999     28.39     28.08
2000     28.52     28.18
2001     28.60     28.25
2002     28.73     28.36
2003     28.86     28.50
2004     28.98     28.60
2005     29.08     28.69
2006     29.17     28.77
2007     29.30     28.88
2008     29.33     28.91
2009     29.40     28.96
2010     29.53     29.09
2011     29.70     29.23
2012     29.82     29.34
2013     29.99     29.50
2014     30.17     29.67
2015     30.30     29.78
2016     30.43     29.89
2017     30.51     29.96
2018     30.59     30.03
2019     30.65     30.07
2020     30.72     30.13
