Area,Increase,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,Band I,notes
Adur,4.78%,"£1,371.56 ","£1,600.15 ","£1,828.74 ","£2,057.34 ","£2,514.53 ","£2,971.71 ","£3,428.90 ","£4,114.68 ",,ENGLAND
Allerdale,3.70%,"£1,355.35 ","£1,581.24 ","£1,807.14 ","£2,033.03 ","£2,484.81 ","£2,936.60 ","£3,388.38 ","£4,066.06 ",,"*Table does not include contributions to parish precepts, fire brigade, social care and any other contributions payable in addition to Council Tax."
Amber Valley,3.26%,"£1,296.43 ","£1,512.50 ","£1,728.58 ","£1,944.65 ","£2,376.79 ","£2,808.94 ","£3,241.08 ","£3,889.30 ",,
Arun,4.84%,"£1,329.91 ","£1,551.56 ","£1,773.21 ","£1,994.86 ","£2,438.16 ","£2,881.46 ","£3,324.77 ","£3,989.72 ",,"Note: The non-metropolitan county of Northamptonshire, together with its seven districts, has been dissolved and two new unitary authorities have been created (as of 1 April 2021):"
Ashfield,3.05%,"£1,404.73 ","£1,638.85 ","£1,872.97 ","£2,107.09 ","£2,575.33 ","£3,043.57 ","£3,511.82 ","£4,214.18 ",,
Ashford,5.00%,"£1,293.84 ","£1,509.48 ","£1,725.12 ","£1,940.76 ","£2,372.04 ","£2,803.32 ","£3,234.60 ","£3,881.52 ",,"North Northamptonshire: comprised of Corby, East Northamptonshire, Kettering and Wellingborough"
Babergh,4.20%,"£1,264.48 ","£1,475.23 ","£1,685.97 ","£1,896.72 ","£2,318.21 ","£2,739.71 ","£3,161.20 ","£3,793.44 ",,"West Northamptonshire: comprised of Daventry, Northampton and South Northamptonshire"
Barking & Dagenham,5.92%,"£1,141.71 ","£1,332.00 ","£1,522.28 ","£1,712.57 ","£2,093.14 ","£2,473.71 ","£2,854.28 ","£3,425.14 ",,
Barnet,5.93%,"£1,133.99 ","£1,322.99 ","£1,511.99 ","£1,700.99 ","£2,078.99 ","£2,456.98 ","£2,834.98 ","£3,401.98 ",,WALES
Barnsley,3.38%,"£1,254.57 ","£1,463.66 ","£1,672.75 ","£1,881.85 ","£2,300.04 ","£2,718.23 ","£3,136.42 ","£3,763.70 ",,"*Table does not include contributions to parish council precepts, fire brigade, social care and any other contributions payable in addition to Council Tax."
