,region,ethnicity,age_start,age_end,sex,year_start,year_end,mean_value
0,East Midlands,BAN,0,1,Male,2011,2012,0.0018145716999999
1,East Midlands,BAN,1,2,Male,2011,2012,0.000318313575
2,East Midlands,BAN,2,3,Male,2011,2012,0.0002044500499999
3,East Midlands,BAN,3,4,Male,2011,2012,0.000165322575
4,East Midlands,BAN,4,5,Male,2011,2012,0.000158096125
5,East Midlands,BAN,5,6,Male,2011,2012,0.0001842635
6,East Midlands,BAN,6,7,Male,2011,2012,0.00020190355
7,East Midlands,BAN,7,8,Male,2011,2012,0.0001801183999999
8,East Midlands,BAN,8,9,Male,2011,2012,0.00016780495
9,East Midlands,BAN,9,10,Male,2011,2012,0.000152088675
10,East Midlands,BAN,10,11,Male,2011,2012,0.0001378797
11,East Midlands,BAN,11,12,Male,2011,2012,0.0001661017
12,East Midlands,BAN,12,13,Male,2011,2012,0.000191227725
13,East Midlands,BAN,13,14,Male,2011,2012,0.0001831411999999
14,East Midlands,BAN,14,15,Male,2011,2012,0.00016126115
15,East Midlands,BAN,15,16,Male,2011,2012,0.000161055425
16,East Midlands,BAN,16,17,Male,2011,2012,0.000221128425
17,East Midlands,BAN,17,18,Male,2011,2012,0.000373013525
18,East Midlands,BAN,18,19,Male,2011,2012,0.000435862975
19,East Midlands,BAN,19,20,Male,2011,2012,0.000383623825
20,East Midlands,BAN,20,21,Male,2011,2012,0.000399200625
21,East Midlands,BAN,21,22,Male,2011,2012,0.00038512605
22,East Midlands,BAN,22,23,Male,2011,2012,0.000390239725
23,East Midlands,BAN,23,24,Male,2011,2012,0.0004436343
24,East Midlands,BAN,24,25,Male,2011,2012,0.00043204685
25,East Midlands,BAN,25,26,Male,2011,2012,0.000440014475
26,East Midlands,BAN,26,27,Male,2011,2012,0.0004541930999999
27,East Midlands,BAN,27,28,Male,2011,2012,0.0004371816749999
28,East Midlands,BAN,28,29,Male,2011,2012,0.0005289639249999
29,East Midlands,BAN,29,30,Male,2011,2012,0.000571154775
30,East Midlands,BAN,30,31,Male,2011,2012,0.000588832725
31,East Midlands,BAN,31,32,Male,2011,2012,0.000654366325
32,East Midlands,BAN,32,33,Male,2011,2012,0.0007194994
33,East Midlands,BAN,33,34,Male,2011,2012,0.00083067455
34,East Midlands,BAN,34,35,Male,2011,2012,0.0008452493
35,East Midlands,BAN,35,36,Male,2011,2012,0.0008606261749999
36,East Midlands,BAN,36,37,Male,2011,2012,0.000912804425
37,East Midlands,BAN,37,38,Male,2011,2012,0.000998339775
38,East Midlands,BAN,38,39,Male,2011,2012,0.0010993894249999
39,East Midlands,BAN,39,40,Male,2011,2012,0.0012508929249999
40,East Midlands,BAN,40,41,Male,2011,2012,0.0014125604
41,East Midlands,BAN,41,42,Male,2011,2012,0.0015692971
42,East Midlands,BAN,42,43,Male,2011,2012,0.00170414275
43,East Midlands,BAN,43,44,Male,2011,2012,0.0017799099499999
44,East Midlands,BAN,44,45,Male,2011,2012,0.0019816250999999
45,East Midlands,BAN,45,46,Male,2011,2012,0.0021543709749999
46,East Midlands,BAN,46,47,Male,2011,2012,0.0024096492999999
47,East Midlands,BAN,47,48,Male,2011,2012,0.00264690125
48,East Midlands,BAN,48,49,Male,2011,2012,0.002949539125
49,East Midlands,BAN,49,50,Male,2011,2012,0.0031366222749999
50,East Midlands,BAN,50,51,Male,2011,2012,0.003291458625
51,East Midlands,BAN,51,52,Male,2011,2012,0.003777752375
52,East Midlands,BAN,52,53,Male,2011,2012,0.004017731825
53,East Midlands,BAN,53,54,Male,2011,2012,0.004822863125
54,East Midlands,BAN,54,55,Male,2011,2012,0.005497746225
55,East Midlands,BAN,55,56,Male,2011,2012,0.0056663881249999
56,East Midlands,BAN,56,57,Male,2011,2012,0.006185197575
57,East Midlands,BAN,57,58,Male,2011,2012,0.00693245985
58,East Midlands,BAN,58,59,Male,2011,2012,0.007195739075
59,East Midlands,BAN,59,60,Male,2011,2012,0.007965597025
60,East Midlands,BAN,60,61,Male,2011,2012,0.009597436425
61,East Midlands,BAN,61,62,Male,2011,2012,0.0105469813749999
62,East Midlands,BAN,62,63,Male,2011,2012,0.011012238525
63,East Midlands,BAN,63,64,Male,2011,2012,0.010733836675
64,East Midlands,BAN,64,65,Male,2011,2012,0.0118634933249999
65,East Midlands,BAN,65,66,Male,2011,2012,0.01415903405
66,East Midlands,BAN,66,67,Male,2011,2012,0.0153323226999999
67,East Midlands,BAN,67,68,Male,2011,2012,0.016933039475
68,East Midlands,BAN,68,69,Male,2011,2012,0.02056300875
69,East Midlands,BAN,69,70,Male,2011,2012,0.023860317875
70,East Midlands,BAN,70,71,Male,2011,2012,0.025127385075
71,East Midlands,BAN,71,72,Male,2011,2012,0.026349472125
72,East Midlands,BAN,72,73,Male,2011,2012,0.0281308735499999
73,East Midlands,BAN,73,74,Male,2011,2012,0.0311773797499999
74,East Midlands,BAN,74,75,Male,2011,2012,0.0353042231499999
75,East Midlands,BAN,75,76,Male,2011,2012,0.0387562988249999
76,East Midlands,BAN,76,77,Male,2011,2012,0.042483831325
77,East Midlands,BAN,77,78,Male,2011,2012,0.047014675925
78,East Midlands,BAN,78,79,Male,2011,2012,0.0521599955249999
79,East Midlands,BAN,79,80,Male,2011,2012,0.060006263825
80,East Midlands,BAN,80,81,Male,2011,2012,0.0662839215
81,East Midlands,BAN,81,82,Male,2011,2012,0.073221039725
82,East Midlands,BAN,82,83,Male,2011,2012,0.0808871805999999
83,East Midlands,BAN,83,84,Male,2011,2012,0.089359275075
84,East Midlands,BAN,84,85,Male,2011,2012,0.0987224054249999
85,East Midlands,BAN,85,86,Male,2011,2012,0.109070673425
86,East Midlands,BAN,86,87,Male,2011,2012,0.120508160275
87,East Midlands,BAN,87,88,Male,2011,2012,0.13314998895
88,East Midlands,BAN,88,89,Male,2011,2012,0.147123501275
89,East Midlands,BAN,89,90,Male,2011,2012,0.162569559375
90,East Midlands,BAN,90,91,Male,2011,2012,0.1796439877749999
