"","year","sex","age","count"
"1","2008","Male",16,405139
"2","2008","Male",17,416374
"3","2008","Male",18,409924
"4","2008","Male",19,408047
"5","2008","Male",20,412341
"6","2008","Male",21,401541
"7","2008","Male",22,412831
"8","2008","Male",23,424825
"9","2008","Male",24,417957
"10","2008","Male",25,418270
"11","2008","Male",26,414977
"12","2008","Male",27,426395
"13","2008","Male",28,430297
"14","2008","Male",29,411455
"15","2008","Male",30,386358
"16","2008","Male",31,381181
"17","2008","Male",32,388297
"18","2008","Male",33,395510
"19","2008","Male",34,404702
"20","2008","Male",35,423207
"21","2008","Male",36,441911
"22","2008","Male",37,455358
"23","2008","Male",38,449714
"24","2008","Male",39,459613
"25","2008","Male",40,461903
"26","2008","Male",41,471066
"27","2008","Male",42,467605
"28","2008","Male",43,469638
"29","2008","Male",44,464894
"30","2008","Male",45,456389
"31","2008","Male",46,447104
"32","2008","Male",47,434677
"33","2008","Male",48,418988
"34","2008","Male",49,411181
"35","2008","Male",50,404011
"36","2008","Male",51,389317
"37","2008","Male",52,376094
"38","2008","Male",53,363242
"39","2008","Male",54,364747
"40","2008","Male",55,360352
"41","2008","Male",56,351509
"42","2008","Male",57,354547
"43","2008","Male",58,361603
"44","2008","Male",59,372729
"45","2008","Male",60,394463
"46","2008","Male",61,424002
"47","2008","Male",62,332833
"48","2008","Male",63,323184
"49","2008","Male",64,321652
"50","2008","Male",65,302036
"51","2008","Male",66,270741
"52","2008","Male",67,246920
"53","2008","Male",68,256227
"54","2008","Male",69,253891
"55","2008","Male",70,248094
"56","2008","Male",71,236873
"57","2008","Male",72,225980
"58","2008","Male",73,215608
"59","2008","Male",74,200431
"60","2008","Male",75,191869
"61","2008","Male",76,186736
"62","2008","Male",77,177549
"63","2008","Male",78,164880
"64","2008","Male",79,151161
"65","2008","Male",80,137461
"66","2008","Male",81,127567
"67","2008","Male",82,116289
"68","2008","Male",83,103230
"69","2008","Male",84,91646
"70","2008","Male",85,80143
"71","2008","Male",86,72461
"72","2008","Male",87,62626
"73","2008","Male",88,51005
"74","2008","Male",89,37193
"75","2008","Male",90,102691
"76","2008","Female",16,392912
"77","2008","Female",17,398166
"78","2008","Female",18,391054
"79","2008","Female",19,400082
"80","2008","Female",20,410091
"81","2008","Female",21,407077
"82","2008","Female",22,415517
"83","2008","Female",23,422240
"84","2008","Female",24,416675
"85","2008","Female",25,418626
"86","2008","Female",26,420978
"87","2008","Female",27,426986
"88","2008","Female",28,428085
"89","2008","Female",29,411012
"90","2008","Female",30,386878
"91","2008","Female",31,380013
"92","2008","Female",32,391234
"93","2008","Female",33,401112
"94","2008","Female",34,408753
"95","2008","Female",35,428222
"96","2008","Female",36,449186
"97","2008","Female",37,464987
"98","2008","Female",38,455326
"99","2008","Female",39,468523
"100","2008","Female",40,468839
"101","2008","Female",41,475382
"102","2008","Female",42,477503
"103","2008","Female",43,481704
"104","2008","Female",44,477750
"105","2008","Female",45,468842
"106","2008","Female",46,457299
"107","2008","Female",47,442843
"108","2008","Female",48,425829
"109","2008","Female",49,417461
"110","2008","Female",50,409124
"111","2008","Female",51,395167
"112","2008","Female",52,382071
"113","2008","Female",53,369644
"114","2008","Female",54,371482
"115","2008","Female",55,366605
"116","2008","Female",56,359954
"117","2008","Female",57,363463
"118","2008","Female",58,373355
"119","2008","Female",59,383409
"120","2008","Female",60,407327
"121","2008","Female",61,437642
"122","2008","Female",62,345374
"123","2008","Female",63,337231
"124","2008","Female",64,335236
"125","2008","Female",65,318990
"126","2008","Female",66,288937
"127","2008","Female",67,266447
"128","2008","Female",68,277305
"129","2008","Female",69,277114
"130","2008","Female",70,272067
"131","2008","Female",71,263653
"132","2008","Female",72,255576
"133","2008","Female",73,246873
"134","2008","Female",74,235142
"135","2008","Female",75,230111
"136","2008","Female",76,229357
"137","2008","Female",77,225824
"138","2008","Female",78,217748
"139","2008","Female",79,204793
"140","2008","Female",80,192044
"141","2008","Female",81,183701
"142","2008","Female",82,175246
"143","2008","Female",83,163976
"144","2008","Female",84,153708
"145","2008","Female",85,143587
"146","2008","Female",86,136282
"147","2008","Female",87,129160
"148","2008","Female",88,110301
"149","2008","Female",89,80400
"150","2008","Female",90,303993
"151","2009","Male",16,399088
"152","2009","Male",17,409294
"153","2009","Male",18,422883
"154","2009","Male",19,416476
"155","2009","Male",20,408564
"156","2009","Male",21,412834
"157","2009","Male",22,402912
"158","2009","Male",23,415723
"159","2009","Male",24,427425
"160","2009","Male",25,417678
"161","2009","Male",26,418898
"162","2009","Male",27,417125
"163","2009","Male",28,428581
"164","2009","Male",29,433025
"165","2009","Male",30,416963
"166","2009","Male",31,390379
"167","2009","Male",32,385159
"168","2009","Male",33,391629
"169","2009","Male",34,398580
"170","2009","Male",35,404896
"171","2009","Male",36,423555
"172","2009","Male",37,442157
"173","2009","Male",38,455774
"174","2009","Male",39,449263
"175","2009","Male",40,460484
"176","2009","Male",41,462021
"177","2009","Male",42,470860
"178","2009","Male",43,467213
"179","2009","Male",44,469274
"180","2009","Male",45,464710
"181","2009","Male",46,456286
"182","2009","Male",47,447425
"183","2009","Male",48,434508
"184","2009","Male",49,418805
"185","2009","Male",50,410675
"186","2009","Male",51,403139
"187","2009","Male",52,388351
"188","2009","Male",53,375359
"189","2009","Male",54,361930
"190","2009","Male",55,363166
"191","2009","Male",56,358803
"192","2009","Male",57,349460
"193","2009","Male",58,352403
"194","2009","Male",59,359123
"195","2009","Male",60,369849
"196","2009","Male",61,390865
"197","2009","Male",62,421411
"198","2009","Male",63,329205
"199","2009","Male",64,319185
"200","2009","Male",65,318441
"201","2009","Male",66,297867
"202","2009","Male",67,266697
"203","2009","Male",68,242181
"204","2009","Male",69,251195
"205","2009","Male",70,248534
"206","2009","Male",71,242516
"207","2009","Male",72,230670
"208","2009","Male",73,219484
"209","2009","Male",74,208906
"210","2009","Male",75,193519
"211","2009","Male",76,184241
"212","2009","Male",77,178596
"213","2009","Male",78,168977
"214","2009","Male",79,155799
"215","2009","Male",80,141915
"216","2009","Male",81,127893
"217","2009","Male",82,117745
"218","2009","Male",83,106590
"219","2009","Male",84,93338
"220","2009","Male",85,82011
"221","2009","Male",86,70795
"222","2009","Male",87,63096
"223","2009","Male",88,53147
"224","2009","Male",89,42192
"225","2009","Male",90,110093
"226","2009","Female",16,382918
"227","2009","Female",17,398749
"228","2009","Female",18,406963
"229","2009","Female",19,402136
"230","2009","Female",20,403019
"231","2009","Female",21,414773
"232","2009","Female",22,413629
"233","2009","Female",23,420495
"234","2009","Female",24,427041
"235","2009","Female",25,419501
"236","2009","Female",26,423250
"237","2009","Female",27,425414
"238","2009","Female",28,431069
"239","2009","Female",29,432196
"240","2009","Female",30,413624
"241","2009","Female",31,388350
"242","2009","Female",32,381636
"243","2009","Female",33,392855
"244","2009","Female",34,402635
"245","2009","Female",35,411119
"246","2009","Female",36,430120
"247","2009","Female",37,450579
"248","2009","Female",38,466932
"249","2009","Female",39,456500
"250","2009","Female",40,469218
"251","2009","Female",41,469364
"252","2009","Female",42,475339
"253","2009","Female",43,477531
"254","2009","Female",44,481863
"255","2009","Female",45,477502
"256","2009","Female",46,468255
"257","2009","Female",47,456950
"258","2009","Female",48,442075
"259","2009","Female",49,425099
"260","2009","Female",50,416519
"261","2009","Female",51,408038
"262","2009","Female",52,394077
"263","2009","Female",53,381096
"264","2009","Female",54,368366
"265","2009","Female",55,370644
"266","2009","Female",56,365944
"267","2009","Female",57,358688
"268","2009","Female",58,362159
"269","2009","Female",59,371826
"270","2009","Female",60,381354
"271","2009","Female",61,404554
"272","2009","Female",62,435948
"273","2009","Female",63,342430
"274","2009","Female",64,334338
"275","2009","Female",65,333026
"276","2009","Female",66,316097
"277","2009","Female",67,286216
"278","2009","Female",68,263087
"279","2009","Female",69,273796
"280","2009","Female",70,273395
"281","2009","Female",71,267910
"282","2009","Female",72,259085
"283","2009","Female",73,250689
"284","2009","Female",74,241795
"285","2009","Female",75,229623
"286","2009","Female",76,223787
"287","2009","Female",77,222598
"288","2009","Female",78,218204
"289","2009","Female",79,209513
"290","2009","Female",80,195825
"291","2009","Female",81,182673
"292","2009","Female",82,173487
"293","2009","Female",83,164438
