"DataZone","Name","Council","% of children in poverty"
"S01009758","Darnley East - 01","Glasgow City",21.4
"S01009759","Darnley East - 02","Glasgow City",44.6
"S01009760","Darnley East - 03","Glasgow City",30.4
"S01009761","Darnley East - 04","Glasgow City",35.6
"S01009762","Darnley East - 05","Glasgow City",33.7
"S01009763","Darnley East - 06","Glasgow City",19.7
"S01009764","Darnley North - 01","Glasgow City",37.8
"S01009765","Darnley North - 02","Glasgow City",46.2
"S01009766","Darnley North - 03","Glasgow City",11.5
"S01009767","Darnley North - 04","Glasgow City",18.3
"S01009768","Darnley West - 01","Glasgow City",33.3
"S01009769","Darnley West - 02","Glasgow City",20.4
"S01009770","Darnley West - 03","Glasgow City",23.5
"S01009771","Darnley West - 04","Glasgow City",26.8
"S01009772","Darnley West - 05","Glasgow City",31.8
"S01009773","Darnley West - 06","Glasgow City",28.4
"S01009774","Darnley West - 07","Glasgow City",25.3
"S01009775","Nitshill - 01","Glasgow City",33.9
"S01009776","Nitshill - 02","Glasgow City",53.8
"S01009777","Nitshill - 03","Glasgow City",63.4
"S01009778","Nitshill - 04","Glasgow City",54.9
"S01009779","Nitshill - 05","Glasgow City",48.4
"S01009780","Nitshill - 06","Glasgow City",40.7
"S01009781","Nitshill - 07","Glasgow City",46.9
"S01009782","Nitshill - 08","Glasgow City",35.6
"S01009783","Nitshill - 09","Glasgow City",31.5
"S01009784","Crookston South - 01","Glasgow City",35
"S01009785","Crookston South - 02","Glasgow City",31.5
"S01009786","Crookston South - 03","Glasgow City",46.3
"S01009787","Crookston South - 04","Glasgow City",41.7
"S01009788","Crookston North - 01","Glasgow City",29.9
"S01009789","Crookston North - 02","Glasgow City",26
"S01009790","Crookston North - 03","Glasgow City",27.8
"S01009791","Crookston North - 04","Glasgow City",39.8
"S01009792","Pollok South and West - 01","Glasgow City",22
"S01009793","Pollok South and West - 02","Glasgow City",8.7
"S01009794","Pollok South and West - 03","Glasgow City",21.4
"S01009795","Pollok South and West - 04","Glasgow City",20.5
"S01009796","Pollok South and West - 05","Glasgow City",17.4
"S01009797","Pollok South and West - 06","Glasgow City",20.2
"S01009798","Pollok South and West - 07","Glasgow City",21.9
"S01009799","Pollok North and East - 01","Glasgow City",45.1
"S01009800","Pollok North and East - 02","Glasgow City",41.7
"S01009801","Pollok North and East - 03","Glasgow City",30.2
"S01009802","Pollok North and East - 04","Glasgow City",46.4
"S01009803","Pollok North and East - 05","Glasgow City",33.8
"S01009804","Pollok North and East - 06","Glasgow City",15.8
"S01009805","Pollok North and East - 07","Glasgow City",37.4
"S01009806","Cardonald South and East - 01","Glasgow City",30.8
"S01009807","Cardonald South and East - 02","Glasgow City",25.6
"S01009808","Cardonald South and East - 03","Glasgow City",16.5
"S01009809","Cardonald South and East - 04","Glasgow City",21.4
"S01009810","Cardonald North - 01","Glasgow City",27.5
"S01009811","Cardonald North - 02","Glasgow City",25.3
"S01009812","Cardonald North - 03","Glasgow City",20.7
"S01009813","Cardonald North - 04","Glasgow City",46.4
"S01009814","Cardonald North - 05","Glasgow City",19.6
"S01009815","Cardonald West and Central - 01","Glasgow City",22.5
"S01009816","Cardonald West and Central - 02","Glasgow City",35.3
"S01009817","Cardonald West and Central - 03","Glasgow City",11.1
"S01009818","Cardonald West and Central - 04","Glasgow City",17.4
"S01009819","Cardonald West and Central - 05","Glasgow City",29.6
"S01009820","Cardonald West and Central - 06","Glasgow City",20.8
"S01009821","Cardonald West and Central - 07","Glasgow City",15.8
"S01009822","Penilee - 01","Glasgow City",19.8
"S01009823","Penilee - 02","Glasgow City",46.3
"S01009824","Penilee - 03","Glasgow City",23.9
"S01009825","Penilee - 04","Glasgow City",32.1
"S01009826","Penilee - 05","Glasgow City",37.7
"S01009827","Penilee - 06","Glasgow City",29.2
"S01009828","Penilee - 07","Glasgow City",33.8
"S01009829","Hillington - 01","Glasgow City",26
"S01009830","Hillington - 02","Glasgow City",29.2
"S01009831","Hillington - 03","Glasgow City",21.7
"S01009832","Hillington - 04","Glasgow City",25.9
"S01009833","Drumoyne and Shieldhall - 01","Glasgow City",5.7
"S01009834","Drumoyne and Shieldhall - 02","Glasgow City",42.7
"S01009835","Drumoyne and Shieldhall - 03","Glasgow City",40.3
"S01009836","Drumoyne and Shieldhall - 04","Glasgow City",14.5
"S01009837","Drumoyne and Shieldhall - 05","Glasgow City",37.5
"S01009838","Drumoyne and Shieldhall - 06","Glasgow City",31
"S01009839","Drumoyne and Shieldhall - 07","Glasgow City",31.5
"S01009840","Drumoyne and Shieldhall - 08","Glasgow City",29.6
"S01009841","Govan and Linthouse - 01","Glasgow City",46.8
"S01009842","Govan and Linthouse - 02","Glasgow City",33.3
"S01009843","Govan and Linthouse - 03","Glasgow City",34.7
"S01009844","Govan and Linthouse - 04","Glasgow City",52.5
"S01009845","Govan and Linthouse - 05","Glasgow City",44.8
"S01009846","Govan and Linthouse - 06","Glasgow City",46.4
"S01009847","Govan and Linthouse - 07","Glasgow City",23.8
"S01009848","Craigton - 01","Glasgow City",29.6
"S01009849","Craigton - 02","Glasgow City",31
"S01009850","Craigton - 03","Glasgow City",36.4
"S01009851","Craigton - 04","Glasgow City",21.8
"S01009852","Mosspark - 01","Glasgow City",35.8
