DZ code,DZ name,LA code,LA name,Cluster
S01006506,Culter - 01,S12000033,Aberdeen City,2.0
S01006507,Culter - 02,S12000033,Aberdeen City,2.0
S01006508,Culter - 03,S12000033,Aberdeen City,2.0
S01006509,Culter - 04,S12000033,Aberdeen City,2.0
S01006510,Culter - 05,S12000033,Aberdeen City,2.0
S01006511,Culter - 06,S12000033,Aberdeen City,2.0
S01006512,Culter - 07,S12000033,Aberdeen City,2.0
S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,2.0
S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,2.0
S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,2.0
S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,2.0
S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,2.0
S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,2.0
S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,2.0
S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,2.0
S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,2.0
S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,2.0
S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,2.0
S01006524,"Cults, Bieldside and Milltimber East - 07",S12000033,Aberdeen City,2.0
S01006525,"Cults, Bieldside and Milltimber East - 08",S12000033,Aberdeen City,2.0
S01006526,Garthdee - 01,S12000033,Aberdeen City,2.0
S01006527,Garthdee - 02,S12000033,Aberdeen City,2.0
S01006528,Garthdee - 03,S12000033,Aberdeen City,2.0
S01006529,Garthdee - 04,S12000033,Aberdeen City,2.0
S01006530,Garthdee - 05,S12000033,Aberdeen City,2.0
S01006531,Garthdee - 06,S12000033,Aberdeen City,2.0
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",S12000033,Aberdeen City,2.0
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",S12000033,Aberdeen City,2.0
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",S12000033,Aberdeen City,2.0
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",S12000033,Aberdeen City,2.0
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",S12000033,Aberdeen City,2.0
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",S12000033,Aberdeen City,2.0
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",S12000033,Aberdeen City,2.0
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",S12000033,Aberdeen City,2.0
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",S12000033,Aberdeen City,2.0
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",S12000033,Aberdeen City,2.0
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",S12000033,Aberdeen City,2.0
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",S12000033,Aberdeen City,2.0
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",S12000033,Aberdeen City,2.0
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",S12000033,Aberdeen City,2.0
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",S12000033,Aberdeen City,2.0
S01006547,Hazlehead - 01,S12000033,Aberdeen City,2.0
S01006548,Hazlehead - 02,S12000033,Aberdeen City,2.0
S01006549,Hazlehead - 03,S12000033,Aberdeen City,2.0
S01006550,Hazlehead - 04,S12000033,Aberdeen City,2.0
S01006551,Hazlehead - 05,S12000033,Aberdeen City,2.0
S01006552,Hazlehead - 06,S12000033,Aberdeen City,2.0
S01006553,Summerhill - 01,S12000033,Aberdeen City,2.0
S01006554,Summerhill - 02,S12000033,Aberdeen City,2.0
S01006555,Summerhill - 03,S12000033,Aberdeen City,2.0
S01006556,Summerhill - 04,S12000033,Aberdeen City,2.0
S01006557,Summerhill - 05,S12000033,Aberdeen City,2.0
S01006558,Midstocket - 01,S12000033,Aberdeen City,2.0
S01006559,Midstocket - 02,S12000033,Aberdeen City,2.0
S01006560,Midstocket - 03,S12000033,Aberdeen City,2.0
S01006561,Midstocket - 04,S12000033,Aberdeen City,2.0
S01006562,Midstocket - 05,S12000033,Aberdeen City,2.0
S01006563,Midstocket - 06,S12000033,Aberdeen City,2.0
S01006564,Rosemount - 01,S12000033,Aberdeen City,2.0
S01006565,Rosemount - 02,S12000033,Aberdeen City,2.0
S01006566,Rosemount - 03,S12000033,Aberdeen City,2.0
S01006567,Rosemount - 04,S12000033,Aberdeen City,2.0
S01006568,Rosemount - 05,S12000033,Aberdeen City,2.0
S01006569,Rosemount - 06,S12000033,Aberdeen City,2.0
S01006570,Rosemount - 07,S12000033,Aberdeen City,2.0
S01006571,West End North - 01,S12000033,Aberdeen City,2.0
S01006572,West End North - 02,S12000033,Aberdeen City,2.0
S01006573,West End North - 03,S12000033,Aberdeen City,2.0
S01006574,West End North - 04,S12000033,Aberdeen City,2.0
S01006575,West End South - 01,S12000033,Aberdeen City,2.0
S01006576,West End South - 02,S12000033,Aberdeen City,2.0
S01006577,West End South - 03,S12000033,Aberdeen City,2.0
S01006578,West End South - 04,S12000033,Aberdeen City,2.0
S01006579,West End South - 05,S12000033,Aberdeen City,2.0
S01006580,West End South - 06,S12000033,Aberdeen City,2.0
S01006581,West End South - 07,S12000033,Aberdeen City,2.0
S01006582,City Centre West - 01,S12000033,Aberdeen City,2.0
S01006583,City Centre West - 02,S12000033,Aberdeen City,2.0
S01006584,City Centre West - 03,S12000033,Aberdeen City,2.0
S01006585,City Centre West - 04,S12000033,Aberdeen City,2.0
S01006586,City Centre West - 05,S12000033,Aberdeen City,2.0
S01006587,City Centre East - 01,S12000033,Aberdeen City,2.0
S01006588,City Centre East - 02,S12000033,Aberdeen City,2.0
S01006589,City Centre East - 03,S12000033,Aberdeen City,2.0
S01006590,City Centre East - 04,S12000033,Aberdeen City,2.0
S01006591,Ferryhill North - 01,S12000033,Aberdeen City,2.0
S01006592,Ferryhill North - 02,S12000033,Aberdeen City,2.0
S01006593,Ferryhill North - 03,S12000033,Aberdeen City,2.0
S01006594,Ferryhill North - 04,S12000033,Aberdeen City,2.0
S01006595,Ferryhill North - 05,S12000033,Aberdeen City,2.0
S01006596,Ferryhill North - 06,S12000033,Aberdeen City,2.0
S01006597,Ferryhill North - 07,S12000033,Aberdeen City,2.0
S01006598,Ferryhill South - 01,S12000033,Aberdeen City,2.0
S01006599,Ferryhill South - 02,S12000033,Aberdeen City,2.0
S01006600,Ferryhill South - 03,S12000033,Aberdeen City,2.0
S01006601,Ferryhill South - 04,S12000033,Aberdeen City,2.0
S01006602,Ferryhill South - 05,S12000033,Aberdeen City,2.0
S01006603,"Kincorth, Leggart and Nigg North - 01",S12000033,Aberdeen City,2.0
S01006604,"Kincorth, Leggart and Nigg North - 02",S12000033,Aberdeen City,2.0
S01006605,"Kincorth, Leggart and Nigg North - 03",S12000033,Aberdeen City,2.0
S01006606,"Kincorth, Leggart and Nigg North - 04",S12000033,Aberdeen City,2.0
S01006607,"Kincorth, Leggart and Nigg North - 05",S12000033,Aberdeen City,2.0
S01006608,"Kincorth, Leggart and Nigg South - 01",S12000033,Aberdeen City,2.0
S01006609,"Kincorth, Leggart and Nigg South - 02",S12000033,Aberdeen City,2.0
S01006610,"Kincorth, Leggart and Nigg South - 03",S12000033,Aberdeen City,2.0
S01006611,"Kincorth, Leggart and Nigg South - 04",S12000033,Aberdeen City,2.0
S01006612,"Kincorth, Leggart and Nigg South - 05",S12000033,Aberdeen City,2.0
S01006613,Cove South - 01,S12000033,Aberdeen City,2.0
S01006614,Cove South - 02,S12000033,Aberdeen City,2.0
S01006615,Cove South - 03,S12000033,Aberdeen City,2.0
S01006616,Cove South - 04,S12000033,Aberdeen City,2.0
S01006617,Cove South - 05,S12000033,Aberdeen City,2.0
S01006618,Cove South - 06,S12000033,Aberdeen City,2.0
S01006619,Cove North - 01,S12000033,Aberdeen City,2.0
S01006620,Cove North - 02,S12000033,Aberdeen City,2.0
S01006621,Cove North - 03,S12000033,Aberdeen City,2.0
S01006622,Cove North - 04,S12000033,Aberdeen City,2.0
S01006623,Cove North - 05,S12000033,Aberdeen City,2.0
S01006624,Torry West - 01,S12000033,Aberdeen City,2.0
S01006625,Torry West - 02,S12000033,Aberdeen City,2.0
S01006626,Torry West - 03,S12000033,Aberdeen City,2.0
S01006627,Torry West - 04,S12000033,Aberdeen City,2.0
S01006628,Torry West - 05,S12000033,Aberdeen City,2.0
S01006629,Torry West - 06,S12000033,Aberdeen City,2.0
S01006630,Torry West - 07,S12000033,Aberdeen City,2.0
S01006631,Torry East - 01,S12000033,Aberdeen City,2.0
S01006632,Torry East - 02,S12000033,Aberdeen City,2.0
S01006633,Torry East - 03,S12000033,Aberdeen City,2.0
S01006634,Torry East - 04,S12000033,Aberdeen City,2.0
S01006635,Torry East - 05,S12000033,Aberdeen City,2.0
S01006636,Torry East - 06,S12000033,Aberdeen City,2.0
S01006637,Hanover South - 01,S12000033,Aberdeen City,2.0
S01006638,Hanover South - 02,S12000033,Aberdeen City,2.0
S01006639,Hanover South - 03,S12000033,Aberdeen City,2.0
S01006640,Hanover South - 04,S12000033,Aberdeen City,2.0
S01006641,Hanover North - 01,S12000033,Aberdeen City,2.0
S01006642,Hanover North - 02,S12000033,Aberdeen City,2.0
S01006643,Hanover North - 03,S12000033,Aberdeen City,2.0
S01006644,Hanover North - 04,S12000033,Aberdeen City,2.0
S01006645,George Street - 01,S12000033,Aberdeen City,2.0
S01006646,George Street - 02,S12000033,Aberdeen City,2.0
S01006647,George Street - 03,S12000033,Aberdeen City,2.0
S01006648,George Street - 04,S12000033,Aberdeen City,2.0
S01006649,George Street - 05,S12000033,Aberdeen City,2.0
S01006650,George Street - 06,S12000033,Aberdeen City,2.0
S01006651,George Street - 07,S12000033,Aberdeen City,2.0
S01006652,George Street - 08,S12000033,Aberdeen City,2.0
S01006653,Ashgrove - 01,S12000033,Aberdeen City,2.0
S01006654,Ashgrove - 02,S12000033,Aberdeen City,2.0
S01006655,Ashgrove - 03,S12000033,Aberdeen City,2.0
S01006656,Ashgrove - 04,S12000033,Aberdeen City,2.0
S01006657,Ashgrove - 05,S12000033,Aberdeen City,2.0
