"","LSOA11CD"
"1","E01011966"
"2","E01011974"
"3","E01011965"
"4","E01011983"
"5","E01011950"
"6","E01011954"
"7","E01011957"
"8","E01011964"
"9","E01011968"
"10","E01011989"
"11","E01011994"
"12","E01011991"
"13","E01011996"
"14","E01012002"
"15","E01011954"
"16","E01011998"
"17","E01011955"
"18","E01011980"
"19","E01011981"
"20","E01011980"
"21","E01011991"
"22","E01032541"
"23","E01011982"
"24","E01012005"
"25","E01011983"
"26","E01011995"
"27","E01012005"
"28","E01033465"
"29","E01011983"
"30","E01011985"
"31","E01011996"
"32","E01011996"
"33","E01011953"
"34","E01011955"
"35","E01033466"
"36","E01011961"
"37","E01011962"
"38","E01033467"
"39","E01011978"
"40","E01011978"
"41","E01011980"
"42","E01011994"
"43","E01011994"
"44","E01011993"
"45","E01011993"
"46","E01012001"
"47","E01012001"
"48","E01012001"
"49","E01011974"
"50","E01033465"
"51","E01011959"
"52","E01011969"
"53","E01011985"
"54","E01011984"
"55","E01011998"
"56","E01011996"
"57","E01033467"
"58","E01033467"
"59","E01011963"
"60","E01011961"
"61","E01011963"
"62","E01011963"
"63","E01011960"
"64","E01011962"
"65","E01011960"
"66","E01011960"
"67","E01011960"
"68","E01011960"
"69","E01011966"
"70","E01011965"
"71","E01011968"
"72","E01011968"
"73","E01011969"
"74","E01011969"
"75","E01011971"
"76","E01033465"
"77","E01011986"
"78","E01011984"
"79","E01011984"
"80","E01011985"
"81","E01011984"
"82","E01011984"
"83","E01011990"
"84","E01011995"
"85","E01011995"
"86","E01011995"
"87","E01011998"
"88","E01011997"
"89","E01011998"
"90","E01011997"
"91","E01012003"
"92","E01012002"
"93","E01011997"
"94","E01011976"
"95","E01011973"
"96","E01011974"
"97","E01011999"
"98","E01011976"
"99","E01011973"
"100","E01011973"
"101","E01011951"
"102","E01011951"
"103","E01011951"
"104","E01011950"
"105","E01011950"
"106","E01011950"
"107","E01011950"
"108","E01011950"
"109","E01011955"
"110","E01011957"
"111","E01011957"
"112","E01033466"
"113","E01011967"
"114","E01011966"
"115","E01011967"
"116","E01012003"
"117","E01011967"
"118","E01033467"
"119","E01011975"
"120","E01011975"
"121","E01011975"
"122","E01011973"
"123","E01011976"
"124","E01011975"
"125","E01011976"
"126","E01011975"
"127","E01011975"
"128","E01011976"
"129","E01011985"
"130","E01011987"
"131","E01011987"
"132","E01011987"
"133","E01011987"
"134","E01011987"
"135","E01011990"
"136","E01011988"
"137","E01011991"
"138","E01011993"
"139","E01011996"
"140","E01011999"
"141","E01012002"
"142","E01032541"
"143","E01012002"
"144","E01011970"
"145","E01011983"
"146","E01011982"
"147","E01011982"
"148","E01011982"
"149","E01012005"
"150","E01012003"
"151","E01012003"
"152","E01011978"
"153","E01011959"
"154","E01011983"
"155","E01011979"
"156","E01011974"
"157","E01011977"
