SA11CD,OAC11CD,OAC11NM,LSOA11CD,LSOA11NM,SOAC11CD,SOAC11NM,LAD18CD,LAD18NM,LACCD,LACNM,RGN11CD,RGN11NM,CTRY11CD,CTRY11NM,FID
N00000001,5a2,Multi-Ethnic Professionals with Families,95AA01S1,Aldergrove 1,3a,Achieving neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,1
N00000002,5b3,Self-Sufficient Retirement,95AA01S2,Aldergrove 2,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,2
N00000003,1a4,Older Farming Communities,95AA01S2,Aldergrove 2,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,3
N00000004,1a1,Rural Workers and Families,95AA01S2,Aldergrove 2,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,4
N00000005,1a1,Rural Workers and Families,95AA01S2,Aldergrove 2,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,5
N00000006,1a2,Established Farming Communities,95AA01S2,Aldergrove 2,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,6
N00000007,1a1,Rural Workers and Families,95AA01S3,Aldergrove 3,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,7
N00000008,5a1,White Professionals,95AA01S3,Aldergrove 3,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,8
N00000009,1b2,Rural White-Collar Workers,95AA01S3,Aldergrove 3,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,9
N00000010,1a2,Established Farming Communities,95AA01S3,Aldergrove 3,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,10
N00000011,5b3,Self-Sufficient Retirement,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,11
N00000012,8b2,Hard-Pressed Rented Terraces,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,12
N00000013,5b3,Self-Sufficient Retirement,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,13
N00000014,8c1,Ageing Industrious Workers,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,14
N00000015,8c3,Renting Hard-Pressed Workers,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,15
N00000016,7a1,Transitional Eastern European Neighbourhoods,95AA02W1,Balloo,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,16
N00000017,8d3,Hard-Pressed European Settlers,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,17
N00000018,8b1,Deprived Blue-Collar Terraces,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,18
N00000019,8b2,Hard-Pressed Rented Terraces,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,19
N00000051,8d1,Young Hard-Pressed Families,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,20
N00000020,8b2,Hard-Pressed Rented Terraces,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,21
N00000021,8c1,Ageing Industrious Workers,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,22
N00000022,8b2,Hard-Pressed Rented Terraces,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,23
N00000023,8b2,Hard-Pressed Rented Terraces,95AA03W1,Ballycraigy,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,24
N00000024,1a1,Rural Workers and Families,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,25
N00000025,1a1,Rural Workers and Families,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,26
N00000026,1a1,Rural Workers and Families,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,27
N00000027,1a2,Established Farming Communities,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,28
N00000028,6b2,White Suburban Communities,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,29
N00000029,1a1,Rural Workers and Families,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,30
