,DZ2011_Code
1911,S01008417
1912,S01008418
1913,S01008419
1914,S01008420
1915,S01008421
1916,S01008422
1917,S01008423
1918,S01008424
1919,S01008425
1920,S01008426
1921,S01008427
1922,S01008428
1923,S01008429
1924,S01008430
1925,S01008431
1926,S01008432
1927,S01008433
1928,S01008434
1929,S01008435
1930,S01008436
1931,S01008437
1932,S01008438
1933,S01008439
1934,S01008440
1935,S01008441
1936,S01008442
1937,S01008443
1938,S01008444
1939,S01008445
1940,S01008446
1941,S01008447
1942,S01008448
1943,S01008449
1944,S01008450
1945,S01008451
1946,S01008452
1947,S01008453
1948,S01008454
1949,S01008455
1950,S01008456
1951,S01008457
1952,S01008458
1953,S01008459
1954,S01008460
1955,S01008461
1956,S01008462
1957,S01008463
1958,S01008464
1959,S01008465
1960,S01008466
1961,S01008467
1962,S01008468
1963,S01008469
1964,S01008470
1965,S01008471
1966,S01008472
1967,S01008473
1968,S01008474
1969,S01008475
1970,S01008476
1971,S01008477
1972,S01008478
1973,S01008479
1974,S01008480
1975,S01008481
1976,S01008482
1977,S01008483
1978,S01008484
1979,S01008485
1980,S01008486
1981,S01008487
1982,S01008488
1983,S01008489
1984,S01008490
1985,S01008491
1986,S01008492
1987,S01008493
1988,S01008494
1989,S01008495
1990,S01008496
1991,S01008497
1992,S01008498
1993,S01008499
1994,S01008500
1995,S01008501
1996,S01008502
1997,S01008503
1998,S01008504
1999,S01008505
2000,S01008506
2001,S01008507
2002,S01008508
2003,S01008509
2004,S01008510
2005,S01008511
2006,S01008512
2007,S01008513
2008,S01008514
2009,S01008515
2010,S01008516
2011,S01008517
2012,S01008518
2013,S01008519
2014,S01008520
2015,S01008521
2016,S01008522
2017,S01008523
2018,S01008524
2019,S01008525
2020,S01008526
2021,S01008527
2022,S01008528
2023,S01008529
2024,S01008530
2025,S01008531
2026,S01008532
2027,S01008533
2028,S01008534
2029,S01008535
2030,S01008536
2031,S01008537
2032,S01008538
2033,S01008539
2034,S01008540
2035,S01008541
2036,S01008542
2037,S01008543
2038,S01008544
2039,S01008545
2040,S01008546
2041,S01008547
2042,S01008548
2043,S01008549
2044,S01008550
2045,S01008551
2046,S01008552
2047,S01008553
