,LSOA11CD
212003,S01009773
212004,S01010472
212023,S01010079
212063,S01010477
212069,S01009773
212070,S01010080
212072,S01010476
212074,S01009915
212077,S01010476
212079,S01009879
212096,S01009773
212130,S01010470
212132,S01009912
212134,S01010484
212136,S01010468
212162,S01010315
212163,S01010180
212164,S01009913
212165,S01009916
212166,S01009916
212167,S01009879
212168,S01009880
212169,S01009880
212170,S01009880
212171,S01009877
212172,S01009902
212173,S01009950
212174,S01009764
212175,S01010192
212176,S01010484
212177,S01009914
212178,S01009941
212184,S01010484
212185,S01009957
212188,S01009941
212189,S01010484
212190,S01009959
212194,S01009941
212195,S01010482
212196,S01009960
212197,S01010482
212199,S01009998
212200,S01009941
212202,S01010482
212204,S01009998
212205,S01009765
212207,S01010483
212208,S01010483
212209,S01010483
212210,S01010479
212211,S01010479
212212,S01010479
212213,S01010470
212214,S01010470
212215,S01010470
212216,S01010471
212217,S01010471
212218,S01010482
212219,S01010483
212220,S01010483
212221,S01010479
212222,S01010483
212223,S01010479
212224,S01010452
212225,S01010454
212226,S01010454
212227,S01010454
212228,S01010454
212229,S01010450
212230,S01010450
212231,S01010450
212232,S01010450
212233,S01010456
212234,S01010457
212235,S01010456
212236,S01010456
212237,S01010480
212238,S01010461
212239,S01010461
212240,S01010461
212241,S01010477
212242,S01010460
212243,S01010463
212244,S01010464
212247,S01009821
212249,S01009814
212252,S01009765
212253,S01009818
212255,S01009867
212257,S01009818
212259,S01009770
212260,S01010417
212261,S01010408
212262,S01010480
212263,S01010461
212264,S01010452
212265,S01010448
212266,S01010422
212267,S01010317
212268,S01010352
212269,S01010073
212270,S01010134
212271,S01010134
212272,S01010152
212273,S01010038
212274,S01010038
212275,S01010001
212276,S01010016
212277,S01009867
212278,S01009853
212279,S01009851
212280,S01010089
212281,S01009972
212282,S01009972
212283,S01010178
212284,S01010171
212285,S01010413
212286,S01010348
212287,S01010400
212288,S01010420
212289,S01010218
212290,S01010089
212291,S01010345
212292,S01010367
212293,S01010486
212294,S01010486
212295,S01010080
212296,S01010080
212297,S01009793
212298,S01010100
212300,S01009969
212302,S01009793
212304,S01009795
212306,S01010468
212308,S01010079
212309,S01010079
212310,S01010081
212311,S01009763
212312,S01009758
212313,S01010191
212314,S01010485
212315,S01010074
212316,S01010131
212317,S01010074
212318,S01010174
212319,S01009810
212320,S01009836
212321,S01010446
212322,S01010486
212323,S01010126
212324,S01010092
212326,S01009969
212327,S01010327
212328,S01010219
212329,S01010303
212330,S01010117
212331,S01010034
212332,S01010388
212333,S01010386
212334,S01010463
212335,S01010408
212336,S01010408
212337,S01010408
212400,S01010062
212401,S01010072
212402,S01010143
212403,S01010143
212404,S01010143
212405,S01009837
212406,S01010143
