,LSOA11CD
4835,E01005061
4836,E01005062
4837,E01005063
4838,E01005065
4839,E01005066
4840,E01005067
4841,E01005068
4842,E01005069
4843,E01005070
4844,E01005071
4845,E01005072
4846,E01005073
4847,E01005074
4848,E01005075
4849,E01005076
4851,E01005188
4852,E01005077
4862,E01005240
4863,E01005290
4866,E01005241
4867,E01005078
4868,E01005135
4870,E01005291
4872,E01005292
4873,E01005242
4875,E01005293
4876,E01005189
4878,E01005079
4879,E01005136
4881,E01005294
4882,E01005138
4883,E01005081
4884,E01005190
4887,E01005295
4888,E01005243
4889,E01005139
4890,E01005082
4891,E01005191
4894,E01005296
4895,E01005244
4896,E01005140
4897,E01005083
4898,E01005192
4901,E01005297
4902,E01005245
4903,E01005141
4904,E01005084
4905,E01005193
4908,E01005298
4909,E01005246
4910,E01005142
4911,E01005085
4912,E01005194
4915,E01005299
4916,E01005247
4918,E01005143
4921,E01005300
4922,E01005248
4924,E01005301
4926,E01005145
4927,E01005195
4928,E01005086
4930,E01005087
4931,E01005196
4933,E01005302
4934,E01005088
4935,E01005249
4936,E01005197
4937,E01005146
4940,E01005304
4941,E01005089
4942,E01005250
4943,E01005198
4944,E01005147
4947,E01005305
4948,E01005090
4949,E01005251
4950,E01005199
4951,E01005149
4954,E01005306
4955,E01005091
4956,E01005252
4957,E01005200
4958,E01005150
4961,E01005307
4962,E01005092
4963,E01005253
4964,E01005201
4965,E01005151
4966,E01005152
4967,E01005153
4968,E01005154
4969,E01005155
4970,E01005156
4971,E01005157
4972,E01005158
4973,E01005159
4974,E01005160
4975,E01005161
4976,E01005162
4977,E01005163
4978,E01005164
4979,E01005165
4980,E01005166
4981,E01005167
4982,E01005168
4983,E01005169
4984,E01005170
4985,E01005171
4986,E01005172
4987,E01005173
4988,E01005174
4989,E01005175
4990,E01005176
4991,E01005177
4992,E01005178
4993,E01005179
4994,E01005180
4995,E01005181
4996,E01005182
4997,E01005183
4998,E01005184
4999,E01005185
5000,E01005186
5001,E01005187
5002,E01005254
5003,E01005255
5004,E01005256
5005,E01005257
5006,E01005258
5007,E01005259
5008,E01005260
5009,E01005261
5010,E01005262
5011,E01005263
5012,E01005264
5013,E01005265
5014,E01005266
5015,E01005267
5016,E01005268
5017,E01005269
5018,E01005270
5019,E01005271
5020,E01005272
5021,E01005273
5022,E01005274
5023,E01005275
5024,E01005276
5025,E01005277
5026,E01005278
5027,E01005279
5028,E01005280
5029,E01005281
5030,E01005282
5031,E01005283
5032,E01005284
5033,E01005285
5034,E01005286
5035,E01005287
5036,E01005288
5037,E01005289
5038,E01005202
5040,E01005308
5041,E01005093
5043,E01005094
5044,E01005097
5045,E01005098
5046,E01005099
5047,E01005100
5048,E01005101
5049,E01005102
5050,E01005103
5051,E01005104
5052,E01005105
5053,E01005106
5054,E01005107
5055,E01005108
5056,E01005111
5057,E01005112
5058,E01005113
5059,E01005114
5060,E01005115
5061,E01005116
5062,E01005117
5063,E01005118
5064,E01005119
5065,E01005120
5066,E01005121
5067,E01005122
5068,E01005123
5069,E01005124
5070,E01005125
5071,E01005126
5072,E01005128
5073,E01005129
5074,E01005130
5075,E01005132
5076,E01005133
5077,E01005309
5078,E01005203
5081,E01005310
5082,E01005311
5083,E01005312
5084,E01005313
5085,E01005314
5086,E01005315
5087,E01005316
5088,E01005317
5089,E01005318
5090,E01005319
5103,E01005205
5107,E01005206
5112,E01005207
5114,E01005208
5117,E01005209
5119,E01005210
5123,E01005212
5127,E01005213
5131,E01005214
5135,E01005215
5138,E01005216
5141,E01005217
5144,E01005218
5147,E01005219
5150,E01005220
5153,E01005221
5156,E01005222
5159,E01005223
5162,E01005224
5163,E01005225
5164,E01005226
5165,E01005227
5166,E01005228
5167,E01005229
5168,E01005230
5169,E01005231
5170,E01005232
5171,E01005233
5172,E01005234
5173,E01005235
5174,E01005236
5175,E01005237
5176,E01005238
5177,E01005239
32452,E01033675
32483,E01033676
32496,E01033677
32509,E01033678
32516,E01033679
32552,E01033680
32554,E01033681
32560,E01033682
32572,E01033683
32578,E01033684
32630,E01033685
32633,E01033686
32636,E01033687
32641,E01033688
32673,E01033651
32674,E01033652
32675,E01033653
32676,E01033654
32677,E01033655
32678,E01033656
32679,E01033657
32680,E01033658
32681,E01033659
32682,E01033660
32683,E01033661
32686,E01033662
32690,E01033663
32694,E01033664
32782,E01033665
32784,E01033666
32786,E01033667
32787,E01033668
32788,E01033669
32789,E01033670
32790,E01033671
32791,E01033672
32792,E01033673
32793,E01033674
