FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01006345,S01006345,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004132,S01004132,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001755,S01001755,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001756,S01001756,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006344,S01006344,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001758,S01001758,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001757,S01001757,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004899,S01004899,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001753,S01001753,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006347,S01006347,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004134,S01004134,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001752,S01001752,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006346,S01006346,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004133,S01004133,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004898,S01004898,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001754,S01001754,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001763,S01001763,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001764,S01001764,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001762,S01001762,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006341,S01006341,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001765,S01001765,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004901,S01004901,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006340,S01006340,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004129,S01004129,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004131,S01004131,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001760,S01001760,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001759,S01001759,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006343,S01006343,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004900,S01004900,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004130,S01004130,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001761,S01001761,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006342,S01006342,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001742,S01001742,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001743,S01001743,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006354,S01006354,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004138,S01004138,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01004137,S01004137,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
