,LSOA11CD
171200,S01007469
171202,S01007467
171204,S01007461
171206,S01007466
171208,S01007474
171211,S01007474
171212,S01007458
171213,S01007442
171214,S01007442
171215,S01007440
171216,S01007442
171217,S01007441
171218,S01007431
171219,S01007424
171220,S01007445
171221,S01007445
171222,S01007442
171223,S01007425
171224,S01007446
171225,S01007424
171226,S01007424
171227,S01007417
171228,S01007417
171229,S01007475
171230,S01007468
171231,S01007414
171232,S01007445
171233,S01007431
171234,S01007466
171235,S01007466
171236,S01007470
171237,S01007467
171238,S01007461
171239,S01007457
171240,S01007411
171241,S01007419
171242,S01007465
171243,S01007466
171244,S01007466
171245,S01007467
171246,S01007456
171247,S01007419
171248,S01007434
171249,S01007421
171250,S01007461
171251,S01007435
171252,S01007436
171253,S01007447
171254,S01007447
171255,S01007446
171258,S01007421
171259,S01007443
171263,S01007448
171265,S01007417
171269,S01007439
171271,S01007463
171276,S01007420
171277,S01007476
171281,S01007417
171282,S01007459
171287,S01007420
171288,S01007456
171334,S01007462
171335,S01007457
171337,S01007429
171339,S01007414
171340,S01007414
171342,S01007411
171343,S01007414
171345,S01007467
171347,S01007450
171349,S01007413
171351,S01007462
171353,S01007437
171356,S01007438
171376,S01007426
171377,S01007445
171402,S01007440
171404,S01007428
171405,S01007428
171406,S01007457
171408,S01007423
171409,S01007430
171411,S01007435
171413,S01007464
171414,S01007422
171416,S01007444
171418,S01007463
171419,S01007421
171420,S01007454
171421,S01007433
171422,S01007448
171423,S01007473
171424,S01007473
171425,S01007470
171426,S01007467
171427,S01007456
171428,S01007456
171429,S01007412
171430,S01007419
171431,S01007435
171432,S01007438
171433,S01007427
171434,S01007426
171435,S01007479
171436,S01007466
171437,S01007437
171438,S01007453
171439,S01007453
171440,S01007453
171441,S01007453
171442,S01007424
171443,S01007433
171444,S01007474
171445,S01007443
171446,S01007446
171447,S01007425
171448,S01007431
171449,S01007431
171450,S01007421
171451,S01007423
171452,S01007421
171455,S01007455
171456,S01007455
171457,S01007416
171458,S01007409
171460,S01007430
171461,S01007422
171463,S01007465
171464,S01007443
171466,S01007466
171468,S01007465
171470,S01007464
171472,S01007472
171504,S01007432
171505,S01007462
171506,S01007410
171507,S01007411
171508,S01007419
171509,S01007415
171510,S01007415
171511,S01007415
171512,S01007449
171513,S01007451
171514,S01007451
171515,S01007434
171516,S01007440
171517,S01007440
171518,S01007427
171519,S01007427
171520,S01007428
171521,S01007423
171522,S01007423
171523,S01007423
171524,S01007469
171525,S01007455
