DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01006506,Culter - 01,4691,14,7,4,3936,3220,5887,5174,4724,4664,3248,894,580,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006507,Culter - 02,4862,14,7,4,4829,4481,4384,5051,2148,4602,3486,793,470,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006508,Culter - 03,5686,17,9,5,4460,5110,5915,5942,4200,4563.5,5342,624,461,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006509,Culter - 04,4332,13,7,4,3481,3229,6401,3871,3982,5626,4394.5,537,307,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006510,Culter - 05,3913,12,6,3,3344,3448,4092,3049,5588,3885,3736,663,415,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006511,Culter - 06,6253,18,9,5,5469,5346,5410,5783,4974,6928,5924,759,453,3,Accessible Small Towns,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006512,Culter - 07,5692,17,9,5,6264,6206,6506,6586,547,4528,4815,539,345,5,Accessible Rural,S02001236,Culter,S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006513,"Cults, Bieldside and Milltimber West - 01",6177,18,9,5,6572,5695,6531,5516,1490,6928,6394,788,406,3,Accessible Small Towns,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006514,"Cults, Bieldside and Milltimber West - 02",6715,20,10,5,6704,6658,6847,6733,1858,5507,6868,1123,709,3,Accessible Small Towns,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006515,"Cults, Bieldside and Milltimber West - 03",6363,19,10,5,6955,6803,6838,6846,659,6844,6174.5,816,529,3,Accessible Small Towns,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006516,"Cults, Bieldside and Milltimber West - 04",5947,18,9,5,6359,5542,6631,6852,1037,4580,6570,629,419,3,Accessible Small Towns,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006517,"Cults, Bieldside and Milltimber West - 05",5772,17,9,5,6335,5324,6704,6159,931,5594,5892,1052,646,1,Large Urban Areas,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006518,"Cults, Bieldside and Milltimber East - 01",6674,20,10,5,6864,6851,6960,6919,1161,6792,6960,664,370,1,Large Urban Areas,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006519,"Cults, Bieldside and Milltimber East - 02",6229,18,9,5,6474,6284,6904,6776,938,5628,6856,941,560,1,Large Urban Areas,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
S01006520,"Cults, Bieldside and Milltimber East - 03",6490,19,10,5,6831,6920,6965,6940,785,6928,6825,875,559,1,Large Urban Areas,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S08000020,Grampian,S13002843,Lower Deeside,S16000076,Aberdeen South and North Kincardine
