,LSOA11CD
124807,E01007921
124860,E01007921
124862,E01007917
124866,E01007918
124873,E01007923
124874,E01007923
124875,E01007915
124876,E01007920
124877,E01007934
124878,E01007929
124879,E01007933
124880,E01007933
124881,E01007927
124882,E01007933
124883,E01007928
124884,E01007930
124885,E01007929
124886,E01007929
124887,E01007956
124888,E01007958
124889,E01007957
124890,E01007959
124891,E01007959
124892,E01007961
124893,E01007953
124894,E01007952
124895,E01007952
124896,E01007985
124897,E01007997
124898,E01008033
124899,E01008038
124900,E01008038
124901,E01008126
124902,E01008126
124903,E01008135
124904,E01008147
124905,E01008128
124906,E01007830
124907,E01007833
124908,E01007823
124909,E01007830
124910,E01033278
124911,E01007842
124912,E01007848
124913,E01007895
124914,E01007895
124915,E01007887
124916,E01007894
124917,E01007912
124918,E01007912
124955,E01007877
125001,E01007870
125007,E01007903
125012,E01007907
125051,E01007908
125054,E01007949
125064,E01007983
125068,E01008042
125069,E01008044
125070,E01008099
125071,E01007901
125072,E01007953
125073,E01007953
125074,E01007968
125075,E01007970
125076,E01007977
125077,E01008004
125078,E01008053
125079,E01008082
125080,E01008078
125081,E01008133
125082,E01008145
125083,E01008158
125084,E01007834
125085,E01007827
125086,E01007825
125087,E01007825
125088,E01007824
125089,E01007861
125090,E01007861
125091,E01007890
125092,E01007915
125093,E01007925
125094,E01007926
125095,E01007920
125096,E01007918
125097,E01007921
125098,E01007918
125099,E01007922
125100,E01007920
125101,E01007917
125102,E01007918
125200,E01007974
125201,E01007963
125202,E01007969
125203,E01007969
125204,E01007991
125205,E01007990
125206,E01007997
125207,E01007988
125208,E01007991
125209,E01008007
125210,E01007999
125211,E01008024
125212,E01008027
125213,E01008037
125214,E01008039
125215,E01008020
125216,E01008025
125217,E01008034
125218,E01008028
125219,E01008032
125220,E01008032
125221,E01008037
125222,E01008040
125223,E01008078
125224,E01008136
125225,E01008131
125226,E01008134
125227,E01008148
125228,E01008143
125229,E01008145
125230,E01008145
125231,E01008143
125232,E01008150
125233,E01008158
125234,E01008019
125235,E01007889
125236,E01007926
125237,E01008128
125238,E01007854
125239,E01007870
125240,E01007875
125241,E01007877
125242,E01007874
125243,E01007875
125244,E01007874
125245,E01008051
125246,E01008038
125247,E01008116
125248,E01007951
125249,E01007835
125250,E01007956
125251,E01007875
125252,E01007875
125253,E01007874
125254,E01007875
125255,E01007877
125256,E01007871
125257,E01007962
125258,E01007951
125259,E01007985
125260,E01007986
125261,E01007980
125262,E01007980
125263,E01007980
125264,E01007983
125265,E01007983
125266,E01007985
125267,E01007983
125268,E01007986
125269,E01007986
125270,E01007989
125271,E01007995
125272,E01007992
125273,E01007992
125274,E01007995
125275,E01007995
125276,E01007995
125277,E01007996
125278,E01007989
125279,E01007989
125280,E01008052
125281,E01008046
125282,E01008047
125283,E01008047
125284,E01008050
125285,E01008050
125286,E01008073
125287,E01008074
125288,E01008074
125289,E01008074
125290,E01008064
125291,E01008088
125292,E01008091
125293,E01008093
125294,E01008091
125295,E01008091
125296,E01007873
125297,E01008063
125298,E01007843
125299,E01033277
125300,E01007832
125301,E01008038
125302,E01008091
125303,E01008093
125304,E01008093
125305,E01008140
125306,E01008155
125307,E01008151
125308,E01008151
125309,E01008159
125310,E01008159
125311,E01008159
125312,E01008122
125313,E01008117
125314,E01033279
125315,E01007834
125316,E01007868
125317,E01007861
125318,E01007862
125319,E01007858
125320,E01007858
125321,E01007861
125322,E01007861
125323,E01007910
125324,E01007926
125325,E01007918
125326,E01007922
125327,E01007920
125328,E01007930
125329,E01007932
125330,E01007937
125331,E01007928
125332,E01007939
125333,E01007931
125334,E01007928
125335,E01007927
125336,E01007952
125337,E01007953
125338,E01007958
125339,E01007954
125340,E01007953
125341,E01007958
125342,E01007958
125343,E01007961
125344,E01007977
125345,E01008041
125346,E01008043
125347,E01008043
125348,E01008049
125349,E01008049
125350,E01007870
125351,E01008087
125352,E01007912
125353,E01007832
125354,E01008048
125355,E01008044
125356,E01008052
125357,E01008042
125358,E01008045
125359,E01008079
125360,E01008139
125361,E01007863
125362,E01008128
125363,E01033275
125364,E01008035
125365,E01008140
125366,E01008078
125367,E01008150
125368,E01007869
125369,E01008079
125370,E01008144
125371,E01007839
125372,E01008126
125373,E01007917
125374,E01007873
125375,E01033280
125376,E01007841
125377,E01007847
125378,E01007889
125379,E01007909
125380,E01007908
125381,E01007908
125382,E01007987
125383,E01008020
125384,E01008087
125385,E01008088
125386,E01008149
125387,E01008153
125388,E01007847
125389,E01007901
125390,E01007918
125391,E01007970
125392,E01007970
125393,E01007998
125394,E01008015
125395,E01008022
125396,E01008063
125397,E01008081
125398,E01008092
125399,E01007825
125400,E01007825
125401,E01007834
125402,E01007824
125403,E01007833
125404,E01007824
125405,E01007826
125406,E01007826
125407,E01007890
125408,E01007915
125409,E01007925
125410,E01007915
125411,E01007926
125412,E01007939
125413,E01007931
125414,E01007956
125415,E01007958
125416,E01007952
125417,E01007952
125418,E01008002
125419,E01032585
125420,E01032585
125421,E01008023
125422,E01008130
125423,E01007849
125424,E01007919
125425,E01007870
125426,E01007874
125427,E01007879
125428,E01007879
125429,E01007882
125430,E01007902
125431,E01007905
125432,E01007940
125433,E01007940
125434,E01007949
125435,E01007940
125436,E01007940
125437,E01007944
125438,E01007942
125439,E01007944
125440,E01007940
125441,E01007948
125442,E01007947
125443,E01007981
125444,E01008042
125445,E01008042
125446,E01008131
125447,E01007885
125448,E01007924
125449,E01008108
125450,E01008107
125451,E01008112
125452,E01008109
125453,E01008108
125454,E01008109
125455,E01008105
125456,E01008112
125457,E01008113
125458,E01008112
125459,E01008112
125460,E01008108
125461,E01008113
125462,E01008104
125463,E01033273
125464,E01008109
125465,E01008105
125466,E01008107
125467,E01008109
125468,E01033269
125469,E01033268
125470,E01008108
125471,E01008114
125472,E01007823
125473,E01008137
125474,E01008146
125475,E01007970
125476,E01008146
125477,E01008147
125478,E01008072
125479,E01007964
125480,E01007956
125481,E01008072
125482,E01007992
125483,E01007926
125484,E01008072
125485,E01007998
125486,E01008004
125487,E01008037
125488,E01008082
125489,E01008081
125490,E01008077
125491,E01008081
125492,E01008160
125493,E01007899
125494,E01007888
125495,E01007922
125496,E01007966
125497,E01007974
125498,E01007969
125499,E01008033
125500,E01008021
125501,E01008021
125502,E01008034
125503,E01008033
125504,E01008035
125505,E01008021
125506,E01008035
125507,E01033280
125508,E01008146
125509,E01008040
125510,E01007889
125511,E01007889
125512,E01007831
125513,E01007858
125514,E01007858
125515,E01007868
125516,E01007894
125517,E01007910
125518,E01007924
125519,E01007951
125520,E01007964
125521,E01008001
125522,E01008000
125523,E01008027
125524,E01008049
125525,E01008049
125526,E01008072
125527,E01008104
125528,E01008093
125529,E01008154
125530,E01008012
125531,E01033269
125532,E01008012
125533,E01033269
125534,E01007849
125535,E01033270
125536,E01033268
125537,E01007885
125538,E01007979
125539,E01007979
125540,E01008065
125541,E01008065
125542,E01008065
125543,E01008068
125544,E01008068
125545,E01008089
125546,E01008114
125547,E01033269
125548,E01007878
125549,E01033270
125550,E01033268
125551,E01007831
125552,E01007829
125553,E01007834
125554,E01007829
125555,E01007828
125556,E01007852
125557,E01007860
